,Total demand,Primary supply,Primary demand,Scrap demand,Primary commodity price,Original primary commodity price,Total production,Actual demand,Primary commodity price.1,Primary commodity price.2,Primary commodity price old,Mine production - INSG,Mine production - USGS,Primary supply (BGS),Total demand.1,New scrap from first use production,New scrap from end use production,Old scrap,Unnamed: 5,"Primary commodity price, not adjusted for oil"
1994,,,,,1753.5745890817198,1893.567209844163,,,,,,,,,,,,,,
1995,,,,,1740.1023416555245,1925.076827581073,,,,,,,,,,,,,,
1996,,,,,1720.2909274415913,1442.079729819923,,,,,,,,,,,,,,
1997,,,,,1641.367454885293,1699.685599376939,,,,,,,,,,,,,,
1998,,,,,1520.718660745583,1641.045270585859,,,,,,,,,,,,,,
1999,,,,,1505.3645831563294,1498.949847062671,,,,,,,,,,,,,,
2000,,,,,1452.2935119306994,1321.832856882523,,,,,,,,,,,,,,
2001,36692.949911590506,24167.13587489007,23586.24209233735,13106.707819253155,1430.6872115981141,1365.309341873655,,,,,,,,,,,,,,
2002,37848.56348002964,25796.26533424498,25194.16514634754,12654.3983336821,1443.7652852307203,1434.330243248789,,,,,,,,,,,,,,
2003,39032.795796776976,28039.01855706616,27745.08599541587,11287.709801361107,1477.8829104387125,1533.013768922933,,,,,,,,,,,,,,
2004,41805.11473666539,29971.20629725781,30515.48678321252,11289.62795345287,1599.4929418139695,1564.340215225701,,,,,,,,,,,,,,
2005,44267.88934826074,32666.51154267505,32643.72246711639,11624.166881144349,1685.2147506366698,1492.420982922484,,,,,,,,,,,,,,
2006,47496.51043169534,33941.41113333656,34462.63778628418,13033.87264541116,1715.106099980008,1973.35949874994,,,,,,,,,,,,,,
2007,50523.975766098505,38125.83681193873,37969.64353528341,12554.332230815096,1656.7063555268971,1862.939287362291,,,,,,,,,,,,,,
2008,51796.68198143054,40157.53593679744,37362.88382821971,14433.798153210832,1685.9242032844254,1682.470515639624,,,,,,,,,,,,,,
2009,47647.59534928033,37722.7149395779,34310.54817122681,13337.047178053523,1629.306069326876,1272.341492960146,,,,,,,,,,,,,,
2010,56753.11754315567,42037.51228455382,40964.87738664562,15788.240156510052,1546.8068703146869,1638.510221710126,,,,,,,,,,,,,,
2011,62002.864398770726,46046.3899635775,44837.93951422307,17164.924884547654,1480.4907750552247,1690.268828962193,,,,,,,,,,,,,,
2012,66078.32214242282,47963.67485466578,47385.39363578297,18692.92850663985,1528.8413023232583,1450.443292301345,,,,,,,,,,,,,,
2013,70072.12526634848,50607.08446595448,50616.17156743783,19455.95369891065,1547.4242253616167,1350.890039342314,,,,,,,,,,,,,,
2014,73716.0334637377,54162.389639147,54441.44837180919,19274.585091928508,1542.365869226586,1514.094129300313,,,,,,,,,,,,,,
2015,76701.86560432437,57059.21997192201,56457.35520452658,20244.510399797786,1598.1519691084882,1731.424836901918,,,,,,,,,,,,,,
2016,80735.38013287763,58985.57685782362,59840.90429338728,20894.475839490355,1642.3592672536065,1664.977048287041,,,,,,,,,,,,,,
2017,84891.17075830896,63536.36539574151,63286.82550153998,21604.345256768982,1604.0396952342444,1729.373791710855,,,,,,,,,,,,,,
2018,86886.09034049584,63966.90407194746,65227.74068211853,21658.34965837731,1570.1012378401235,1571.926530067905,,,,,,,,,,,,,,
2019,85768.38814512915,67223.3764402956,64388.65137940613,21379.73676572302,1631.8233759173236,1322.496269203503,,,,,,,,,,,,,,
2020,,,,,1688.3245100139452,1561.732549931314,,,,,,,,,,,,,,
2021,,,,,1717.424005000455,1973.58773867304,,,,,,,,,,,,,,
2022,,,,,1849.0665835994394,2011.879462193963,,,,,,,,,,,,,,
