,Total demand,Primary supply,Primary demand,Scrap demand,Primary commodity price,Original primary commodity price,Total production,Actual demand,Primary commodity price.1,Primary commodity price.2,Primary commodity price old,Mine production - INSG,Mine production - USGS,Primary supply (BGS),Total demand.1,New scrap from first use production,New scrap from end use production,Old scrap,Unnamed: 5,"Primary commodity price, not adjusted for oil"
1996,,,,,807.146112070524,876.3195981684155,,,,,,,,,,,,,,
1997,,,,,732.8905598089526,784.7281377631289,,,,,,,,,,,,,,
1998,,,,,672.9589691587906,760.3906002800281,,,,,,,,,,,,,,
1999,,,,,584.4871549211272,510.1239030242381,,,,,,,,,,,,,,
2000,,,,,517.8362347590776,433.2326065581429,,,,,,,,,,,,,,
2001,857999.999999991,502359.712230216,,349640.287769784,471.76560257372455,433.9605269800974,852000.0,,,,,,,,,,,,,447.613749
2002,906000.0,537230.2158273379,,367769.784172662,497.6573954402784,451.4735369528811,905000.0,,,,,,,,,,,,,424.685877
2003,972000.0,561791.366906475,,409208.633093525,521.4924426268788,530.0374393532633,971000.0,,,,,,,,,,,,,470.541621
2004,1058000.0,617532.37410072,,445467.62589928,541.6566228213147,639.5828673570072,1063000.0,,,,,,,,,,,,,767.029603
2005,1132000.0,668863.3093525181,,479136.690647482,573.9914741517906,552.4078424911451,1148000.0,,,,,,,,,,,,,674.225858
2006,1230000.0,747553.956834533,,502446.043165467,610.7449303117729,534.7814279522767,1250000.0,,,,,,,,,,,,,671.664036
2007,1316000.0,801525.179856116,,546474.820143884,587.388679006578,613.1477936052606,1348000.0,,,,,,,,,,,,,688.865884
2008,1318000.0,793935.251798561,,549064.748201439,598.235854106966,713.8047201531751,1343000.0,,,,,,,,,,,,,980.359214
2009,1226000.0,710654.676258993,,528345.323741007,625.3880974764354,522.8016108310323,1239000.0,,,,,,,,,,,,,589.882049
2010,1398000.0,870985.611510792,,562014.388489208,616.7061496745334,606.6437179930856,1433000.0,,,,,,,,,,,,,717.755862
2011,1484000.0,934546.762589928,,603453.237410072,578.040644087246,670.5426447996235,1538000.0,,,,,,,,,,,,,818.573082
2012,1514300.0,948776.978417267,,611223.021582733,580.3860675792008,569.7380545957506,1560000.0,,,,,,,,,,,,,697.021439
2013,1544600.0,1049136.690647484,,600863.309352516,556.4588607575515,520.4771922167384,1650000.0,,,,,,,,,,,,,655.789114
2014,1551500.0,1062366.906474821,,608633.093525179,532.583461815304,534.528728290806,1671000.0,,,,,,,,,,,,,625.94569
2015,1505800.0,1043446.043165468,,577553.956834532,536.4455988036148,487.007683884839,1621000.0,,,,,,,,,,,,,455.83718
2016,1520000.0,1048856.115107914,,580143.884892086,566.6169912216928,551.1656500883856,1629000.0,,,,,,,,,,,,,466.806218
2017,1633400.0,1092287.769784173,,639712.230215827,561.4782886627637,589.0487395373045,1732000.0,,,,,,,,,,,,,597.591327
2018,1708400.0,1140618.705035972,,673381.294964028,581.4895134043111,671.3341543071292,1814000.0,,,,,,,,,,,,,678.448447
2019,1767500.0,1159359.712230216,,709640.287769784,703.6363737766305,508.8352154961597,1869000.0,,,,,,,,,,,,,670.0
2020,,,,,744.3209565472669,587.0638075925759,,,,,,,,,,,,,,
2021,,,,,762.5676571073012,1161.899951949983,,,,,,,,,,,,,,
2022,,,,,847.1451376443483,792.471653390486,,,,,,,,,,,,,,
