,Total demand,Primary supply,Scrap demand,Primary commodity price
1990,,,,6985.9221062700935
1991,,,,6844.262411909401
1992,,,,7046.13413854354
1993,,,,7601.628659536412
1994,,,,7434.653400168334
1995,,,,7297.890317549446
1996,,,,7204.197748044151
1997,,,,6576.533181241622
1998,,,,5495.630240333032
1999,,,,4949.551247347359
2000,,,,4376.252997898985
2001,20067,13199,6952.018640945637,3904.0508607717907
2002,20292,13636,7029.967721237299,3874.19529484047
2003,20703,13487,6858.991369397299,4018.9531421993233
2004,22137,13699,7475.783907794301,4708.248480621862
2005,21872,14594,7475.9243112857,5395.7750135028045
2006,22009,14927,8402.411851177902,5764.095361780045
2007,23753,14983,8504.871299139502,5976.950680176382
2008,23145,15508,8230.7334818802,6423.1471298420365
2009,23145,15537,7235.8694416013,6381.147849684316
2010,24194.52173168564,15945,8354.091870825165,6215.900732765765
2011,25089.29089953471,15990,9046.32648917236,6246.9899409671625
2012,25297.975557049198,15965,9043.93760227421,6199.919009148334
2013,26259.767623756532,16692,9252.96520586233,6138.702977156727
2014,27894.83192393964,18190,9652.32737306052,5999.265744544951
2015,27978.19375439177,18426,9480.77543268714,6119.9409608180495
2016,28520.72179886335,19149,9415.05118190179,6218.856860144796
2017,29751.1520737327,20357,9983.93473560994,6342.356839671346
2018,30709.6774193548,20038,9980.2319609178,6663.775624712645
2019,30046.0829493087,20539,9619.45031712473,7025.439854825345
2020,,,,7060.029450227659
2021,,,,7304.677544111624
2022,,,,7735.42265483845
