,Variable,Commodity,Year,Historical or simulated,Scenario,Value
0,Total demand,Cu,2001,Historical,Historical,20.067
1,Total demand,Cu,2001,Simulated,214,20.067
2,Total demand,Cu,2001,Simulated,204,20.067
3,Total demand,Cu,2001,Simulated,226,20.067
4,Total demand,Cu,2001,Simulated,207,20.067
5,Total demand,Cu,2001,Simulated,173,20.067
6,Total demand,Cu,2001,Simulated,329,20.067
7,Total demand,Cu,2001,Simulated,187,20.067
8,Total demand,Cu,2001,Simulated,379,20.067
9,Total demand,Cu,2001,Simulated,97,20.067
10,Total demand,Cu,2001,Simulated,512,20.067
11,Total demand,Cu,2001,Simulated,527,20.067
12,Total demand,Cu,2001,Simulated,560,20.067
13,Total demand,Cu,2001,Simulated,266,20.067
14,Total demand,Cu,2001,Simulated,58,20.067
15,Total demand,Cu,2001,Simulated,262,20.067
16,Total demand,Cu,2001,Simulated,336,20.067
17,Total demand,Cu,2001,Simulated,171,20.067
18,Total demand,Cu,2001,Simulated,220,20.067
19,Total demand,Cu,2001,Simulated,277,20.067
20,Total demand,Cu,2001,Simulated,193,20.067
21,Total demand,Cu,2001,Simulated,157,20.067
22,Total demand,Cu,2001,Simulated,216,20.067
23,Total demand,Cu,2001,Simulated,68,20.067
24,Total demand,Cu,2001,Simulated,345,20.067
25,Total demand,Cu,2001,Simulated,244,20.067
26,Total demand,Cu,2002,Historical,Historical,20.292
27,Total demand,Cu,2002,Simulated,214,20.990832005586103
28,Total demand,Cu,2002,Simulated,204,20.46479910036844
29,Total demand,Cu,2002,Simulated,226,21.120502084591852
30,Total demand,Cu,2002,Simulated,207,21.750763901189718
31,Total demand,Cu,2002,Simulated,173,20.07390287526428
32,Total demand,Cu,2002,Simulated,329,21.002407398588673
33,Total demand,Cu,2002,Simulated,187,20.86895117020363
34,Total demand,Cu,2002,Simulated,379,21.348743499806638
35,Total demand,Cu,2002,Simulated,97,19.6844370612968
36,Total demand,Cu,2002,Simulated,512,21.168569060911512
37,Total demand,Cu,2002,Simulated,527,20.16432448903352
38,Total demand,Cu,2002,Simulated,560,20.75874750538491
39,Total demand,Cu,2002,Simulated,266,21.002622399410164
40,Total demand,Cu,2002,Simulated,58,21.542747767962673
41,Total demand,Cu,2002,Simulated,262,21.055431161342003
42,Total demand,Cu,2002,Simulated,336,20.877281212806775
43,Total demand,Cu,2002,Simulated,171,21.874734207909512
44,Total demand,Cu,2002,Simulated,220,20.271749586288728
45,Total demand,Cu,2002,Simulated,277,21.071292222625036
46,Total demand,Cu,2002,Simulated,193,20.00347525551554
47,Total demand,Cu,2002,Simulated,157,21.735097868932918
48,Total demand,Cu,2002,Simulated,216,20.294716707997537
49,Total demand,Cu,2002,Simulated,68,21.110029987727767
50,Total demand,Cu,2002,Simulated,345,20.78712364935547
51,Total demand,Cu,2002,Simulated,244,20.99772701970209
52,Total demand,Cu,2003,Historical,Historical,20.703
53,Total demand,Cu,2003,Simulated,214,20.86628123537237
54,Total demand,Cu,2003,Simulated,204,21.05142999491332
55,Total demand,Cu,2003,Simulated,226,20.674552688719206
56,Total demand,Cu,2003,Simulated,207,22.025543514478656
57,Total demand,Cu,2003,Simulated,173,20.379530649287005
58,Total demand,Cu,2003,Simulated,329,20.94819511941964
59,Total demand,Cu,2003,Simulated,187,20.777217017331022
60,Total demand,Cu,2003,Simulated,379,21.072752815945964
61,Total demand,Cu,2003,Simulated,97,19.781204653948926
62,Total demand,Cu,2003,Simulated,512,20.951754854627122
63,Total demand,Cu,2003,Simulated,527,20.59158601344201
64,Total demand,Cu,2003,Simulated,560,21.4769111353564
65,Total demand,Cu,2003,Simulated,266,21.28454771737282
66,Total demand,Cu,2003,Simulated,58,21.88822149319641
67,Total demand,Cu,2003,Simulated,262,21.651408952452016
68,Total demand,Cu,2003,Simulated,336,20.92982345943887
69,Total demand,Cu,2003,Simulated,171,22.37123393539468
70,Total demand,Cu,2003,Simulated,220,20.77630344979732
71,Total demand,Cu,2003,Simulated,277,21.9381451705829
72,Total demand,Cu,2003,Simulated,193,20.18065464322711
73,Total demand,Cu,2003,Simulated,157,21.009008774114342
74,Total demand,Cu,2003,Simulated,216,19.373428382853856
75,Total demand,Cu,2003,Simulated,68,21.10946421947101
76,Total demand,Cu,2003,Simulated,345,21.14727331346995
77,Total demand,Cu,2003,Simulated,244,20.78610129076622
78,Total demand,Cu,2004,Historical,Historical,22.137
79,Total demand,Cu,2004,Simulated,214,21.452011805668327
80,Total demand,Cu,2004,Simulated,204,21.69543407549523
81,Total demand,Cu,2004,Simulated,226,21.196026863097355
82,Total demand,Cu,2004,Simulated,207,22.732579095205104
83,Total demand,Cu,2004,Simulated,173,20.94822732058707
84,Total demand,Cu,2004,Simulated,329,21.062375651476902
85,Total demand,Cu,2004,Simulated,187,21.06244097018876
86,Total demand,Cu,2004,Simulated,379,21.35139229160876
87,Total demand,Cu,2004,Simulated,97,20.250700635747236
88,Total demand,Cu,2004,Simulated,512,21.610195171920974
89,Total demand,Cu,2004,Simulated,527,21.264384055234245
90,Total demand,Cu,2004,Simulated,560,22.524191139137326
91,Total demand,Cu,2004,Simulated,266,21.96437437118168
92,Total demand,Cu,2004,Simulated,58,22.62708147784357
93,Total demand,Cu,2004,Simulated,262,22.289737162845174
94,Total demand,Cu,2004,Simulated,336,21.626654759895438
95,Total demand,Cu,2004,Simulated,171,23.41983385869798
96,Total demand,Cu,2004,Simulated,220,21.47723318321751
97,Total demand,Cu,2004,Simulated,277,22.426056379757892
98,Total demand,Cu,2004,Simulated,193,20.58067061790733
99,Total demand,Cu,2004,Simulated,157,19.64857503090331
100,Total demand,Cu,2004,Simulated,216,19.873887365518122
101,Total demand,Cu,2004,Simulated,68,20.809758698812548
102,Total demand,Cu,2004,Simulated,345,21.783758970981495
