,,Historical,Simulated
Values,0,1.0,0.0
Values,1,0.0,0.0
Values,2,0.0,0.0
Values,3,0.0,0.0
Values,4,0.0,0.0
Values,5,0.0,0.0
Values,6,0.0,0.0
Values,7,0.0,0.0
Values,8,0.0,0.0
Values,9,0.0,0.0
Values,10,0.0,0.0
Values,11,0.0,0.0
Values,12,0.0,0.0
Values,13,0.0,0.0
Values,14,0.0,0.0
Values,15,0.0,0.0
Values,16,0.0,0.0
Values,17,0.0,0.0
Values,18,0.0,0.0
Values,19,0.0,0.0
Values,20,0.0,1.0
Values,21,0.0,0.0
Values,22,1.0,0.0
Values,23,2.0,0.0
Values,24,3.0,2.0
Values,25,4.0,2.0
Values,26,7.0,8.0
Values,27,14.0,20.0
Values,28,27.0,38.0
Values,29,51.0,63.0
Values,30,84.0,101.0
Values,31,165.0,149.0
Values,32,212.0,137.0
Values,33,46.0,73.0
Values,34,14.0,38.0
Values,35,4.0,6.0
Values,36,2.0,0.0
Values,37,0.0,0.0
Values,38,1.0,0.0
Edges,0,-2.445879014884365,-2.445879014884365
Edges,1,-2.371129129896191,-2.371129129896191
Edges,2,-2.296379244908017,-2.296379244908017
Edges,3,-2.2216293599198425,-2.2216293599198425
Edges,4,-2.1468794749316684,-2.1468794749316684
Edges,5,-2.0721295899434944,-2.0721295899434944
Edges,6,-1.9973797049553204,-1.9973797049553204
Edges,7,-1.9226298199671463,-1.9226298199671463
Edges,8,-1.847879934978972,-1.847879934978972
Edges,9,-1.7731300499907978,-1.7731300499907978
Edges,10,-1.6983801650026238,-1.6983801650026238
Edges,11,-1.6236302800144498,-1.6236302800144498
Edges,12,-1.5488803950262757,-1.5488803950262757
Edges,13,-1.4741305100381015,-1.4741305100381015
Edges,14,-1.3993806250499274,-1.3993806250499274
Edges,15,-1.3246307400617532,-1.3246307400617532
Edges,16,-1.2498808550735792,-1.2498808550735792
Edges,17,-1.1751309700854051,-1.1751309700854051
Edges,18,-1.1003810850972309,-1.1003810850972309
Edges,19,-1.0256312001090568,-1.0256312001090568
Edges,20,-0.9508813151208826,-0.9508813151208826
Edges,21,-0.8761314301327086,-0.8761314301327086
Edges,22,-0.8013815451445345,-0.8013815451445345
Edges,23,-0.7266316601563603,-0.7266316601563603
Edges,24,-0.6518817751681862,-0.6518817751681862
Edges,25,-0.5771318901800122,-0.5771318901800122
Edges,26,-0.502382005191838,-0.502382005191838
Edges,27,-0.4276321202036639,-0.4276321202036639
Edges,28,-0.3528822352154899,-0.3528822352154899
Edges,29,-0.27813235022731586,-0.27813235022731586
Edges,30,-0.20338246523914139,-0.20338246523914139
Edges,31,-0.12863258025096735,-0.12863258025096735
Edges,32,-0.05388269526279332,-0.05388269526279332
Edges,33,0.020867189725380708,0.020867189725380708
Edges,34,0.09561707471355474,0.09561707471355474
Edges,35,0.17036695970172921,0.17036695970172921
Edges,36,0.24511684468990325,0.24511684468990325
Edges,37,0.3198667296780773,0.3198667296780773
Edges,38,0.3946166146662513,0.3946166146662513
Edges,39,0.46936649965442534,0.46936649965442534
