,,,Actual,Predicted,Commodity
29,Gold,10,,,Gold
29,Gold,35,,,Gold
29,Gold,3,,,Gold
29,Gold,42,,,Gold
29,Gold,23,,,Gold
29,Gold,14,,,Gold
29,Gold,32,,,Gold
29,Gold,13,,,Gold
29,Gold,38,,,Gold
29,Gold,9,,,Gold
29,Gold,17,,,Gold
29,Gold,43,,,Gold
29,Gold,37,,,Gold
29,Gold,26,,,Gold
29,Gold,15,,,Gold
29,Gold,40,,,Gold
29,Gold,12,,,Gold
29,Gold,36,,,Gold
29,Gold,49,,,Gold
29,Gold,4,88.538719,95.0209566275777,Gold
29,Gold,45,92.559067,95.22036997827985,Gold
29,Gold,24,94.557854,94.21764816507576,Gold
29,Gold,0,98.744797,93.95269507641868,Gold
29,Gold,7,92.63398,93.414776761622,Gold
29,Gold,34,95.588875,92.95116550087184,Gold
29,Gold,21,95.460152,93.56634381121623,Gold
29,Gold,33,95.61618,92.78580660185372,Gold
29,Gold,46,89.775879,92.9659511129763,Gold
29,Gold,5,97.099998,93.3504352110758,Gold
29,Gold,27,97.205978,93.72316357507191,Gold
29,Gold,8,97.164551,93.72316357507191,Gold
29,Gold,22,97.521873,93.48136357599151,Gold
29,Gold,25,,,Gold
29,Gold,41,,,Gold
29,Gold,44,,,Gold
29,Gold,30,,,Gold
29,Gold,28,,,Gold
29,Gold,47,,,Gold
29,Gold,6,,,Gold
29,Gold,18,,,Gold
29,Gold,1,,,Gold
29,Gold,39,,,Gold
29,Gold,31,,,Gold
29,Gold,11,,,Gold
29,Gold,2,,,Gold
29,Gold,19,,,Gold
29,Gold,48,,,Gold
29,Gold,29,,,Gold
29,Gold,20,,,Gold
29,Gold,16,,,Gold
381,Copper,10,50.040421,64.3552786919606,Copper
381,Copper,35,53.113419,63.66635027339146,Copper
381,Copper,3,57.328796,61.71527961187287,Copper
381,Copper,42,49.247555,63.348691402220865,Copper
381,Copper,23,39.203075,65.35155591984086,Copper
381,Copper,14,46.132942,64.56087990643553,Copper
381,Copper,32,52.989132,63.947489661575716,Copper
381,Copper,13,78.54406,61.29857273953104,Copper
381,Copper,38,67.567566,61.60783325012807,Copper
381,Copper,9,75.708054,65.14754495951973,Copper
381,Copper,17,65.0,64.1021024593684,Copper
381,Copper,43,34.796127,60.09290853803152,Copper
381,Copper,37,42.134087,60.73149772932932,Copper
381,Copper,26,40.595482,63.09167661264844,Copper
381,Copper,15,40.761177,63.82529299819619,Copper
381,Copper,40,31.48221,66.01277623712544,Copper
381,Copper,12,33.139168,67.55423133929054,Copper
381,Copper,36,31.48221,67.50473507876855,Copper
381,Copper,49,26.511335,66.20898223535575,Copper
381,Copper,4,37.281563,68.05424783906689,Copper
381,Copper,45,54.679626,68.83884787640689,Copper
381,Copper,24,48.246731,67.46799300098509,Copper
381,Copper,0,43.086784,67.06058959867879,Copper
381,Copper,7,22.316597,69.61270228386344,Copper
381,Copper,34,21.008181,68.06543310036427,Copper
381,Copper,21,15.870375,67.20066899041913,Copper
381,Copper,33,14.970834,68.42651844991005,Copper
381,Copper,46,12.479908,68.61927153067003,Copper
381,Copper,5,10.0,68.6342869056991,Copper
381,Copper,27,10.0,68.23760189815037,Copper
381,Copper,8,10.0,67.80638074457903,Copper
381,Copper,22,10.0,67.17808562081136,Copper
381,Copper,25,10.0,67.17808562081136,Copper
381,Copper,41,10.0,67.17808562081136,Copper
381,Copper,44,,,Copper
381,Copper,30,,,Copper
381,Copper,28,,,Copper
381,Copper,47,,,Copper
381,Copper,6,,,Copper
381,Copper,18,,,Copper
381,Copper,1,,,Copper
381,Copper,39,,,Copper
381,Copper,31,,,Copper
381,Copper,11,,,Copper
381,Copper,2,,,Copper
381,Copper,19,,,Copper
381,Copper,48,,,Copper
381,Copper,29,,,Copper
381,Copper,20,,,Copper
381,Copper,16,,,Copper
61,Copper,10,97.127014,74.0419701559732,Copper
61,Copper,35,89.937187,74.18436311651006,Copper
61,Copper,3,88.55246,72.90698167382165,Copper
61,Copper,42,90.026054,74.03614024620981,Copper
61,Copper,23,89.207497,75.74825127813286,Copper
61,Copper,14,88.800362,74.06285927053048,Copper
61,Copper,32,83.152695,74.03148121401104,Copper
61,Copper,13,80.462997,73.05016073237084,Copper
61,Copper,38,,,Copper
61,Copper,9,,,Copper
61,Copper,17,,,Copper
61,Copper,43,,,Copper
61,Copper,37,,,Copper
61,Copper,26,,,Copper
61,Copper,15,,,Copper
61,Copper,40,,,Copper
61,Copper,12,78.609222,81.00256606078817,Copper
61,Copper,36,85.563492,81.35707029662365,Copper
61,Copper,49,88.687325,78.83238823614268,Copper
61,Copper,4,,,Copper
61,Copper,45,,,Copper
61,Copper,24,80.0,80.45889491886597,Copper
61,Copper,0,85.0,80.3137171493259,Copper
61,Copper,7,88.702667,79.82809534597455,Copper
61,Copper,34,86.58078,78.13246696455806,Copper
61,Copper,21,87.908569,77.69438287204993,Copper
61,Copper,33,88.139793,78.04718092382883,Copper
61,Copper,46,85.170654,78.19107249503975,Copper
61,Copper,5,87.400002,78.36324762153902,Copper
61,Copper,27,87.400002,78.80735803308659,Copper
61,Copper,8,87.400002,78.80735803308659,Copper
61,Copper,22,87.400002,78.36324762153902,Copper
61,Copper,25,87.400002,77.8753868012093,Copper
61,Copper,41,87.400002,77.8753868012093,Copper
61,Copper,44,87.400002,78.94697055828709,Copper
61,Copper,30,87.400002,79.46912851825427,Copper
61,Copper,28,87.400002,78.51574940471575,Copper
61,Copper,47,87.400002,78.043400074039,Copper
61,Copper,6,87.400002,77.70147713637134,Copper
61,Copper,18,87.400002,78.20590371106127,Copper
61,Copper,1,87.400002,78.36324762153902,Copper
61,Copper,39,87.400002,78.36324762153902,Copper
61,Copper,31,87.400002,77.70147713637134,Copper
61,Copper,11,87.400002,77.8753868012093,Copper
61,Copper,2,87.400002,77.52124211407182,Copper
61,Copper,19,87.400002,77.1398295897909,Copper
61,Copper,48,87.400002,77.8753868012093,Copper
61,Copper,29,87.400002,76.93751917732374,Copper
61,Copper,20,87.400002,76.03394869307564,Copper
61,Copper,16,,,Copper
317,Copper,10,72.513199,76.86317682077542,Copper
317,Copper,35,72.611465,76.69024611663406,Copper
317,Copper,3,74.120857,75.78640576319516,Copper
317,Copper,42,73.88401,76.58966940328811,Copper
317,Copper,23,74.674828,77.59099197060421,Copper
317,Copper,14,74.90049,76.74340241478636,Copper
317,Copper,32,73.572868,76.87723161496102,Copper
317,Copper,13,77.169357,75.15984887581428,Copper
317,Copper,38,74.983368,74.94695142644413,Copper
317,Copper,9,69.794754,75.85691361965645,Copper
317,Copper,17,70.049301,75.6046799552041,Copper
317,Copper,43,,,Copper
317,Copper,37,,,Copper
317,Copper,26,,,Copper
317,Copper,15,,,Copper
317,Copper,40,73.268204,79.25375423819268,Copper
317,Copper,12,76.610977,80.79520934035779,Copper
317,Copper,36,70.132584,70.50869375037583,Copper
317,Copper,49,,,Copper
317,Copper,4,74.074074,81.29522584013414,Copper
317,Copper,45,76.380241,82.55217520815089,Copper
317,Copper,24,79.452057,81.61254148630043,Copper
317,Copper,0,80.060234,81.20513808399413,Copper
317,Copper,7,72.390076,80.84422890396733,Copper
317,Copper,34,77.519417,80.54245314238393,Copper
317,Copper,21,81.035576,79.87694871110796,Copper
317,Copper,33,86.167015,79.95400863442808,Copper
317,Copper,46,75.413414,80.14676171518806,Copper
317,Copper,5,85.0,80.05285145500235,Copper
317,Copper,27,85.0,80.05285145500235,Copper
317,Copper,8,85.0,80.05285145500235,Copper
317,Copper,22,85.0,79.46912851825427,Copper
317,Copper,25,85.0,79.46912851825427,Copper
317,Copper,41,85.0,79.46912851825427,Copper
317,Copper,44,85.0,78.043400074039,Copper
317,Copper,30,85.0,78.043400074039,Copper
317,Copper,28,85.0,78.043400074039,Copper
317,Copper,47,85.0,78.043400074039,Copper
317,Copper,6,85.0,78.043400074039,Copper
317,Copper,18,85.0,78.043400074039,Copper
317,Copper,1,85.0,78.043400074039,Copper
317,Copper,39,85.0,78.043400074039,Copper
317,Copper,31,85.0,78.043400074039,Copper
317,Copper,11,85.0,78.043400074039,Copper
317,Copper,2,85.0,78.043400074039,Copper
317,Copper,19,85.0,78.043400074039,Copper
317,Copper,48,85.0,78.043400074039,Copper
317,Copper,29,85.0,78.043400074039,Copper
317,Copper,20,85.0,78.043400074039,Copper
317,Copper,16,85.0,78.043400074039,Copper
160,Copper,10,87.12899,74.03560391543077,Copper
160,Copper,35,86.072624,74.00844598202931,Copper
160,Copper,3,83.340698,73.10460562859042,Copper
160,Copper,42,81.684097,73.52176252960835,Copper
160,Copper,23,80.413277,74.15581214542559,Copper
