,,Total reclamation cost,Capacity
Values,0,249.0,213.0
Values,1,12.0,29.0
Values,2,2.0,13.0
Values,3,6.0,7.0
Values,4,0.0,4.0
Values,5,1.0,2.0
Values,6,1.0,3.0
Values,7,1.0,0.0
Values,8,0.0,1.0
Values,9,1.0,1.0
Edges,0,-5.500000511515857,0.01665
Edges,1,68.48037825298127,6.114985000000001
Edges,2,142.46075701747841,12.213320000000001
Edges,3,216.44113578197556,18.311655000000002
Edges,4,290.4215145464727,24.40999
Edges,5,364.4018933109698,30.508325
Edges,6,438.382272075467,36.606660000000005
Edges,7,512.3626508399641,42.704995000000004
Edges,8,586.3430296044612,48.80333
Edges,9,660.3234083689583,54.901665
Edges,10,734.3037871334554,61.0
