,,,Actual,Predicted,Commodity
0,Cobalt,365,-4.115921792565876,-4.4117468608110535,Cobalt
0,Cobalt,838,-6.652563758698101,-5.538123965075747,Cobalt
0,Copper,881,-6.753403564634088,-7.127735510266913,Copper
0,Copper,845,-7.109453265149615,-6.9234603970351625,Copper
0,Copper,806,-7.225711843708366,-7.370195728216743,Copper
0,Copper,359,-7.881878666178262,-6.9379118572130345,Copper
0,Copper,677,-7.009930462674382,-6.855700081707235,Copper
0,Copper,812,-6.937285900004776,-7.152606512452559,Copper
0,Copper,214,-6.55032931729944,-7.17348889874137,Copper
0,Copper,319,-5.3450632485029015,-5.1981183842508525,Copper
0,Copper,220,-7.597387907037484,-6.74790693742842,Copper
0,Copper,572,-5.786106757047737,-6.942583215670839,Copper
0,Copper,654,-3.827275985273808,-5.151262136717651,Copper
0,Copper,402,-5.02866629544147,-6.971039039885129,Copper
0,Copper,774,-4.2097120076320795,-5.449711704385361,Copper
0,Copper,764,-4.6910007221672245,-4.775736552385979,Copper
0,Copper,748,-4.388347576984161,-5.698398083996074,Copper
0,Copper,335,-7.2569952524495935,-6.746933980500797,Copper
0,Copper,82,-4.94177888961281,-4.900883393596912,Copper
0,Copper,13,-5.640180304649181,-6.418251549036129,Copper
0,Copper,857,-7.881006919958066,-7.432942604740593,Copper
0,Copper,28,-5.642298102971039,-5.863980225307459,Copper
0,Copper,887,-7.061985060744732,-7.137759794303956,Copper
0,Copper,718,-4.647593372881456,-5.585131420747013,Copper
0,Copper,349,-6.687690099340003,-6.7577016259071465,Copper
0,Copper,57,-5.360408769224152,-5.015075658833702,Copper
0,Copper,608,-4.699916796849452,-5.29633815343743,Copper
0,Copper,702,-5.619301051502585,-6.420839982423755,Copper
0,Copper,439,-7.255583335404687,-7.246909205100841,Copper
0,Copper,322,-7.513900887628895,-7.302430477849654,Copper
0,Copper,360,-6.295558924539449,-6.747872232777068,Copper
0,Copper,642,-5.656311314477933,-6.759132577367423,Copper
0,Copper,63,-6.259454224599136,-6.457970665078521,Copper
0,Copper,5,-7.318183452232497,-6.90117671919349,Copper
0,Copper,853,-5.5684289427712255,-5.675691884704182,Copper
0,Copper,631,-5.65332260868987,-6.522634524068226,Copper
0,Copper,621,-5.6815928591531435,-6.578870742451633,Copper
0,Copper,464,-6.129963976891373,-6.867154097289234,Copper
0,Copper,169,-6.412656085196357,-5.586059730162264,Copper
0,Copper,254,-5.5357613755593835,-6.287820213645164,Copper
0,Copper,444,-5.278438047373412,-5.659489271881352,Copper
0,Copper,157,-6.916004422079604,-7.691040382673407,Copper
0,Copper,505,-5.255272307268332,-4.9569723254428375,Copper
0,Copper,788,-5.5999305260791115,-5.528174284634826,Copper
0,Copper,205,-6.667413010673573,-6.860898819737041,Copper
0,Copper,215,-6.861349064243663,-7.136947751264984,Copper
0,Copper,186,-4.859113671767333,-6.348100290101797,Copper
0,Copper,663,-5.821744558114707,-6.62202542434351,Copper
0,Copper,175,-6.319693032527483,-5.915762834078409,Copper
0,Copper,570,-5.458692773531532,-5.706996513009768,Copper
0,Copper,837,-6.510742304190018,-5.504599242191867,Copper
0,Copper,820,-6.084302172934207,-6.671830285208536,Copper
0,Copper,296,-7.337691105718072,-6.0882401507500035,Copper
0,Copper,436,-5.13049671365936,-6.312756104913896,Copper
0,Copper,288,-6.01872410989333,-7.3244115509205585,Copper
0,Copper,19,-7.066482787975425,-7.096217882769626,Copper
0,Copper,768,-5.318874679976742,-5.67429001649395,Copper
0,Copper,311,-6.540838962515494,-7.036433946121174,Copper
0,Copper,872,-5.649316085064202,-6.008345555689333,Copper
0,Copper,148,-6.578687605996248,-5.729670333192816,Copper
0,Copper,682,-6.343074494587034,-6.805284311354387,Copper
0,Copper,18,-5.690437252163137,-5.72863756635355,Copper
0,Copper,804,-7.5881265068515225,-6.973731602276015,Copper
0,Copper,369,-4.107145181691255,-5.198461411809619,Copper
0,Copper,549,-6.4188270559845915,-6.455217615619913,Copper
0,Copper,832,-5.570502877749168,-6.876411957806552,Copper
0,Copper,161,-7.700859294861564,-6.092401278939535,Copper
0,Copper,216,-6.154762315769967,-4.5193002823769195,Copper
0,Copper,188,-5.629544327175111,-6.551422383550481,Copper
0,Copper,403,-6.308475967346192,-6.561456256411813,Copper
0,Copper,372,-6.817492499767208,-5.886081837997791,Copper
0,Copper,428,-5.79952897522465,-6.916831376100592,Copper
0,Copper,665,-5.698930390080233,-5.321061087548287,Copper
0,Copper,466,-6.186765379460111,-6.056212567444106,Copper
0,Copper,358,-6.796063061668038,-6.720730696613471,Copper
0,Copper,497,-3.1321500229211443,-4.51585472463273,Copper
0,Copper,706,-5.750188164225835,-6.270711452117451,Copper
0,Copper,545,-5.627850628201436,-6.418027221803499,Copper
0,Copper,567,-4.612912098403367,-5.486498142482517,Copper
0,Copper,274,-6.216142200481168,-4.964699037997324,Copper
0,Copper,906,-6.186064251595404,-7.111293077317233,Copper
0,Copper,731,-4.0262029179484795,-5.2997785199995615,Copper
0,Copper,281,-5.507063196313212,-5.104179831156172,Copper
0,Copper,27,-4.354138269829016,-5.264518812092286,Copper
0,Copper,230,-5.278514733484844,-6.203215411202372,Copper
0,Copper,808,-5.253845201730087,-5.635579816457341,Copper
0,Copper,557,-5.53566871446803,-5.559238850101371,Copper
0,Copper,780,-6.013281906263144,-6.989889319077745,Copper
0,Copper,414,-5.199257553237846,-6.229608599828865,Copper
0,Copper,284,-4.249651685873899,-5.775974352245642,Copper
0,Copper,765,-5.99667272169004,-6.953694431972707,Copper
