,,,Actual,Predicted,Commodity
303,Gold,33,,,Gold
303,Gold,30,,,Gold
303,Gold,6,,,Gold
303,Gold,8,,,Gold
303,Gold,32,,,Gold
303,Gold,15,,,Gold
303,Gold,28,,,Gold
303,Gold,9,,,Gold
303,Gold,43,,,Gold
303,Gold,16,,,Gold
303,Gold,11,,,Gold
303,Gold,49,,,Gold
303,Gold,47,,,Gold
303,Gold,44,,,Gold
303,Gold,13,,,Gold
303,Gold,7,,,Gold
303,Gold,26,,,Gold
303,Gold,14,,,Gold
303,Gold,3,,,Gold
303,Gold,45,15.876687642987847,16.838333626171814,Gold
303,Gold,10,16.572927098967888,17.069575728401517,Gold
303,Gold,24,,16.88722886593277,Gold
303,Gold,39,16.414581153046942,16.872032444812938,Gold
303,Gold,1,16.680759716327245,16.79787170273812,Gold
303,Gold,42,16.562869484239354,16.694067791949053,Gold
303,Gold,12,16.839318975905222,16.785527271919975,Gold
303,Gold,31,16.2535237384851,16.75698495005622,Gold
303,Gold,38,16.175707051737685,16.779385608110857,Gold
303,Gold,21,16.15725522259065,16.808525247520627,Gold
303,Gold,36,16.25350678569251,16.820639673527513,Gold
303,Gold,2,16.31848313422605,16.820639673527513,Gold
303,Gold,48,16.33402280024232,16.812780684300293,Gold
303,Gold,40,,,Gold
303,Gold,27,,,Gold
303,Gold,17,,,Gold
303,Gold,20,,,Gold
303,Gold,0,,,Gold
303,Gold,41,,,Gold
303,Gold,19,,,Gold
303,Gold,4,,,Gold
303,Gold,23,,,Gold
303,Gold,35,,,Gold
303,Gold,22,,,Gold
303,Gold,29,,,Gold
303,Gold,37,,,Gold
303,Gold,5,,,Gold
303,Gold,46,,,Gold
303,Gold,34,,,Gold
303,Gold,25,,,Gold
303,Gold,18,,,Gold
305,Copper,33,6.679420180407534,6.660188769023425,Copper
305,Copper,30,6.463379847740365,6.632599148890339,Copper
305,Copper,6,4.8187757656167465,6.396189558829341,Copper
305,Copper,8,6.020329784326279,6.631770771833173,Copper
305,Copper,32,6.789054974909604,6.903228707308691,Copper
305,Copper,15,5.961332917149979,6.6302976169323005,Copper
305,Copper,28,6.170111947088791,6.609254259300663,Copper
305,Copper,9,4.693272802983546,6.24866909813838,Copper
305,Copper,43,,6.2179719297410685,Copper
305,Copper,16,5.8498343202970196,6.466235600962819,Copper
305,Copper,11,,6.294786108563077,Copper
305,Copper,49,,6.151661566474709,Copper
305,Copper,47,5.6336630801389544,6.294643545249513,Copper
305,Copper,44,6.948927579529302,6.823094467373104,Copper
305,Copper,13,7.169931162522594,6.987353311551254,Copper
305,Copper,7,7.904388233592929,7.477137176203246,Copper
305,Copper,26,8.175676156116577,7.822273460536795,Copper
305,Copper,14,7.556078493108584,7.811191103729275,Copper
305,Copper,3,7.787857441995757,7.521068270335051,Copper
305,Copper,45,6.877207809725977,7.934228610314353,Copper
305,Copper,10,8.389678005416974,8.109902842535025,Copper
305,Copper,24,7.701906872496059,7.975908638133356,Copper
305,Copper,39,6.818957936017092,7.884689830463034,Copper
305,Copper,1,7.438778615804825,7.898560319314849,Copper
305,Copper,42,6.811273218481455,7.6175665989603125,Copper
305,Copper,12,7.376731020188794,7.494239766395202,Copper
305,Copper,31,7.912018994840696,7.768711028650408,Copper
305,Copper,38,7.675289139163991,7.811869004509648,Copper
305,Copper,21,7.2684154347166245,7.815230990686302,Copper
305,Copper,36,7.025567977380088,7.802337925290184,Copper
305,Copper,2,6.633265082457772,7.788322365268037,Copper
305,Copper,48,5.127382262404173,7.767901502455863,Copper
305,Copper,40,5.127382262404173,7.767901502455863,Copper
305,Copper,27,5.127382262404173,7.767901502455863,Copper
305,Copper,17,,,Copper
305,Copper,20,,,Copper
305,Copper,0,,,Copper
305,Copper,41,,,Copper
305,Copper,19,,,Copper
305,Copper,4,,,Copper
305,Copper,23,,,Copper
305,Copper,35,,,Copper
305,Copper,22,,,Copper
305,Copper,29,,,Copper
305,Copper,37,,,Copper
305,Copper,5,,,Copper
305,Copper,46,,,Copper
305,Copper,34,,,Copper
305,Copper,25,,,Copper
305,Copper,18,,,Copper
1091,Copper,33,5.8133215062007295,6.702469270891768,Copper
1091,Copper,30,5.731103411241621,6.68384548556,Copper
1091,Copper,6,,6.468312612886484,Copper
1091,Copper,8,5.805826224063865,6.688892525458271,Copper
1091,Copper,32,6.938277235841323,6.977187203177225,Copper
1091,Copper,15,5.3024288757523115,6.6803558283069915,Copper
1091,Copper,28,4.191788872781867,6.661398373765307,Copper
1091,Copper,9,,6.329952773313982,Copper
1091,Copper,43,,,Copper
1091,Copper,16,,,Copper
1091,Copper,11,,,Copper
1091,Copper,49,,,Copper
1091,Copper,47,,,Copper
1091,Copper,44,,,Copper
1091,Copper,13,,,Copper
1091,Copper,7,,,Copper
1091,Copper,26,8.390171746610141,8.010577977745122,Copper
1091,Copper,14,8.395926761472904,7.9995444269763345,Copper
1091,Copper,3,7.809650101300409,7.624610342658681,Copper
1091,Copper,45,,,Copper
1091,Copper,10,,,Copper
1091,Copper,24,7.365472925186216,8.100515011578706,Copper
1091,Copper,39,8.085066524834799,8.021728551973998,Copper
1091,Copper,1,7.955569438340653,7.935854556246067,Copper
1091,Copper,42,7.336607143931859,7.628276141570186,Copper
1091,Copper,12,7.5920539316025035,7.5554844543206725,Copper
1091,Copper,31,7.756053197727073,7.772191812990109,Copper
1091,Copper,38,7.638591472880741,7.804409554632337,Copper
1091,Copper,21,7.82318392078821,7.842960066633077,Copper
1091,Copper,36,7.937208291443226,7.857394553619522,Copper
1091,Copper,2,7.9373568020319105,7.857394553619522,Copper
1091,Copper,48,7.823203179121551,7.842960066633077,Copper
1091,Copper,40,7.666511188158875,7.827103602836819,Copper
1091,Copper,27,7.666511188158875,7.827103602836819,Copper
1091,Copper,17,7.968723606991766,7.861932243179938,Copper
1091,Copper,20,8.082325134991086,7.878903433411103,Copper
1091,Copper,0,7.864950454069695,7.847916683157791,Copper
1091,Copper,41,7.744059324456555,7.832564374161137,Copper
1091,Copper,19,7.6075091970613755,7.821451186841497,Copper
1091,Copper,4,7.794833254418394,7.837846071173541,Copper
1091,Copper,23,7.823203179121551,7.842960066633077,Copper
1091,Copper,35,8.022252700778314,7.842960066633077,Copper
1091,Copper,22,7.874662042804843,7.821451186841497,Copper
1091,Copper,29,7.928878145364317,7.827103602836819,Copper
1091,Copper,37,7.846743494185791,7.815593183929972,Copper
1091,Copper,5,7.766240535038026,7.8031965051423375,Copper
1091,Copper,46,7.953750647399649,7.827103602836819,Copper
1091,Copper,34,7.833820466260756,7.796621007383112,Copper
1091,Copper,25,7.129167628706612,7.767253138364312,Copper
1091,Copper,18,,,Copper
723,Copper,33,6.746147031458214,6.7782389337822195,Copper
723,Copper,30,6.843833572879161,6.767420283435652,Copper
723,Copper,6,6.323057376195077,6.565047797348668,Copper
723,Copper,8,6.721915551396171,6.773647515750917,Copper
723,Copper,32,7.188797751382502,7.012553311325767,Copper
723,Copper,15,6.657310001448124,6.737772415662346,Copper
723,Copper,28,6.785677109092679,6.741015201915028,Copper
723,Copper,9,6.259008935177059,6.410706786559294,Copper
723,Copper,43,5.98839368565321,6.363038427930818,Copper
723,Copper,16,6.151910045193531,6.5258299188525735,Copper
723,Copper,11,5.571132300380713,6.380161318588487,Copper
723,Copper,49,,,Copper
723,Copper,47,,,Copper
723,Copper,44,,,Copper
723,Copper,13,,,Copper
723,Copper,7,7.160008301283256,7.61901392012099,Copper
723,Copper,26,7.9166860240429715,7.96415020445454,Copper
723,Copper,14,7.200361847637942,7.908825838753919,Copper
723,Copper,3,,,Copper
723,Copper,45,8.12943880234669,8.076105354232098,Copper
723,Copper,10,8.515889002095824,8.267131895449422,Copper
723,Copper,24,8.282261377557312,8.147153251069902,Copper
723,Copper,39,8.052347336785475,8.055934443399579,Copper
723,Copper,1,7.798023763685502,7.975125827435767,Copper
723,Copper,42,7.516831497533249,7.734613163419672,Copper
723,Copper,12,7.458904784503609,7.61776267359251,Copper
723,Copper,31,7.7173452896687245,7.854895951466224,Copper
723,Copper,38,7.11404080052644,7.898053927325464,Copper
723,Copper,21,7.484758563550152,7.897875609957963,Copper
723,Copper,36,7.412519069800736,7.897875609957963,Copper
723,Copper,2,7.412519069800736,7.897875609957963,Copper
723,Copper,48,7.161611689125411,7.878903433411103,Copper
723,Copper,40,7.161611689125411,7.878903433411103,Copper
723,Copper,27,7.161611689125411,7.878903433411103,Copper
723,Copper,17,,7.832564374161137,Copper
723,Copper,20,,7.832564374161137,Copper
723,Copper,0,,7.832564374161137,Copper
723,Copper,41,,7.832564374161137,Copper
