,,Copper,Gold,Lead,Molybdenum,Nickel,Palladium,Platinum,Silver,Zinc,All metals,Base metals,Precious metals
Parameter values,const,-36.54683516199278,-58.56864622784856,-52.779991195872796,-22.09216758611512,19.53064830459763,-77.34467828173328,-50.3870542020956,-49.98009909398461,22.30796459772518,-13.920452231806161,-5.5626230388301305,-46.42881080204914
Parameter values,log(Head Grade (%)),-0.31633207162288945,-0.3669610607473287,-0.6855169915009712,-0.05189313264555888,-0.5083533823783885,-0.07593757822450364,-0.3486322485994662,-0.19692118945988416,-0.3486362909462926,-0.9174197427045275,-0.45800320748338874,-0.5824782839169503
Parameter values,log(Oil price),0.3989792750780721,0.2744260224657174,0.198488003287316,0.2662651642034082,0.6483856559924995,-0.1084800148277541,0.5665151550096444,0.2752532923402485,0.16576355226942127,0.2966976745799416,0.4800437311979031,0.2844408319921718
Parameter values,Year,0.021239102445424658,0.03539552344955213,0.029636144445225263,0.015191479873805489,-0.006581513148427444,0.04656038910985556,0.03089788053803852,0.03011564375268775,-0.007940374594489841,0.010480803149280259,0.005631843786729496,0.028353638848049152
Parameter values,Year interpretation,0.021466257521345344,0.036029401695504504,0.03007966555050623,0.015307456947745601,-0.006559902427172637,0.04766134449426729,0.031380174520025506,0.030573706473443263,-0.007908933094272652,0.01053591915163743,0.005647732432401575,0.028759429399989322
Parameter values,AIC,1390.660011947798,1920.2339932766708,115.31786391305809,49.14446751640555,353.54243141478526,10.374145211795073,227.2881404494859,696.0419017088113,3756.4264716689886,8996.104429497525,16745.5959732044,2785.3377895712365
p-values,const,0.0,0.0,1.0108463355251729e-07,0.18503643065230113,1.7529132123605962e-07,1.2131051718711205e-10,1.8435408755124172e-10,3.3306690738754696e-15,6.343113774454068e-06,0.0,0.05702207077013677,0.0
p-values,log(Head Grade (%)),0.0,0.0,1.1102230246251565e-15,0.31809153054154216,0.0,0.08376319446585523,0.007427110055780561,0.001944907766933568,0.0,0.0,0.0,0.0
p-values,log(Oil price),0.0,0.0,0.014349716739648688,0.015587243036684795,0.0,0.18343512301844145,0.0,2.2251978037957088e-11,8.767374968710051e-05,0.0,0.0,0.0
p-values,Year,0.0,0.0,5.458483443021578e-09,0.07514349193704373,0.0004833831175472536,9.894307595459395e-13,5.972999872483342e-14,0.0,0.0016114336685859598,0.0,0.00015316667864251343,0.0
