,,,Actual,Predicted
Cobalt,Values,0,1.0,1.0
Cobalt,Values,1,0.0,0.0
Cobalt,Values,2,0.0,0.0
Cobalt,Values,3,0.0,0.0
Cobalt,Values,4,0.0,0.0
Cobalt,Values,5,0.0,0.0
Cobalt,Values,6,0.0,0.0
Cobalt,Values,7,0.0,0.0
Cobalt,Values,8,0.0,0.0
Cobalt,Values,9,0.0,0.0
Cobalt,Values,10,0.0,0.0
Cobalt,Values,11,0.0,0.0
Cobalt,Values,12,0.0,0.0
Cobalt,Values,13,0.0,0.0
Cobalt,Values,14,0.0,0.0
Cobalt,Values,15,0.0,0.0
Cobalt,Values,16,0.0,0.0
Cobalt,Values,17,0.0,0.0
Cobalt,Values,18,0.0,0.0
Cobalt,Values,19,0.0,0.0
Cobalt,Values,20,0.0,0.0
Cobalt,Values,21,0.0,0.0
Cobalt,Values,22,0.0,0.0
Cobalt,Values,23,0.0,0.0
Cobalt,Values,24,0.0,0.0
Cobalt,Values,25,0.0,0.0
Cobalt,Values,26,0.0,0.0
Cobalt,Values,27,0.0,0.0
Cobalt,Values,28,0.0,0.0
Cobalt,Values,29,0.0,0.0
Cobalt,Values,30,0.0,0.0
Cobalt,Values,31,0.0,0.0
Cobalt,Values,32,0.0,0.0
Cobalt,Values,33,0.0,0.0
Cobalt,Values,34,0.0,0.0
Cobalt,Values,35,0.0,0.0
Cobalt,Values,36,0.0,0.0
Cobalt,Values,37,0.0,0.0
Cobalt,Values,38,0.0,0.0
Cobalt,Values,39,0.0,0.0
Cobalt,Values,40,0.0,0.0
Cobalt,Values,41,0.0,0.0
Cobalt,Values,42,0.0,0.0
Cobalt,Values,43,0.0,0.0
Cobalt,Values,44,0.0,0.0
Cobalt,Values,45,0.0,0.0
Cobalt,Values,46,0.0,0.0
Cobalt,Values,47,0.0,0.0
Cobalt,Values,48,0.0,0.0
Cobalt,Values,49,1.0,1.0
Cobalt,Edges,0,-6.652563758698101,-5.538123965075747
Cobalt,Edges,1,-6.601830919375456,-5.515596422990453
Cobalt,Edges,2,-6.551098080052812,-5.4930688809051595
Cobalt,Edges,3,-6.500365240730167,-5.470541338819865
Cobalt,Edges,4,-6.449632401407523,-5.448013796734571
Cobalt,Edges,5,-6.398899562084878,-5.425486254649278
Cobalt,Edges,6,-6.348166722762234,-5.402958712563984
Cobalt,Edges,7,-6.297433883439589,-5.38043117047869
Cobalt,Edges,8,-6.246701044116945,-5.357903628393396
Cobalt,Edges,9,-6.1959682047943,-5.335376086308102
Cobalt,Edges,10,-6.145235365471656,-5.312848544222808
Cobalt,Edges,11,-6.094502526149011,-5.290321002137515
Cobalt,Edges,12,-6.043769686826367,-5.2677934600522205
Cobalt,Edges,13,-5.993036847503722,-5.245265917966926
Cobalt,Edges,14,-5.942304008181078,-5.222738375881633
Cobalt,Edges,15,-5.891571168858433,-5.200210833796339
Cobalt,Edges,16,-5.840838329535789,-5.177683291711045
Cobalt,Edges,17,-5.790105490213144,-5.155155749625751
Cobalt,Edges,18,-5.7393726508905,-5.132628207540457
Cobalt,Edges,19,-5.688639811567855,-5.110100665455163
Cobalt,Edges,20,-5.637906972245211,-5.08757312336987
Cobalt,Edges,21,-5.587174132922566,-5.065045581284576
Cobalt,Edges,22,-5.536441293599922,-5.042518039199281
Cobalt,Edges,23,-5.485708454277278,-5.019990497113988
Cobalt,Edges,24,-5.434975614954633,-4.997462955028694
Cobalt,Edges,25,-5.384242775631988,-4.974935412943401
Cobalt,Edges,26,-5.333509936309344,-4.9524078708581065
Cobalt,Edges,27,-5.282777096986699,-4.929880328772812
Cobalt,Edges,28,-5.232044257664055,-4.907352786687518
Cobalt,Edges,29,-5.18131141834141,-4.884825244602225
Cobalt,Edges,30,-5.130578579018766,-4.862297702516931
Cobalt,Edges,31,-5.079845739696122,-4.839770160431637
Cobalt,Edges,32,-5.029112900373477,-4.817242618346343
Cobalt,Edges,33,-4.978380061050832,-4.794715076261049
Cobalt,Edges,34,-4.927647221728188,-4.772187534175755
Cobalt,Edges,35,-4.876914382405543,-4.749659992090462
Cobalt,Edges,36,-4.826181543082899,-4.7271324500051675
Cobalt,Edges,37,-4.775448703760254,-4.704604907919874
Cobalt,Edges,38,-4.72471586443761,-4.68207736583458
Cobalt,Edges,39,-4.673983025114966,-4.659549823749286
Cobalt,Edges,40,-4.623250185792321,-4.6370222816639926
Cobalt,Edges,41,-4.5725173464696764,-4.614494739578698
Cobalt,Edges,42,-4.521784507147032,-4.591967197493404
Cobalt,Edges,43,-4.471051667824387,-4.569439655408111
Cobalt,Edges,44,-4.420318828501744,-4.546912113322817
Cobalt,Edges,45,-4.3695859891790985,-4.524384571237523
Cobalt,Edges,46,-4.318853149856454,-4.501857029152229
Cobalt,Edges,47,-4.26812031053381,-4.479329487066935
Cobalt,Edges,48,-4.217387471211165,-4.456801944981641
Cobalt,Edges,49,-4.1666546318885205,-4.434274402896348
Cobalt,Edges,50,-4.115921792565876,-4.4117468608110535
Copper,Values,0,2.0,1.0
Copper,Values,1,0.0,0.0
Copper,Values,2,0.0,0.0
Copper,Values,3,1.0,0.0
Copper,Values,4,0.0,0.0
Copper,Values,5,1.0,0.0
Copper,Values,6,1.0,0.0
Copper,Values,7,0.0,0.0
Copper,Values,8,3.0,0.0
Copper,Values,9,3.0,1.0
Copper,Values,10,4.0,0.0
Copper,Values,11,2.0,0.0
Copper,Values,12,4.0,3.0
Copper,Values,13,6.0,4.0
Copper,Values,14,7.0,2.0
Copper,Values,15,8.0,4.0
Copper,Values,16,12.0,12.0
Copper,Values,17,8.0,4.0
Copper,Values,18,13.0,16.0
Copper,Values,19,13.0,22.0
Copper,Values,20,12.0,12.0
Copper,Values,21,15.0,18.0
Copper,Values,22,12.0,15.0
Copper,Values,23,10.0,15.0
Copper,Values,24,10.0,13.0
Copper,Values,25,11.0,12.0
Copper,Values,26,8.0,8.0
Copper,Values,27,7.0,8.0
Copper,Values,28,8.0,7.0
Copper,Values,29,13.0,7.0
Copper,Values,30,6.0,4.0
Copper,Values,31,6.0,3.0
Copper,Values,32,10.0,6.0
Copper,Values,33,4.0,7.0
Copper,Values,34,6.0,12.0
Copper,Values,35,3.0,7.0
Copper,Values,36,2.0,6.0
Copper,Values,37,7.0,1.0
Copper,Values,38,2.0,2.0
Copper,Values,39,3.0,3.0
Copper,Values,40,3.0,3.0
Copper,Values,41,5.0,6.0
Copper,Values,42,1.0,2.0
Copper,Values,43,0.0,3.0
Copper,Values,44,3.0,4.0
Copper,Values,45,1.0,2.0
Copper,Values,46,0.0,0.0
Copper,Values,47,0.0,0.0
Copper,Values,48,0.0,2.0
Copper,Values,49,2.0,1.0
Copper,Edges,0,-9.216258455397993,-8.468678704316593
Copper,Edges,1,-9.094087934962987,-8.387838310440474
Copper,Edges,2,-8.971917414527981,-8.306997916564356
Copper,Edges,3,-8.849746894092975,-8.226157522688236
Copper,Edges,4,-8.72757637365797,-8.145317128812119
Copper,Edges,5,-8.605405853222964,-8.064476734936
Copper,Edges,6,-8.48323533278796,-7.9836363410598805
Copper,Edges,7,-8.361064812352954,-7.902795947183762
Copper,Edges,8,-8.238894291917948,-7.821955553307642
Copper,Edges,9,-8.116723771482942,-7.741115159431524
Copper,Edges,10,-7.994553251047936,-7.660274765555405
Copper,Edges,11,-7.87238273061293,-7.5794343716792865
Copper,Edges,12,-7.750212210177924,-7.498593977803168
Copper,Edges,13,-7.628041689742918,-7.417753583927048
Copper,Edges,14,-7.5058711693079125,-7.33691319005093
Copper,Edges,15,-7.383700648872907,-7.256072796174811
Copper,Edges,16,-7.261530128437901,-7.175232402298692
Copper,Edges,17,-7.139359608002895,-7.094392008422574
Copper,Edges,18,-7.01718908756789,-7.013551614546454
Copper,Edges,19,-6.895018567132884,-6.932711220670336
Copper,Edges,20,-6.772848046697878,-6.851870826794217
Copper,Edges,21,-6.650677526262873,-6.771030432918098
Copper,Edges,22,-6.528507005827867,-6.69019003904198
Copper,Edges,23,-6.4063364853928615,-6.60934964516586
Copper,Edges,24,-6.284165964957856,-6.528509251289742
