,,,Actual,Predicted
Gold,Values,0,1.0,1.0
Gold,Values,1,1.0,10.0
Gold,Values,2,0.0,8.0
Gold,Values,3,0.0,23.0
Gold,Values,4,0.0,10.0
Gold,Values,5,0.0,29.0
Gold,Values,6,1.0,41.0
Gold,Values,7,0.0,52.0
Gold,Values,8,0.0,41.0
Gold,Values,9,1.0,52.0
Gold,Values,10,0.0,59.0
Gold,Values,11,1.0,49.0
Gold,Values,12,0.0,63.0
Gold,Values,13,0.0,66.0
Gold,Values,14,2.0,51.0
Gold,Values,15,1.0,51.0
Gold,Values,16,1.0,42.0
Gold,Values,17,4.0,33.0
Gold,Values,18,2.0,37.0
Gold,Values,19,1.0,26.0
Gold,Values,20,4.0,31.0
Gold,Values,21,7.0,32.0
Gold,Values,22,4.0,35.0
Gold,Values,23,7.0,44.0
Gold,Values,24,10.0,44.0
Gold,Values,25,8.0,44.0
Gold,Values,26,16.0,64.0
Gold,Values,27,21.0,54.0
Gold,Values,28,15.0,44.0
Gold,Values,29,27.0,43.0
Gold,Values,30,32.0,75.0
Gold,Values,31,68.0,111.0
Gold,Values,32,55.0,146.0
Gold,Values,33,68.0,257.0
Gold,Values,34,79.0,344.0
Gold,Values,35,118.0,477.0
Gold,Values,36,127.0,732.0
Gold,Values,37,164.0,695.0
Gold,Values,38,208.0,792.0
Gold,Values,39,226.0,679.0
Gold,Values,40,305.0,580.0
Gold,Values,41,401.0,385.0
Gold,Values,42,485.0,178.0
Gold,Values,43,738.0,125.0
Gold,Values,44,1009.0,112.0
Gold,Values,45,1024.0,77.0
Gold,Values,46,818.0,33.0
Gold,Values,47,379.0,21.0
Gold,Values,48,136.0,28.0
Gold,Values,49,21.0,6.0
Gold,Edges,0,9.098724642709108,14.690487385404138
Gold,Edges,1,9.272212822898814,14.742836042491312
Gold,Edges,2,9.44570100308852,14.795184699578488
Gold,Edges,3,9.619189183278227,14.847533356665663
Gold,Edges,4,9.792677363467932,14.899882013752837
Gold,Edges,5,9.966165543657638,14.952230670840011
Gold,Edges,6,10.139653723847344,15.004579327927187
Gold,Edges,7,10.31314190403705,15.056927985014362
Gold,Edges,8,10.486630084226757,15.109276642101536
Gold,Edges,9,10.660118264416463,15.16162529918871
Gold,Edges,10,10.833606444606168,15.213973956275886
Gold,Edges,11,11.007094624795874,15.26632261336306
Gold,Edges,12,11.18058280498558,15.318671270450235
Gold,Edges,13,11.354070985175287,15.371019927537409
Gold,Edges,14,11.527559165364993,15.423368584624585
Gold,Edges,15,11.701047345554699,15.47571724171176
Gold,Edges,16,11.874535525744404,15.528065898798934
Gold,Edges,17,12.04802370593411,15.580414555886108
Gold,Edges,18,12.221511886123817,15.632763212973284
Gold,Edges,19,12.395000066313523,15.685111870060458
Gold,Edges,20,12.568488246503229,15.737460527147633
Gold,Edges,21,12.741976426692935,15.789809184234809
Gold,Edges,22,12.91546460688264,15.842157841321983
Gold,Edges,23,13.088952787072348,15.894506498409157
Gold,Edges,24,13.262440967262053,15.946855155496332
Gold,Edges,25,13.435929147451759,15.999203812583506
Gold,Edges,26,13.609417327641466,16.051552469670682
Gold,Edges,27,13.78290550783117,16.103901126757858
Gold,Edges,28,13.956393688020878,16.15624978384503
Gold,Edges,29,14.129881868210584,16.208598440932207
Gold,Edges,30,14.30337004840029,16.26094709801938
Gold,Edges,31,14.476858228589997,16.313295755106555
Gold,Edges,32,14.6503464087797,16.36564441219373
Gold,Edges,33,14.823834588969408,16.417993069280904
Gold,Edges,34,14.997322769159114,16.47034172636808
Gold,Edges,35,15.17081094934882,16.522690383455256
Gold,Edges,36,15.344299129538527,16.57503904054243
Gold,Edges,37,15.51778730972823,16.627387697629604
Gold,Edges,38,15.691275489917938,16.67973635471678
Gold,Edges,39,15.864763670107644,16.732085011803953
Gold,Edges,40,16.03825185029735,16.78443366889113
Gold,Edges,41,16.211740030487057,16.8367823259783
Gold,Edges,42,16.38522821067676,16.889130983065478
Gold,Edges,43,16.55871639086647,16.941479640152654
Gold,Edges,44,16.732204571056172,16.993828297239826
Gold,Edges,45,16.90569275124588,17.046176954327002
Gold,Edges,46,17.079180931435587,17.098525611414175
Gold,Edges,47,17.252669111625295,17.15087426850135
Gold,Edges,48,17.426157291815,17.203222925588527
Gold,Edges,49,17.599645472004703,17.2555715826757
Gold,Edges,50,17.77313365219441,17.307920239762876
Copper,Values,0,2.0,3.0
Copper,Values,1,0.0,1.0
Copper,Values,2,1.0,2.0
Copper,Values,3,0.0,1.0
Copper,Values,4,0.0,4.0
Copper,Values,5,0.0,12.0
Copper,Values,6,2.0,23.0
Copper,Values,7,0.0,42.0
Copper,Values,8,1.0,66.0
Copper,Values,9,1.0,89.0
Copper,Values,10,0.0,107.0
Copper,Values,11,2.0,99.0
Copper,Values,12,1.0,101.0
Copper,Values,13,1.0,78.0
Copper,Values,14,1.0,64.0
Copper,Values,15,5.0,69.0
Copper,Values,16,3.0,67.0
Copper,Values,17,4.0,77.0
Copper,Values,18,4.0,52.0
Copper,Values,19,10.0,47.0
Copper,Values,20,15.0,46.0
Copper,Values,21,7.0,46.0
Copper,Values,22,3.0,43.0
Copper,Values,23,11.0,36.0
Copper,Values,24,22.0,24.0
Copper,Values,25,33.0,27.0
Copper,Values,26,45.0,48.0
Copper,Values,27,30.0,59.0
Copper,Values,28,51.0,33.0
Copper,Values,29,60.0,64.0
Copper,Values,30,55.0,88.0
Copper,Values,31,84.0,136.0
Copper,Values,32,113.0,246.0
Copper,Values,33,133.0,409.0
Copper,Values,34,164.0,549.0
Copper,Values,35,180.0,822.0
Copper,Values,36,268.0,1548.0
Copper,Values,37,285.0,956.0
Copper,Values,38,300.0,776.0
Copper,Values,39,302.0,455.0
Copper,Values,40,405.0,289.0
Copper,Values,41,489.0,177.0
Copper,Values,42,716.0,110.0
Copper,Values,43,733.0,74.0
Copper,Values,44,976.0,43.0
Copper,Values,45,941.0,19.0
Copper,Values,46,616.0,9.0
Copper,Values,47,472.0,4.0
Copper,Values,48,97.0,3.0
Copper,Values,49,15.0,2.0
Copper,Edges,0,1.5206464241461062,5.767511064369364
Copper,Edges,1,1.6688827380565947,5.825998867427961
Copper,Edges,2,1.8171190519670835,5.884486670486557
Copper,Edges,3,1.965355365877572,5.942974473545154
Copper,Edges,4,2.1135916797880605,6.00146227660375
Copper,Edges,5,2.2618279936985495,6.059950079662347
Copper,Edges,6,2.410064307609038,6.118437882720943
Copper,Edges,7,2.5583006215195265,6.17692568577954
Copper,Edges,8,2.706536935430015,6.235413488838136
Copper,Edges,9,2.8547732493405036,6.2939012918967325
Copper,Edges,10,3.003009563250992,6.352389094955329
Copper,Edges,11,3.1512458771614806,6.4108768980139255
Copper,Edges,12,3.299482191071969,6.469364701072522
Copper,Edges,13,3.447718504982458,6.527852504131118
Copper,Edges,14,3.595954818892947,6.586340307189715
Copper,Edges,15,3.7441911328034356,6.644828110248312
Copper,Edges,16,3.892427446713924,6.703315913306908
Copper,Edges,17,4.040663760624413,6.761803716365504
Copper,Edges,18,4.188900074534901,6.820291519424101
Copper,Edges,19,4.33713638844539,6.878779322482698
Copper,Edges,20,4.485372702355878,6.937267125541294
Copper,Edges,21,4.633609016266367,6.995754928599891
Copper,Edges,22,4.781845330176855,7.054242731658487
Copper,Edges,23,4.930081644087344,7.112730534717084
Copper,Edges,24,5.078317957997832,7.171218337775681
Copper,Edges,25,5.226554271908322,7.229706140834277
Copper,Edges,26,5.37479058581881,7.288193943892873
Copper,Edges,27,5.523026899729299,7.34668174695147
Copper,Edges,28,5.671263213639787,7.405169550010067
Copper,Edges,29,5.819499527550276,7.463657353068663
Copper,Edges,30,5.967735841460764,7.52214515612726
Copper,Edges,31,6.115972155371253,7.580632959185856
Copper,Edges,32,6.2642084692817415,7.639120762244453
Copper,Edges,33,6.41244478319223,7.6976085653030495
Copper,Edges,34,6.5606810971027185,7.7560963683616455
Copper,Edges,35,6.708917411013207,7.8145841714202415
Copper,Edges,36,6.857153724923696,7.873071974478838
Copper,Edges,37,7.005390038834184,7.931559777537435
Copper,Edges,38,7.1536263527446735,7.990047580596032
Copper,Edges,39,7.301862666655162,8.048535383654627
Copper,Edges,40,7.450098980565651,8.107023186713224
Copper,Edges,41,7.598335294476139,8.165510989771821
Copper,Edges,42,7.746571608386628,8.223998792830418
Copper,Edges,43,7.894807922297116,8.282486595889015
Copper,Edges,44,8.043044236207605,8.340974398947612
Copper,Edges,45,8.191280550118094,8.399462202006207
Copper,Edges,46,8.339516864028582,8.457950005064804
Copper,Edges,47,8.487753177939071,8.516437808123401
Copper,Edges,48,8.635989491849559,8.574925611181996
Copper,Edges,49,8.784225805760048,8.633413414240593
Copper,Edges,50,8.932462119670536,8.69190121729919
Molybdenum,Values,0,1.0,2.0
Molybdenum,Values,1,0.0,4.0
Molybdenum,Values,2,0.0,3.0
Molybdenum,Values,3,0.0,4.0
Molybdenum,Values,4,0.0,0.0
Molybdenum,Values,5,0.0,0.0
Molybdenum,Values,6,0.0,0.0
Molybdenum,Values,7,0.0,0.0
Molybdenum,Values,8,0.0,4.0
Molybdenum,Values,9,0.0,4.0
Molybdenum,Values,10,0.0,1.0
Molybdenum,Values,11,0.0,0.0
Molybdenum,Values,12,0.0,2.0
Molybdenum,Values,13,0.0,1.0
Molybdenum,Values,14,0.0,2.0
Molybdenum,Values,15,0.0,2.0
Molybdenum,Values,16,0.0,1.0
Molybdenum,Values,17,1.0,1.0
Molybdenum,Values,18,0.0,1.0
Molybdenum,Values,19,1.0,0.0
Molybdenum,Values,20,0.0,0.0
Molybdenum,Values,21,0.0,0.0
Molybdenum,Values,22,0.0,0.0
Molybdenum,Values,23,0.0,3.0
Molybdenum,Values,24,1.0,1.0
Molybdenum,Values,25,9.0,2.0
Molybdenum,Values,26,1.0,2.0
Molybdenum,Values,27,2.0,2.0
Molybdenum,Values,28,0.0,2.0
Molybdenum,Values,29,3.0,19.0
Molybdenum,Values,30,3.0,18.0
Molybdenum,Values,31,4.0,5.0
Molybdenum,Values,32,3.0,9.0
Molybdenum,Values,33,3.0,3.0
Molybdenum,Values,34,5.0,1.0
Molybdenum,Values,35,1.0,1.0
Molybdenum,Values,36,2.0,5.0
Molybdenum,Values,37,1.0,1.0
Molybdenum,Values,38,4.0,1.0
Molybdenum,Values,39,4.0,0.0
Molybdenum,Values,40,23.0,0.0
Molybdenum,Values,41,5.0,0.0
Molybdenum,Values,42,5.0,2.0
Molybdenum,Values,43,5.0,0.0
Molybdenum,Values,44,4.0,0.0
Molybdenum,Values,45,0.0,7.0
Molybdenum,Values,46,0.0,1.0
Molybdenum,Values,47,4.0,0.0
Molybdenum,Values,48,9.0,4.0
Molybdenum,Values,49,4.0,3.0
Molybdenum,Edges,0,1.8079971595173756,7.357867675139137
Molybdenum,Edges,1,1.9931551600564938,7.419533825028142
Molybdenum,Edges,2,2.178313160595612,7.481199974917147
Molybdenum,Edges,3,2.36347116113473,7.542866124806152
Molybdenum,Edges,4,2.5486291616738486,7.604532274695157
Molybdenum,Edges,5,2.7337871622129666,7.666198424584162
Molybdenum,Edges,6,2.9189451627520846,7.727864574473167
Molybdenum,Edges,7,3.104103163291203,7.789530724362172
Molybdenum,Edges,8,3.289261163830321,7.851196874251177
Molybdenum,Edges,9,3.474419164369439,7.912863024140182
Molybdenum,Edges,10,3.6595771649085576,7.974529174029187
Molybdenum,Edges,11,3.8447351654476756,8.036195323918193
Molybdenum,Edges,12,4.029893165986794,8.097861473807198
Molybdenum,Edges,13,4.215051166525912,8.159527623696203
Molybdenum,Edges,14,4.4002091670650305,8.221193773585208
Molybdenum,Edges,15,4.585367167604149,8.282859923474213
Molybdenum,Edges,16,4.7705251681432665,8.344526073363218
Molybdenum,Edges,17,4.955683168682384,8.406192223252223
Molybdenum,Edges,18,5.140841169221503,8.467858373141228
Molybdenum,Edges,19,5.325999169760621,8.529524523030233
Molybdenum,Edges,20,5.5111571702997395,8.591190672919238
Molybdenum,Edges,21,5.696315170838858,8.652856822808243
Molybdenum,Edges,22,5.8814731713779755,8.714522972697248
Molybdenum,Edges,23,6.066631171917094,8.776189122586253
Molybdenum,Edges,24,6.251789172456212,8.837855272475258
Molybdenum,Edges,25,6.43694717299533,8.899521422364263
Molybdenum,Edges,26,6.6221051735344485,8.961187572253268
Molybdenum,Edges,27,6.807263174073567,9.022853722142273
Molybdenum,Edges,28,6.9924211746126845,9.084519872031278
Molybdenum,Edges,29,7.177579175151803,9.146186021920283
Molybdenum,Edges,30,7.3627371756909215,9.207852171809288
Molybdenum,Edges,31,7.547895176230039,9.269518321698293
Molybdenum,Edges,32,7.7330531767691575,9.331184471587298
Molybdenum,Edges,33,7.918211177308276,9.392850621476303
Molybdenum,Edges,34,8.103369177847394,9.454516771365308
Molybdenum,Edges,35,8.288527178386513,9.516182921254313
Molybdenum,Edges,36,8.473685178925631,9.577849071143318
Molybdenum,Edges,37,8.658843179464748,9.639515221032323
Molybdenum,Edges,38,8.844001180003866,9.701181370921327
Molybdenum,Edges,39,9.029159180542985,9.762847520810332
Molybdenum,Edges,40,9.214317181082103,9.824513670699337
Molybdenum,Edges,41,9.39947518162122,9.886179820588342
Molybdenum,Edges,42,9.584633182160339,9.947845970477347
Molybdenum,Edges,43,9.769791182699457,10.009512120366352
Molybdenum,Edges,44,9.954949183238575,10.071178270255357
Molybdenum,Edges,45,10.140107183777694,10.132844420144362
Molybdenum,Edges,46,10.325265184316812,10.194510570033367
Molybdenum,Edges,47,10.51042318485593,10.256176719922372
Molybdenum,Edges,48,10.695581185395048,10.317842869811377
Molybdenum,Edges,49,10.880739185934166,10.379509019700382
Molybdenum,Edges,50,11.065897186473284,10.441175169589387
Lead,Values,0,3.0,3.0
Lead,Values,1,0.0,1.0
Lead,Values,2,17.0,3.0
Lead,Values,3,0.0,2.0
Lead,Values,4,0.0,5.0
Lead,Values,5,0.0,5.0
Lead,Values,6,0.0,6.0
Lead,Values,7,0.0,7.0
Lead,Values,8,1.0,9.0
Lead,Values,9,1.0,4.0
Lead,Values,10,0.0,2.0
Lead,Values,11,0.0,4.0
Lead,Values,12,1.0,4.0
Lead,Values,13,2.0,0.0
Lead,Values,14,2.0,0.0
Lead,Values,15,0.0,0.0
Lead,Values,16,3.0,3.0
Lead,Values,17,2.0,3.0
Lead,Values,18,1.0,0.0
Lead,Values,19,4.0,2.0
Lead,Values,20,4.0,1.0
Lead,Values,21,8.0,3.0
Lead,Values,22,7.0,0.0
Lead,Values,23,3.0,0.0
Lead,Values,24,8.0,1.0
Lead,Values,25,5.0,1.0
Lead,Values,26,4.0,0.0
Lead,Values,27,9.0,0.0
Lead,Values,28,18.0,1.0
Lead,Values,29,5.0,3.0
Lead,Values,30,4.0,0.0
Lead,Values,31,3.0,0.0
Lead,Values,32,6.0,1.0
Lead,Values,33,6.0,4.0
Lead,Values,34,2.0,1.0
Lead,Values,35,9.0,2.0
Lead,Values,36,8.0,6.0
Lead,Values,37,6.0,33.0
Lead,Values,38,1.0,6.0
Lead,Values,39,4.0,7.0
Lead,Values,40,4.0,29.0
Lead,Values,41,3.0,59.0
Lead,Values,42,20.0,36.0
Lead,Values,43,17.0,52.0
Lead,Values,44,39.0,19.0
Lead,Values,45,10.0,15.0
Lead,Values,46,39.0,8.0
Lead,Values,47,7.0,2.0
Lead,Values,48,5.0,6.0
Lead,Values,49,25.0,1.0
Lead,Edges,0,3.6877585276555447,4.9844949958755524
Lead,Edges,1,3.7664053428310456,5.030000878966
Lead,Edges,2,3.845052158006547,5.075506762056447
Lead,Edges,3,3.9236989731820477,5.121012645146895
Lead,Edges,4,4.002345788357549,5.166518528237343
Lead,Edges,5,4.0809926035330495,5.21202441132779
Lead,Edges,6,4.159639418708551,5.257530294418237
Lead,Edges,7,4.238286233884052,5.303036177508685
Lead,Edges,8,4.316933049059553,5.348542060599132
Lead,Edges,9,4.395579864235054,5.39404794368958
Lead,Edges,10,4.474226679410555,5.439553826780028
Lead,Edges,11,4.552873494586056,5.485059709870475
Lead,Edges,12,4.631520309761557,5.530565592960922
Lead,Edges,13,4.710167124937058,5.57607147605137
Lead,Edges,14,4.78881394011256,5.621577359141817
Lead,Edges,15,4.86746075528806,5.667083242232265
Lead,Edges,16,4.946107570463561,5.712589125322713
Lead,Edges,17,5.024754385639063,5.75809500841316
Lead,Edges,18,5.103401200814563,5.803600891503607
Lead,Edges,19,5.182048015990064,5.849106774594055
Lead,Edges,20,5.260694831165566,5.894612657684503
Lead,Edges,21,5.339341646341067,5.94011854077495
Lead,Edges,22,5.417988461516567,5.9856244238653975
Lead,Edges,23,5.496635276692069,6.031130306955845
Lead,Edges,24,5.575282091867569,6.076636190046292
Lead,Edges,25,5.6539289070430705,6.1221420731367395
Lead,Edges,26,5.732575722218572,6.167647956227188
Lead,Edges,27,5.811222537394073,6.213153839317635
Lead,Edges,28,5.889869352569574,6.258659722408082
Lead,Edges,29,5.968516167745075,6.30416560549853
Lead,Edges,30,6.047162982920575,6.349671488588978
Lead,Edges,31,6.125809798096077,6.395177371679425
Lead,Edges,32,6.204456613271578,6.440683254769873
Lead,Edges,33,6.283103428447079,6.48618913786032
Lead,Edges,34,6.361750243622581,6.531695020950767
Lead,Edges,35,6.440397058798081,6.577200904041215
Lead,Edges,36,6.519043873973582,6.622706787131662
