,Ag,Al,Au,Cu,Ni,Pb,Sn,Steel,Zn
0,-1.9399922561927647,-2.0747104737006548,-2.52882904958291,-1.9542178778006836,-1.8988270515328984,-1.5944247736611048,-1.593778097914148,-1.7259919722632953,-1.4561198043701429
1,-1.8907618141660951,-1.975387141278918,-2.466878276013133,-1.910761888441684,-1.8760739662325527,-1.5518413710325187,-1.4802924129583197,-1.7139164278548151,-1.3946832168884893
2,-1.89030988221009,-1.856761574002192,-2.3271844310624465,-1.886116122485045,-1.788103052922184,-1.432312290301958,-1.3856112790751915,-1.655195247984911,-1.389550655920247
3,-1.8864601588195835,-1.7853804957485662,-2.319994725629295,-1.8651474997008664,-1.7530192448749549,-1.4211534616635402,-1.3503943127353828,-1.6238457082929325,-1.3640679522434658
4,-1.8826755463799196,-1.7540532670496818,-2.271087737355024,-1.7509866360018542,-1.7219179275255392,-1.3990728793772764,-1.3182870626655587,-1.6098938246696854,-1.3422351368089414
5,-1.8825557797567796,-1.7208453546703024,-2.2511368909030742,-1.642241732702722,-1.715765545624264,-1.3600008144138362,-1.3070021890318118,-1.5429245210726978,-1.332546572676851
6,-1.867554216855386,-1.713837465497265,-2.249333359560992,-1.627442821914077,-1.6635264083726828,-1.32835022070208,-1.2986062900717543,-1.5370543446439615,-1.3103801383203322
7,-1.863455714796866,-1.6911630336810102,-2.2384259200435577,-1.6194212304822884,-1.6565049405406584,-1.2868928290492878,-1.2550790939437546,-1.4846877664265676,-1.2811334709905189
8,-1.861739470102996,-1.668919133107835,-2.237376728109672,-1.5755336064981351,-1.65576630119224,-1.2807601238262458,-1.2464849293344225,-1.4634149227019877,-1.2691661700303856
9,-1.8516276481890983,-1.577007301500885,-2.228603132927544,-1.5307609718898505,-1.6311955808819087,-1.2287313622137568,-1.23845483734437,-1.4619422691030588,-1.249301251279184
10,-1.8506669205879007,-1.5603993438706936,-2.2041981220237155,-1.508800872872947,-1.5864869290539687,-1.2158051321988816,-1.2379763794606498,-1.3967144494250687,-1.2084816879152798
11,-1.840043772957949,-1.54701582721819,-2.189445042218172,-1.4749649363810455,-1.578949534832928,-1.2154966645205134,-1.2276563865123429,-1.3753575796996056,-1.1738084827923074
12,-1.830301483811372,-1.537244783438583,-2.1691690935270502,-1.4536670617334464,-1.55701072965966,-1.2104901527979617,-1.2149450612686954,-1.3478358242604005,-1.154990750181276
13,-1.8273555693170505,-1.5322628605240038,-2.1555609974172127,-1.4382413233709788,-1.5518611377447675,-1.1945956275414709,-1.2129434262650327,-1.3262876324710442,-1.14966660272629
14,-1.818824895364965,-1.50514799118272,-2.1400843595500887,-1.433542594009839,-1.532105607670717,-1.1944082008302337,-1.1978484272045016,-1.3240351456810555,-1.138956709654665
15,-1.806204109080928,-1.4895461925411857,-2.114901162815919,-1.4111163910351106,-1.522411041433945,-1.1917688177109458,-1.1564630999660388,-1.3177125178361426,-1.0910300168217042
16,-1.8051557477729907,-1.485506376041053,-2.0897942991688656,-1.3880130578939684,-1.5071166338745157,-1.1701209765269835,-1.1563728182572233,-1.309078158663627,-1.0860608264811784
17,-1.802386109511363,-1.4376807208447924,-2.0672930495552144,-1.3666070547695548,-1.5030687806992926,-1.158624426713902,-1.137754350426296,-1.2932512441964803,-1.0743206962092862
18,-1.793396011885404,-1.4275594780899774,-2.0667964840728814,-1.3620491905001166,-1.499414607645783,-1.1552552196022718,-1.1258215420882831,-1.2791534347268203,-1.064222490244389
19,-1.7921434201579456,-1.3971784734840536,-2.055850576478161,-1.360892293551739,-1.4956358800240177,-1.1539635610487615,-1.124999865346875,-1.2765905379916045,-1.045404167281221
20,-1.7795974615689452,-1.3785267332726427,-2.047833660823746,-1.3597776862144502,-1.4931075613463418,-1.1488247107124718,-1.1016469800520086,-1.2716138332000817,-1.027679242090091
21,-1.7783639625626926,-1.3678156328543936,-2.038826246202175,-1.3546030735003665,-1.4656876910932994,-1.1474504118702409,-1.087083728966454,-1.2648192094499078,-1.0261811547136055
22,-1.774934125958883,-1.3651815535514782,-2.0140918172611566,-1.3539162686735258,-1.453811871986794,-1.1314595563492176,-1.0709744171566515,-1.1820824758424515,-1.0192898595094024
23,-1.7634754420444865,-1.3391961518449205,-2.000839842191833,-1.3516192073608129,-1.4333114892125822,-1.12964890292103,-1.0671016447213737,-1.1774260504283245,-1.0150675786927286
