,,Demand response,Demand response,Demand response,Demand response,Mining production,Mining production,Mining production,Mining production,Price formation,Price formation,Price formation,Price formation,Price formation,Refinery operation,Refinery operation,Refinery operation,Refinery operation,Refinery operation,Refinery operation,Refinery operation,Reserve development,Reserve development,Reserve development,Reserve development,Secondary supply
,,Direct melt fraction elasticity to scrap spread,Intensity elasticity to GDPPC,Intensity elasticity to price,Intensity elasticity to time,Mine CU elasticity to TCM,Mine cost change per year,Mine cost elasticity to ore grade,Ore grade elasticity to COT distribution mean,Refined price elasticity to SD,Scrap spread elasticity to SD,Scrap spread elasticity to price,TCRC elasticity to SD,TCRC elasticity to price,Primary refinery CU elasticity to TCRC,Primary refinery CU elasticity to price,Ref. cap. growth frac. from mine prod. growth,Refinery SR elasticity to TCRC,Refinery SR elasticity to scrap spread,Secondary refinery CU elasticity to TCRC,Secondary refinery CU elasticity to price,Fraction of viable mines that open,Incentive mine cost change per year,Incentive ore grade elasticity to COT,Incentive tonnage elasticity to price,Collection elasticity to scrap price
8,Ag,0.12062785774469376,0.15,0.0033130391863293892,0.00030833297659543037,0.22069522091542113,0.15,0.28907218839523696,0.01,0.24490558402816107,0.11622087776826073,0.37996816588360527,0.10329645755463404,0.5852596506739831,0.1,0.18349606317504993,0.10728463906479088,0.15747204264023493,0.0017713126031978828,0.366985977455345,0.0795445176389147,2.5153261958174088e-11,0.15,0.6642849898036303,0.5623763799667358,0.5840094626172478
8,Al,0.053365392417787164,0.06155668726516554,0.01874285816674634,0.018455731199832407,0.7285210672986338,0.31734489386037584,0.06749548017978668,0.01,0.2303909714115116,0.48874717950820923,0.1,0.24031924941102326,0.05,0.018158397413451238,0.12312103500800393,0.0751618966460228,,,,,2.9840710315720564e-06,0.31734489386037584,0.07258180561791062,0.012828899547457695,0.2883201466210988
8,Au,0.16831854753110564,0.10610059988573814,0.042165419166775214,0.001151275116822915,0.0009999999999998899,0.2811848521232605,0.1264362182930336,0.006794965609811991,0.15,0.0029634571479436804,0.13384291529655457,0.1631515920162201,0.012040824629366398,0.15,0.50855378602436,0.35008654170834946,0.4723324090400429,0.16762646413615803,0.3766133365399981,0.025,1.6561070580388816e-07,0.2811848521232605,0.5686460432493613,0.06396155704287027,0.5644348630173747
8,Cu,0.42802983127299643,0.023566954587545853,0.08277101069688797,0.025,0.09778116378265872,0.15423122839881748,0.18035384198695897,0.01,0.09777474628444516,0.05,0.2575771565280407,0.0009999999999998899,0.0857021767683458,0.02084848272087141,0.6649730453666319,0.023201985776045247,0.6366040706634521,0.23067496716976166,0.08676748505035647,0.5747741066292046,0.0002858147002072936,0.15423122839881748,0.017822708934545517,0.43958807418755286,0.4329092192346028
8,Ni,,0.37240730429274865,0.0016256354719166313,0.01,0.26326139135272086,0.08335317711526824,0.14933394965169955,0.0009999999999998899,0.1698881538294783,0.03712747229423867,0.17380329259442912,0.19898276031017303,0.2857729196548462,0.5592871389739021,0.013787548335072043,0.5863383657080653,0.15914406699166417,0.07553478401856448,0.4240950789625174,0.3081900477409363,9.685224736335874e-10,0.08335317711526824,0.6767851110616144,0.07173735949610315,0.07173957094415566
8,Pb,,0.033019983653620404,0.23462225638626705,0.0016220685189523366,0.6411336357525403,0.1,0.46865228942178194,0.01,0.05,0.06475479155778885,0.1535169396033713,0.046748679117137544,0.2815314486907262,0.01,0.281869367276654,0.4892094579961574,0.6180009121540395,0.005941495094555593,0.07814474235015706,0.16992712020874023,0.0036623896251298453,0.1,0.7117350521907033,0.0413856984685572,0.09333057610006443
8,Sn,,0.03821838371280289,0.5376674199758414,0.006439800971273309,0.19355368468411582,0.34706518082898236,0.065975686803503,0.01,0.05,0.1916649043560028,0.2507095792883804,0.28028473258018494,0.3709990440608838,0.29714420437812805,0.05,0.0009999999999998899,0.14077121229990544,0.04786607699390803,0.05681321964719075,0.01,0.3720741838969029,0.34706518082898236,0.09873367100954056,0.48739042426673423,0.05
8,Steel,,0.29313369082347684,0.0670386358927318,0.0009999999999998899,0.12965204092602137,0.016296209767460823,0.3497239177389361,0.01,0.14807394609856225,0.40101379237725654,0.22923821210861206,0.08509720325170583,0.05504234813470233,0.1,0.46436428110859745,0.06035136753944864,0.6070408048187526,0.1,0.06377555404630335,0.15591285632411683,0.23939933505709785,0.016296209767460823,0.04126021889561292,0.20480383995829066,0.5461487232147737
8,Zn,0.049982946404116435,0.06845464405373591,0.01,0.0009999999999998899,0.1435072156036708,0.0001472617121553049,0.3971778268626418,0.01,0.13623356766802838,0.3009110575156002,0.6509290807181868,0.01641369945660917,0.09714992378992196,0.044036478341072056,0.025,0.0364300210103566,0.32165446877479553,0.15,0.08487775921821594,0.05136877471906246,0.024759887617800826,0.0001472617121553049,0.270995686855824,0.08149009513445152,0.834179276906873
