,,,,0
a,Total demand,Ag,To 2014,0.08286493207349666
a,Total demand,Ag,To 2015,0.0011933355076652052
a,Total demand,Ag,To 2016,0.07550359126968265
a,Total demand,Al,To 2014,0.0032915449847872313
a,Total demand,Al,To 2015,0.00016075942955018352
a,Total demand,Al,To 2016,0.0012036293545050203
a,Total demand,Au,To 2014,0.007127422781000425
a,Total demand,Au,To 2015,0.013600564660179004
a,Total demand,Au,To 2016,0.01438098481008665
a,Total demand,Cu,To 2014,0.021849954011210482
a,Total demand,Cu,To 2015,0.0005898142707282394
a,Total demand,Cu,To 2016,0.011554686700112504
a,Total demand,Ni,To 2014,0.061034028018661646
a,Total demand,Ni,To 2015,0.02869208172336779
a,Total demand,Ni,To 2016,0.019194484746318463
a,Total demand,Pb,To 2014,0.022957905800751077
a,Total demand,Pb,To 2015,0.006474448038493064
a,Total demand,Pb,To 2016,0.008486829841252042
a,Total demand,Sn,To 2014,0.11245400081158152
a,Total demand,Sn,To 2015,0.029692547639220246
a,Total demand,Sn,To 2016,0.07097417578307463
a,Total demand,Steel,To 2014,0.04617943054197371
a,Total demand,Steel,To 2015,0.019036298234266336
a,Total demand,Steel,To 2016,0.01022164611477594
a,Total demand,Zn,To 2014,0.014669622192724163
a,Total demand,Zn,To 2015,3.331796427685774e-05
a,Total demand,Zn,To 2016,0.005652537168527649
a,Mine production,Ag,To 2014,0.02648909106566788
a,Mine production,Ag,To 2015,0.03859095642351429
a,Mine production,Ag,To 2016,0.012985615896386693
a,Mine production,Al,To 2014,0.00234890628549822
a,Mine production,Al,To 2015,0.0008258997774098775
a,Mine production,Al,To 2016,0.004849350718624801
a,Mine production,Au,To 2014,0.05604068023830522
a,Mine production,Au,To 2015,0.029836303285674326
a,Mine production,Au,To 2016,0.05183880366839044
a,Mine production,Cu,To 2014,0.02528933347508877
a,Mine production,Cu,To 2015,0.13666956375661266
a,Mine production,Cu,To 2016,0.10964590389278184
a,Mine production,Ni,To 2014,0.011248607395972554
a,Mine production,Ni,To 2015,0.00994995731418069
a,Mine production,Ni,To 2016,0.0104100999008504
a,Mine production,Pb,To 2014,0.20716128759982
a,Mine production,Pb,To 2015,0.04117149053431679
a,Mine production,Pb,To 2016,0.06720641255999749
a,Mine production,Sn,To 2014,0.29733240602838595
a,Mine production,Sn,To 2015,0.19193835228986533
a,Mine production,Sn,To 2016,0.15185481599765183
a,Mine production,Steel,To 2014,0.05884737776536364
a,Mine production,Steel,To 2015,0.042648248141509915
a,Mine production,Steel,To 2016,0.00457164319046266
a,Mine production,Zn,To 2014,0.01746889975873256
a,Mine production,Zn,To 2015,0.05398521188529681
a,Mine production,Zn,To 2016,0.034272463323154034
a,Refined price,Ag,To 2014,0.16977099241606675
a,Refined price,Ag,To 2015,0.008218063130334352
a,Refined price,Ag,To 2016,0.005263998382154966
a,Refined price,Al,To 2014,0.23058645584720217
a,Refined price,Al,To 2015,0.10894141043043803
a,Refined price,Al,To 2016,0.022446785300603955
a,Refined price,Au,To 2014,0.2982996148973224
a,Refined price,Au,To 2015,0.09155851991930797
a,Refined price,Au,To 2016,0.0023161997324023798
a,Refined price,Cu,To 2014,0.08555755294251799
a,Refined price,Cu,To 2015,0.011025157500949678
a,Refined price,Cu,To 2016,0.03582776570052926
a,Refined price,Ni,To 2014,0.020967609200644555
a,Refined price,Ni,To 2015,0.012524187369201245
a,Refined price,Ni,To 2016,0.10656353261130969
a,Refined price,Pb,To 2014,0.7265363279837191
a,Refined price,Pb,To 2015,0.1659936388242802
a,Refined price,Pb,To 2016,0.08397521295559807
a,Refined price,Sn,To 2014,0.26336473788895953
a,Refined price,Sn,To 2015,0.17619712879688265
a,Refined price,Sn,To 2016,0.24175975424347118
a,Refined price,Steel,To 2014,0.12397798749003475
a,Refined price,Steel,To 2015,0.29815434842208777
a,Refined price,Steel,To 2016,0.11512238981423195
a,Refined price,Zn,To 2014,0.012194331230373945
a,Refined price,Zn,To 2015,0.3320730550827139
a,Refined price,Zn,To 2016,0.2925280746266201
b,b,Collection elasticity to scrap price,Ag,1.7987512867493771
b,b,Collection elasticity to scrap price,Al,6.7721127914469506
b,b,Collection elasticity to scrap price,Au,13.54074957755074
b,b,Collection elasticity to scrap price,Cu,16.317898349563553
b,b,Collection elasticity to scrap price,Ni,2.5592922021334674
b,b,Collection elasticity to scrap price,Pb,2.9278073526884
b,b,Collection elasticity to scrap price,Sn,10.609995155697055
b,b,Collection elasticity to scrap price,Steel,6.95905605727432
b,b,Collection elasticity to scrap price,Zn,10.060935906176923
b,b,Direct melt fraction elasticity to scrap spread,Ag,10.361781306206456
b,b,Direct melt fraction elasticity to scrap spread,Al,10.317063370654026
b,b,Direct melt fraction elasticity to scrap spread,Au,10.96752071293853
b,b,Direct melt fraction elasticity to scrap spread,Cu,5.589252497199931
b,b,Direct melt fraction elasticity to scrap spread,Zn,11.251738986318797
b,b,Fraction of viable mines that open,Ag,1.2993969201333455
b,b,Fraction of viable mines that open,Al,0.8636801799673892
b,b,Fraction of viable mines that open,Au,4.737805523454972
b,b,Fraction of viable mines that open,Cu,3.288242755726255
b,b,Fraction of viable mines that open,Ni,1.0929831457295738
b,b,Fraction of viable mines that open,Pb,7.230306240854629
b,b,Fraction of viable mines that open,Sn,7.635937581492255
b,b,Fraction of viable mines that open,Steel,5.462710608342064
b,b,Fraction of viable mines that open,Zn,7.69101353122659
b,b,Incentive mine cost change per year,Ag,6.415875347668584
b,b,Incentive mine cost change per year,Al,4.075095202244456
