,,Ag,Al,Au,Cu,Ni,Pb,Sn,Steel,Zn
2001-2019,1,-0.504043585109087,1.45963104170544,-0.7590540029965117,-0.3777242710751644,-1.284415294234251,-1.32835022070208,-0.9637973140531906,-0.4500975623938729,-0.2824613312819398
2001-2019,2,-0.504043585109087,0.3998062939397775,-0.7590540029965117,-0.3777242710751644,-1.284415294234251,-1.32835022070208,-0.9637973140531906,-0.4500975623938729,-0.2824613312819398
2001-2019,3,-0.504043585109087,-0.6486251530240593,-0.7590540029965117,-0.4216491622895055,-1.284415294234251,-1.32835022070208,-0.9637973140531906,-0.4500975623938729,-0.4269866494102745
2001-2019,4,-0.7230404918385943,-0.6486251530240593,-1.121686956273247,-0.7027969293154827,-1.284415294234251,-1.32835022070208,-0.9637973140531906,-0.4500975623938729,-0.5828121509741679
2001-2019,5,-0.7230404918385943,-0.6486251530240593,-1.121686956273247,-0.7027969293154827,-1.284415294234251,-1.32835022070208,-0.9637973140531906,-0.4500975623938729,-0.5828121509741679
2001-2019,6,-0.7230404918385943,-0.6486251530240593,-1.3372433992808777,-0.7027969293154827,-1.284415294234251,-1.32835022070208,-0.9637973140531906,-0.6700186067216056,-0.5828121509741679
2001-2019,7,-0.7230404918385943,-0.6486251530240593,-1.3372433992808777,-0.7027969293154827,-1.284415294234251,-1.32835022070208,-0.9637973140531906,-0.6700186067216056,-0.5828121509741679
2001-2019,8,-0.7230404918385943,-0.6486251530240593,-1.3372433992808777,-0.7027969293154827,-1.284415294234251,-1.32835022070208,-0.9637973140531906,-0.6700186067216056,-0.5828121509741679
2001-2019,9,-0.7230404918385943,-0.6486251530240593,-1.3372433992808777,-0.7027969293154827,-1.284415294234251,-1.32835022070208,-0.9637973140531906,-0.6700186067216056,-0.5828121509741679
2001-2019,10,-0.7230404918385943,-0.6486251530240593,-1.3372433992808777,-0.7027969293154827,-1.284415294234251,-1.32835022070208,-0.9637973140531906,-0.6700186067216056,-0.5828121509741679
2001-2019,11,-0.7230404918385943,-0.6486251530240593,-1.3372433992808777,-0.7027969293154827,-1.284415294234251,-1.32835022070208,-0.9637973140531906,-0.6700186067216056,-0.5828121509741679
2001-2019,12,-0.7230404918385943,-0.6486251530240593,-1.3372433992808777,-0.7027969293154827,-1.284415294234251,-1.32835022070208,-0.9637973140531906,-0.6700186067216056,-0.5828121509741679
2001-2019,13,-0.7230404918385943,-0.6486251530240593,-1.3372433992808777,-0.7027969293154827,-1.284415294234251,-1.32835022070208,-0.9637973140531906,-0.6700186067216056,-0.5828121509741679
2001-2019,14,-0.7230404918385943,-0.6486251530240593,-1.3372433992808777,-0.7027969293154827,-1.284415294234251,-1.32835022070208,-0.9637973140531906,-0.6700186067216056,-0.5828121509741679
2001-2019,15,-0.7230404918385943,-0.6486251530240593,-1.3372433992808777,-0.7027969293154827,-1.284415294234251,-1.32835022070208,-0.9637973140531906,-0.6700186067216056,-0.5828121509741679
2001-2019,16,-0.7230404918385943,-0.7447573454641286,-1.3372433992808777,-0.7027969293154827,-1.284415294234251,-1.32835022070208,-0.9637973140531906,-1.5370543446439615,-0.5828121509741679
2001-2019,17,-0.7230404918385943,-0.7447573454641286,-1.3372433992808777,-0.7027969293154827,-1.284415294234251,-1.32835022070208,-0.9637973140531906,-1.5370543446439615,-0.5828121509741679
2001-2019,18,-0.7230404918385943,-0.7447573454641286,-1.3372433992808777,-0.7027969293154827,-1.284415294234251,-1.32835022070208,-0.9637973140531906,-1.5370543446439615,-0.5828121509741679
2001-2019,19,-0.7230404918385943,-0.7447573454641286,-1.3372433992808777,-0.7027969293154827,-1.284415294234251,-1.32835022070208,-0.9637973140531906,-1.5370543446439615,-0.6617431125491728
2001-2019,20,-0.7230404918385943,-0.7447573454641286,-1.3372433992808777,-0.7027969293154827,-1.284415294234251,-1.32835022070208,-0.9637973140531906,-1.5370543446439615,-0.6617431125491728
2001-2019,21,-0.7230404918385943,-0.7447573454641286,-1.3372433992808777,-0.7027969293154827,-1.284415294234251,-1.32835022070208,-0.9637973140531906,-1.5370543446439615,-1.3422351368089414
2001-2019,22,-0.7230404918385943,-0.7447573454641286,-1.3372433992808777,-0.7027969293154827,-1.284415294234251,-1.32835022070208,-0.9637973140531906,-1.7259919722632953,-1.3422351368089414
2001-2019,23,-0.7230404918385943,-0.7447573454641286,-1.4736757991793548,-0.7027969293154827,-1.284415294234251,-1.32835022070208,-0.9637973140531906,-1.7259919722632953,-1.3422351368089414
2001-2019,24,-0.7741982058707632,-0.7447573454641286,-1.4736757991793548,-0.7027969293154827,-1.284415294234251,-1.32835022070208,-0.9637973140531906,-1.7259919722632953,-1.3422351368089414
2001-2019,25,-0.7741982058707632,-0.7447573454641286,-1.4736757991793548,-0.7027969293154827,-1.284415294234251,-1.32835022070208,-0.9637973140531906,-1.7259919722632953,-1.3422351368089414
2001-2019,26,-0.7741982058707632,-0.7447573454641286,-1.4736757991793548,-0.7027969293154827,-1.284415294234251,-1.32835022070208,-0.9637973140531906,-1.7259919722632953,-1.3422351368089414
2001-2019,27,-0.7741982058707632,-0.7447573454641286,-1.4736757991793548,-0.7027969293154827,-1.284415294234251,-1.32835022070208,-0.9637973140531906,-1.7259919722632953,-1.3422351368089414
2001-2019,28,-1.000254390596692,-0.7448785678986517,-1.4736757991793548,-0.7027969293154827,-1.3947084597056365,-1.32835022070208,-0.9637973140531906,-1.7259919722632953,-1.3422351368089414
2001-2019,29,-1.000254390596692,-0.7448785678986517,-1.4736757991793548,-0.7027969293154827,-1.6565049405406584,-1.32835022070208,-0.9637973140531906,-1.7259919722632953,-1.3422351368089414
2001-2019,30,-1.000254390596692,-0.7448785678986517,-1.4736757991793548,-0.7027969293154827,-1.6565049405406584,-1.32835022070208,-0.9637973140531906,-1.7259919722632953,-1.3422351368089414
