,CoV-train,CoV-train,CoV-train,CoV-train,CoV-train,CoV-train,CoV-train,CoV-train,CoV-train,,CoV-parameters,CoV-parameters,CoV-parameters,CoV-parameters,CoV-parameters,CoV-parameters,CoV-parameters,CoV-parameters,CoV-parameters,All
,Ag,Al,Au,Cu,Ni,Pb,Sn,Fe,Zn,,Ag,Al,Au,Cu,Ni,Pb,Sn,Fe,Zn,
Collection elasticity to scrap price,0.09347785935446024,0.434555408447,0.8987545308154978,1.089213860130045,0.14563643080734645,0.17090952712982826,0.6977607896097168,0.44737614365145434,0.6601058186296204,,0.8196782500090386,0.831659438691883,0.7855650007153114,0.7444760713237975,0.8470229049803489,0.804161273899607,0.8709685953863225,0.8327359845381893,0.8101502744240517,
Direct melt fraction elasticity to scrap spread,0.6807380633600539,0.6776712676235497,0.7222802098623337,0.3534337989079429,,,,,0.7417721514797468,,0.8695522852831388,0.8839970648492707,0.7405928295948417,0.8783824084254144,,,,,0.9165383874747908,
Fraction of viable mines that open,0.059231693389412296,0.029349852366188235,0.29504080923428144,0.19562850719154584,0.04507565341401944,0.46597872215275304,0.49379727975591997,0.3447554437816536,0.49757443730450907,,0.0,0.22482349591889475,0.1137667923897354,0.47547850144496734,0.08205177366938307,0.433054476481049,0.7061900783736468,0.6677684736494135,0.7583380067282316,
Incentive mine cost change per year,0.4101243281597235,0.2495915468182453,0.4125054156633305,0.7234517270776386,0.7612356735604546,0.2521012902735477,0.10937715182340245,0.20057249291276433,0.300577542779772,,0.8850766731771219,0.8777464499128325,0.7065695939925875,0.768286449422356,0.8268543464913863,0.7249838226602773,0.9348550963546617,0.722087190709437,0.7702417342668743,
Incentive ore grade elasticity to COT,0.7198191210417552,1.0082665830667599,0.18649819608556714,0.4011409357856639,0.8785493958174295,0.02765875817703647,0.391899745381159,0.5210023119236543,0.1698878360720164,,0.7439813097393004,0.7146028723720611,0.7688021834620481,0.8671203527293629,1.0071896149109731,0.923759807115766,0.9038595279921646,0.6777251319867457,0.8202430734790321,
Incentive tonnage elasticity to price,0.20176751950485172,0.4625305922837675,1.0769173784357822,0.4861361773894804,0.02025559569432858,0.8298887843749715,0.6936325383464104,0.4167073772222664,0.16278302461719005,,0.7855890625037597,0.9007143572503274,0.8305015143824923,0.915672535369173,1.0003455936530945,0.8760123543899127,0.715263348895606,0.8557796280428638,0.8384855111643459,
Intensity elasticity to GDP,0.33211939651362843,0.4572889878390835,1.2773314716463735,0.45181791165564683,0.2911938301653927,0.5209686805543271,0.6393605881367065,0.36356322951515996,1.0175622368266612,,0.8541282482957238,0.8054031365279645,0.8630882327293643,0.83606896667826,0.8559202817376761,0.8276622768552017,0.7697282949541698,0.8772816078940263,0.7391847474363504,
Intensity elasticity to price,1.2097197224550815,0.4942033723385437,0.9657893511650312,0.4230258535399564,0.3389365812015741,0.12230981040979123,0.8341624272905778,0.9315384650674191,0.7290877461252411,,0.8352581707399982,0.6703681590154768,1.0248816804409537,0.9741324179171634,0.7852900741329746,0.7107912157443698,0.8529509072211379,0.9654337852133945,1.035880894051155,
Intensity elasticity to time,0.5299597259176239,0.16837259663663318,0.17141212482765544,0.26383332574674523,0.10519869920087167,0.23612819384681366,0.18365132304550158,0.27149819111268836,0.5335117285846543,,0.18018202589737725,0.34770587840226996,0.28485045819800336,0.3160923577697276,0.3266477294378318,0.30539275358300355,0.2794333753893911,0.30482763974482147,0.21088031321442996,
