,Year,Commodity,Historical or simulated,Scenario,Mean mine grade
0,1991.0,Cu,Historical,Historical,1.434685
1,1991.0,Au,Historical,Historical,0.001912
2,1991.0,Pb,Historical,Historical,5.17991
3,1991.0,Mo,Historical,Historical,0.14
4,1991.0,Ni,Historical,Historical,1.06
5,1991.0,Ag,Historical,Historical,0.03713
6,1991.0,Zn,Historical,Historical,9.715892
7,1992.0,Cu,Historical,Historical,1.413902
8,1992.0,Au,Historical,Historical,0.00132
9,1992.0,Pb,Historical,Historical,5.170141
10,1992.0,Mo,Historical,Historical,0.14
11,1992.0,Ni,Historical,Historical,1.899206
12,1992.0,Pd,Historical,Historical,0.001921
13,1992.0,Ag,Historical,Historical,0.036905
14,1992.0,Zn,Historical,Historical,8.936435
15,1993.0,Cu,Historical,Historical,1.397612
16,1993.0,Au,Historical,Historical,0.000678
17,1993.0,Pb,Historical,Historical,5.653018
18,1993.0,Mo,Historical,Historical,0.14
19,1993.0,Ni,Historical,Historical,1.920448
20,1993.0,Pd,Historical,Historical,0.00229
21,1993.0,Ag,Historical,Historical,0.02524
22,1993.0,Zn,Historical,Historical,9.011782
23,1994.0,Cu,Historical,Historical,1.347957
24,1994.0,Au,Historical,Historical,0.000643
25,1994.0,Pb,Historical,Historical,5.512534
26,1994.0,Mo,Historical,Historical,0.238713
27,1994.0,Ni,Historical,Historical,1.852976
28,1994.0,Pd,Historical,Historical,0.001725
29,1994.0,Ag,Historical,Historical,0.017834
30,1994.0,Zn,Historical,Historical,9.309915
31,1995.0,Cu,Historical,Historical,1.27196
32,1995.0,Au,Historical,Historical,0.000621
33,1995.0,Pb,Historical,Historical,5.385556
34,1995.0,Mo,Historical,Historical,0.235655
35,1995.0,Ni,Historical,Historical,1.709751
36,1995.0,Pd,Historical,Historical,0.001348
37,1995.0,Ag,Historical,Historical,0.019188
38,1995.0,Zn,Historical,Historical,9.184802
39,1996.0,Cu,Historical,Historical,1.303744
40,1996.0,Au,Historical,Historical,0.000574
41,1996.0,Pb,Historical,Historical,5.046716
42,1996.0,Mo,Historical,Historical,0.232507
43,1996.0,Ni,Historical,Historical,1.696455
44,1996.0,Pd,Historical,Historical,0.001427
45,1996.0,Ag,Historical,Historical,0.031511
46,1996.0,Zn,Historical,Historical,9.156911
47,1997.0,Cu,Historical,Historical,1.335629
48,1997.0,Au,Historical,Historical,0.000602
49,1997.0,Pb,Historical,Historical,4.917667
50,1997.0,Mo,Historical,Historical,0.238607
51,1997.0,Ni,Historical,Historical,1.772842
52,1997.0,Pd,Historical,Historical,0.001556
53,1997.0,Ag,Historical,Historical,0.046685
54,1997.0,Zn,Historical,Historical,9.345395
55,1998.0,Cu,Historical,Historical,1.24076
56,1998.0,Au,Historical,Historical,0.000655
57,1998.0,Pb,Historical,Historical,5.21999
58,1998.0,Mo,Historical,Historical,0.222863
59,1998.0,Ni,Historical,Historical,1.91726
60,1998.0,Pd,Historical,Historical,0.001547
61,1998.0,Pt,Historical,Historical,0.000311
62,1998.0,Ag,Historical,Historical,0.057991
63,1998.0,Zn,Historical,Historical,9.753398
64,1999.0,Cu,Historical,Historical,1.240535
65,1999.0,Au,Historical,Historical,0.000597
66,1999.0,Pb,Historical,Historical,5.522853
67,1999.0,Mo,Historical,Historical,0.226192
68,1999.0,Ni,Historical,Historical,1.886459
69,1999.0,Pd,Historical,Historical,0.001498
70,1999.0,Pt,Historical,Historical,0.000309
71,1999.0,Ag,Historical,Historical,0.054038
72,1999.0,Zn,Historical,Historical,10.049611
73,2000.0,Cu,Historical,Historical,1.196383
74,2000.0,Au,Historical,Historical,0.000553
75,2000.0,Pb,Historical,Historical,5.708024
76,2000.0,Mo,Historical,Historical,0.174792
77,2000.0,Ni,Historical,Historical,1.758531
78,2000.0,Pd,Historical,Historical,0.001408
79,2000.0,Pt,Historical,Historical,0.000288
80,2000.0,Ag,Historical,Historical,0.054067
81,2000.0,Zn,Historical,Historical,9.649053
82,2001.0,Cu,Historical,Historical,1.17229
83,2001.0,Au,Historical,Historical,0.000687
84,2001.0,Pb,Historical,Historical,5.643462
85,2001.0,Mo,Historical,Historical,0.189413
86,2001.0,Ni,Historical,Historical,1.804539
87,2001.0,Pd,Historical,Historical,0.001372
88,2001.0,Pt,Historical,Historical,0.000283
89,2001.0,Ag,Historical,Historical,0.055264
90,2001.0,Zn,Historical,Historical,9.603215
91,2002.0,Cu,Historical,Historical,1.158479
92,2002.0,Au,Historical,Historical,0.000651
93,2002.0,Pb,Historical,Historical,6.013967
94,2002.0,Mo,Historical,Historical,0.189613
95,2002.0,Ni,Historical,Historical,1.795547
96,2002.0,Pd,Historical,Historical,0.001006
97,2002.0,Pt,Historical,Historical,0.000275
98,2002.0,Ag,Historical,Historical,0.055172
99,2002.0,Zn,Historical,Historical,10.10915
100,2003.0,Cu,Historical,Historical,1.162269
101,2003.0,Au,Historical,Historical,0.000607
102,2003.0,Pb,Historical,Historical,6.123004
103,2003.0,Mo,Historical,Historical,0.188416
104,2003.0,Ni,Historical,Historical,1.776925
