,Year,Commodity,Historical or simulated,Scenario,TCRC
0,1991.0,Cu,Historical,Historical,487.9218252325907
1,1991.0,Au,Historical,Historical,261340.7912720496
2,1991.0,Pb,Historical,Historical,202.4861985654574
3,1991.0,Ni,Historical,Historical,1195.082300668052
4,1991.0,Zn,Historical,Historical,313.0658181641332
5,1992.0,Cu,Historical,Historical,548.592519112989
6,1992.0,Au,Historical,Historical,215882.0281595425
7,1992.0,Pb,Historical,Historical,206.6712157840575
8,1992.0,Ni,Historical,Historical,886.6176270979622
9,1992.0,Pd,Historical,Historical,1145213.403091798
10,1992.0,Zn,Historical,Historical,312.0015983372247
11,1993.0,Cu,Historical,Historical,491.5753724350834
12,1993.0,Au,Historical,Historical,207572.419193484
13,1993.0,Pb,Historical,Historical,171.2825594934214
14,1993.0,Ni,Historical,Historical,818.6372917629814
15,1993.0,Pd,Historical,Historical,872834.0929192206
16,1993.0,Zn,Historical,Historical,306.2083124041241
17,1994.0,Cu,Historical,Historical,423.3827011160914
18,1994.0,Au,Historical,Historical,198693.8467054934
19,1994.0,Pb,Historical,Historical,143.0197573329437
20,1994.0,Mo,Historical,Historical,490.1784579575942
21,1994.0,Ni,Historical,Historical,823.4417256594927
22,1994.0,Pd,Historical,Historical,1379561.471943593
23,1994.0,Zn,Historical,Historical,271.9996389679035
24,1995.0,Cu,Historical,Historical,407.975717553921
25,1995.0,Au,Historical,Historical,191423.8213076562
26,1995.0,Pb,Historical,Historical,162.4883065051799
27,1995.0,Mo,Historical,Historical,518.2370306598009
28,1995.0,Ni,Historical,Historical,859.2443199987428
29,1995.0,Pd,Historical,Historical,1426291.000004121
30,1995.0,Zn,Historical,Historical,257.928106953332
31,1996.0,Cu,Historical,Historical,411.2386837642504
32,1996.0,Au,Historical,Historical,195666.3456311318
33,1996.0,Pb,Historical,Historical,203.6798091559457
34,1996.0,Mo,Historical,Historical,511.0571433709314
35,1996.0,Ni,Historical,Historical,911.8532966153609
36,1996.0,Pd,Historical,Historical,1286851.532853945
37,1996.0,Zn,Historical,Historical,257.2866642533897
38,1997.0,Cu,Historical,Historical,413.9289267503531
39,1997.0,Au,Historical,Historical,190022.0675669445
40,1997.0,Pb,Historical,Historical,184.8910099837551
41,1997.0,Mo,Historical,Historical,523.6880614024717
42,1997.0,Ni,Historical,Historical,1120.474442609187
43,1997.0,Pd,Historical,Historical,859838.2685939943
44,1997.0,Zn,Historical,Historical,288.3912258207793
45,1998.0,Cu,Historical,Historical,352.0827718566183
46,1998.0,Au,Historical,Historical,184610.5273043019
47,1998.0,Pb,Historical,Historical,182.3157694312586
48,1998.0,Mo,Historical,Historical,474.2684799327881
49,1998.0,Ni,Historical,Historical,908.8593574867716
50,1998.0,Pd,Historical,Historical,644435.6747675053
51,1998.0,Pt,Historical,Historical,1619562.171123294
52,1998.0,Zn,Historical,Historical,249.5345866084663
53,1999.0,Cu,Historical,Historical,284.6496537671859
54,1999.0,Au,Historical,Historical,181412.833518509
55,1999.0,Pb,Historical,Historical,210.5481246961269
56,1999.0,Mo,Historical,Historical,470.666935563651
57,1999.0,Ni,Historical,Historical,951.723886767108
58,1999.0,Pd,Historical,Historical,564397.0824817944
59,1999.0,Pt,Historical,Historical,1173462.830938321
60,1999.0,Zn,Historical,Historical,236.3481165475967
61,2000.0,Cu,Historical,Historical,250.138668287188
62,2000.0,Au,Historical,Historical,169617.6666880422
63,2000.0,Pb,Historical,Historical,211.4414857546686
64,2000.0,Mo,Historical,Historical,745.5673016118498
65,2000.0,Ni,Historical,Historical,1186.034653023276
66,2000.0,Pd,Historical,Historical,569871.1784254897
67,2000.0,Pt,Historical,Historical,969767.8712087658
68,2000.0,Zn,Historical,Historical,251.9383925747421
69,2001.0,Cu,Historical,Historical,232.555788486531
70,2001.0,Au,Historical,Historical,163490.9250356155
71,2001.0,Pb,Historical,Historical,154.2846850285293
72,2001.0,Mo,Historical,Historical,778.6388263169971
73,2001.0,Ni,Historical,Historical,974.3780351482965
74,2001.0,Pd,Historical,Historical,554581.0456560331
75,2001.0,Pt,Historical,Historical,1115792.82795634
76,2001.0,Zn,Historical,Historical,216.0218563995741
77,2002.0,Cu,Historical,Historical,217.4107018576914
78,2002.0,Au,Historical,Historical,164785.248018237
79,2002.0,Pb,Historical,Historical,190.7641308862891
80,2002.0,Mo,Historical,Historical,596.4326241028506
81,2002.0,Ni,Historical,Historical,986.6640015924298
82,2002.0,Pd,Historical,Historical,657086.6207994398
83,2002.0,Pt,Historical,Historical,1092030.487203166
84,2002.0,Zn,Historical,Historical,185.6473738570229
85,2003.0,Cu,Historical,Historical,213.6290810486895
86,2003.0,Au,Historical,Historical,158763.4640759928
87,2003.0,Pb,Historical,Historical,173.7616640635325
88,2003.0,Mo,Historical,Historical,786.721250033542
89,2003.0,Ni,Historical,Historical,1149.881160196913
90,2003.0,Pd,Historical,Historical,648581.3390951208
91,2003.0,Pt,Historical,Historical,1294946.742586763
92,2003.0,Zn,Historical,Historical,169.0109472653758
93,2004.0,Cu,Historical,Historical,211.8790854936557
94,2004.0,Au,Historical,Historical,161963.708803522
95,2004.0,Pb,Historical,Historical,210.1398931828554
96,2004.0,Mo,Historical,Historical,932.9073696638246
97,2004.0,Ni,Historical,Historical,1249.1786115947
98,2004.0,Pd,Historical,Historical,623166.407104877
99,2004.0,Pt,Historical,Historical,1633880.464132217
100,2004.0,Zn,Historical,Historical,200.1462305533927
101,2005.0,Cu,Historical,Historical,341.7317315597819
102,2005.0,Au,Historical,Historical,144032.637413005
103,2005.0,Pb,Historical,Historical,210.7289151426247
104,2005.0,Mo,Historical,Historical,1305.080386422739
105,2005.0,Ni,Historical,Historical,1195.567550553138
106,2005.0,Pd,Historical,Historical,1041192.56042753
107,2005.0,Pt,Historical,Historical,1532822.249930308
108,2005.0,Zn,Historical,Historical,237.354331110177
109,2006.0,Cu,Historical,Historical,455.7542496459451
110,2006.0,Au,Historical,Historical,141360.9927993439
111,2006.0,Pb,Historical,Historical,266.1470674216303
112,2006.0,Mo,Historical,Historical,1296.318501271892
113,2006.0,Ni,Historical,Historical,1623.283262757253
114,2006.0,Pd,Historical,Historical,1183323.945421257
115,2006.0,Pt,Historical,Historical,1513414.434514456
116,2006.0,Zn,Historical,Historical,454.6335107719044
117,2007.0,Cu,Historical,Historical,234.8397058719385
118,2007.0,Au,Historical,Historical,141213.7245085441
119,2007.0,Pb,Historical,Historical,303.7139827840737
120,2007.0,Mo,Historical,Historical,1361.240637087746
121,2007.0,Ni,Historical,Historical,1926.758178485434
122,2007.0,Pd,Historical,Historical,1620380.310390823
123,2007.0,Pt,Historical,Historical,1641422.256654294
124,2007.0,Zn,Historical,Historical,362.0799881295345
125,2008.0,Cu,Historical,Historical,198.8767834227018
126,2008.0,Au,Historical,Historical,143587.6134862982
127,2008.0,Pb,Historical,Historical,314.0080104583083
128,2008.0,Mo,Historical,Historical,1491.993458653429
129,2008.0,Ni,Historical,Historical,1665.822467245669
130,2008.0,Pd,Historical,Historical,1552195.586394113
131,2008.0,Pt,Historical,Historical,2682431.187736308
132,2008.0,Zn,Historical,Historical,342.5681235502228
133,2009.0,Cu,Historical,Historical,229.2749183310136
134,2009.0,Au,Historical,Historical,148529.60441945
135,2009.0,Pb,Historical,Historical,224.9016758353377
136,2009.0,Mo,Historical,Historical,1189.733191955505
137,2009.0,Ni,Historical,Historical,1470.256005528844
138,2009.0,Pd,Historical,Historical,957826.2766422122
139,2009.0,Pt,Historical,Historical,2219475.877845846
140,2009.0,Zn,Historical,Historical,306.7922426357866
141,2010.0,Cu,Historical,Historical,181.1834405855944
142,2010.0,Au,Historical,Historical,148288.9105628781
143,2010.0,Pb,Historical,Historical,266.4139572420263
144,2010.0,Mo,Historical,Historical,1224.073080096847
145,2010.0,Ni,Historical,Historical,1760.433298391158
146,2010.0,Pd,Historical,Historical,1239727.270020292
147,2010.0,Pt,Historical,Historical,2701538.901618385
148,2010.0,Zn,Historical,Historical,303.0367340121742
149,2011.0,Cu,Historical,Historical,177.2652193736373
150,2011.0,Au,Historical,Historical,147563.192477003
151,2011.0,Pb,Historical,Historical,282.7237568479371
152,2011.0,Mo,Historical,Historical,1049.324961251681
153,2011.0,Ni,Historical,Historical,1677.621394231508
154,2011.0,Pd,Historical,Historical,1272766.275271964
155,2011.0,Pt,Historical,Historical,2596597.173138685
156,2011.0,Zn,Historical,Historical,258.9954805852919
157,2012.0,Cu,Historical,Historical,191.4171101436104
158,2012.0,Au,Historical,Historical,149837.4360037426
159,2012.0,Pb,Historical,Historical,292.0986237941543
160,2012.0,Mo,Historical,Historical,990.070407002844
161,2012.0,Ni,Historical,Historical,1669.576297308579
162,2012.0,Pd,Historical,Historical,1450272.445157678
163,2012.0,Pt,Historical,Historical,2869154.505061208
164,2012.0,Zn,Historical,Historical,221.2170030497726
165,2013.0,Cu,Historical,Historical,205.5405977494757
166,2013.0,Au,Historical,Historical,147585.75647686
167,2013.0,Pb,Historical,Historical,237.094164003388
168,2013.0,Mo,Historical,Historical,1030.278229526571
169,2013.0,Ni,Historical,Historical,1663.82033185867
170,2013.0,Pd,Historical,Historical,2085475.379927723
171,2013.0,Pt,Historical,Historical,2123582.01693366
172,2013.0,Zn,Historical,Historical,234.6308197395873
173,2014.0,Cu,Historical,Historical,242.5316248588665
174,2014.0,Au,Historical,Historical,153845.371156439
175,2014.0,Pb,Historical,Historical,225.4778521674033
176,2014.0,Mo,Historical,Historical,1008.498545238296
177,2014.0,Ni,Historical,Historical,1513.783993389288
178,2014.0,Pd,Historical,Historical,2009075.427590686
179,2014.0,Pt,Historical,Historical,2621933.416777879
180,2014.0,Zn,Historical,Historical,286.8897105153687
181,2015.0,Cu,Historical,Historical,286.4204604629492
182,2015.0,Au,Historical,Historical,149283.3965320809
183,2015.0,Pb,Historical,Historical,198.4865377382505
184,2015.0,Mo,Historical,Historical,1149.370158269028
185,2015.0,Ni,Historical,Historical,1359.599973309784
186,2015.0,Pd,Historical,Historical,2089318.026509069
187,2015.0,Pt,Historical,Historical,2239148.945594904
188,2015.0,Zn,Historical,Historical,286.7822199627906
189,2016.0,Cu,Historical,Historical,278.0958261429614
190,2016.0,Au,Historical,Historical,149435.7143316655
191,2016.0,Pb,Historical,Historical,189.6220768604837
192,2016.0,Mo,Historical,Historical,1152.512827783574
193,2016.0,Ni,Historical,Historical,1300.095695664235
194,2016.0,Pd,Historical,Historical,1882093.615166173
195,2016.0,Pt,Historical,Historical,1897284.476106635
196,2016.0,Zn,Historical,Historical,355.250654667092
197,2017.0,Cu,Historical,Historical,275.5047959414701
198,2017.0,Au,Historical,Historical,147574.6491630721
199,2017.0,Pb,Historical,Historical,125.3098342780439
200,2017.0,Mo,Historical,Historical,1125.269195000407
201,2017.0,Ni,Historical,Historical,1337.217900737025
202,2017.0,Pd,Historical,Historical,1546607.432362305
203,2017.0,Pt,Historical,Historical,2332473.279159861
204,2017.0,Zn,Historical,Historical,261.6513329981016
205,2018.0,Cu,Historical,Historical,259.2433777763827
206,2018.0,Au,Historical,Historical,144288.1049709024
207,2018.0,Pb,Historical,Historical,100.6468369750757
208,2018.0,Mo,Historical,Historical,1115.874374852231
