,Year,Commodity,Historical or simulated,Scenario,Mean total cash margin
0,1991.0,Cu,Historical,Historical,1589.890708143901
1,1991.0,Au,Historical,Historical,12089593.8988369
2,1991.0,Pb,Historical,Historical,225.3654608738904
3,1991.0,Mo,Historical,Historical,-2010.789689753408
4,1991.0,Ni,Historical,Historical,8226.82431925497
5,1991.0,Ag,Historical,Historical,-1129.131155164919
6,1991.0,Zn,Historical,Historical,420.5524132101505
7,1992.0,Cu,Historical,Historical,1330.911079421073
8,1992.0,Au,Historical,Historical,10872581.54451138
9,1992.0,Pb,Historical,Historical,64.2774599711272
10,1992.0,Mo,Historical,Historical,-3606.443684384713
11,1992.0,Ni,Historical,Historical,5196.099744070417
12,1992.0,Pd,Historical,Historical,-400892.5383478895
13,1992.0,Ag,Historical,Historical,11658.50215346224
14,1992.0,Zn,Historical,Historical,485.6373816133715
15,1993.0,Cu,Historical,Historical,766.9121558327755
16,1993.0,Au,Historical,Historical,10996046.68257975
17,1993.0,Pb,Historical,Historical,-64.10803143569659
18,1993.0,Mo,Historical,Historical,-2191.555214397696
19,1993.0,Ni,Historical,Historical,2825.149007100126
20,1993.0,Pd,Historical,Historical,665979.520425771
21,1993.0,Ag,Historical,Historical,10488.40841268671
22,1993.0,Zn,Historical,Historical,140.7468417762083
23,1994.0,Cu,Historical,Historical,1381.114421185461
24,1994.0,Au,Historical,Historical,12009079.13342412
25,1994.0,Pb,Historical,Historical,199.2732923801793
26,1994.0,Mo,Historical,Historical,6661.478819758168
27,1994.0,Ni,Historical,Historical,3869.388815115744
28,1994.0,Pd,Historical,Historical,778643.4791330368
29,1994.0,Ag,Historical,Historical,49618.27275762454
30,1994.0,Zn,Historical,Historical,295.5738779192517
31,1995.0,Cu,Historical,Historical,2278.995644582864
32,1995.0,Au,Historical,Historical,10502156.30604852
33,1995.0,Pb,Historical,Historical,262.055924255905
34,1995.0,Mo,Historical,Historical,18370.93895633404
35,1995.0,Ni,Historical,Historical,6303.738807440252
36,1995.0,Pd,Historical,Historical,678343.6268820424
37,1995.0,Ag,Historical,Historical,52353.9932614231
38,1995.0,Zn,Historical,Historical,311.2178388455555
39,1996.0,Cu,Historical,Historical,1296.66775463635
40,1996.0,Au,Historical,Historical,9154204.313735314
41,1996.0,Pb,Historical,Historical,342.7688860608337
42,1996.0,Mo,Historical,Historical,1663.24177560042
43,1996.0,Ni,Historical,Historical,4750.900643830042
44,1996.0,Pd,Historical,Historical,283477.5486493884
45,1996.0,Ag,Historical,Historical,46454.86870077066
46,1996.0,Zn,Historical,Historical,263.6746050605483
47,1997.0,Cu,Historical,Historical,1232.288178934086
48,1997.0,Au,Historical,Historical,6211479.056358021
49,1997.0,Pb,Historical,Historical,184.1245601445079
50,1997.0,Mo,Historical,Historical,4144.420465553097
51,1997.0,Ni,Historical,Historical,3746.795594552443
52,1997.0,Pd,Historical,Historical,793371.0138488273
53,1997.0,Ag,Historical,Historical,15401.23790993189
54,1997.0,Zn,Historical,Historical,487.3699623428596
55,1998.0,Cu,Historical,Historical,610.489627267861
56,1998.0,Au,Historical,Historical,6212011.380777469
57,1998.0,Pb,Historical,Historical,84.29499224237972
58,1998.0,Mo,Historical,Historical,-216.2798476945064
59,1998.0,Ni,Historical,Historical,1547.335903709105
60,1998.0,Pd,Historical,Historical,4032699.194190832
61,1998.0,Pt,Historical,Historical,6384204.756816959
62,1998.0,Ag,Historical,Historical,89429.22987821607
63,1998.0,Zn,Historical,Historical,238.6990397980446
64,1999.0,Cu,Historical,Historical,611.8295468239152
65,1999.0,Au,Historical,Historical,4606187.981691786
66,1999.0,Pb,Historical,Historical,88.00554918824804
67,1999.0,Mo,Historical,Historical,-3626.117531791701
68,1999.0,Ni,Historical,Historical,2873.622725033865
69,1999.0,Pd,Historical,Historical,8401452.483098693
70,1999.0,Pt,Historical,Historical,8408315.226516787
71,1999.0,Ag,Historical,Historical,73050.21012382467
72,1999.0,Zn,Historical,Historical,320.5614393793016
73,2000.0,Cu,Historical,Historical,893.7477136167885
74,2000.0,Au,Historical,Historical,4817103.841092324
75,2000.0,Pb,Historical,Historical,-27.80379519752324
76,2000.0,Mo,Historical,Historical,-3646.325994745756
77,2000.0,Ni,Historical,Historical,6270.211878992021
78,2000.0,Pd,Historical,Historical,16140880.24009876
79,2000.0,Pt,Historical,Historical,18039944.94691732
80,2000.0,Ag,Historical,Historical,56063.93184653658
81,2000.0,Zn,Historical,Historical,295.4604704456302
82,2001.0,Cu,Historical,Historical,596.9612003750656
83,2001.0,Au,Historical,Historical,4207858.593089635
84,2001.0,Pb,Historical,Historical,-0.7942090055045182
85,2001.0,Mo,Historical,Historical,-4512.909580812463
86,2001.0,Ni,Historical,Historical,2820.587222842694
87,2001.0,Pd,Historical,Historical,14123976.89299159
88,2001.0,Pt,Historical,Historical,17264529.93178516
89,2001.0,Ag,Historical,Historical,44855.29947560645
90,2001.0,Zn,Historical,Historical,129.2642324284413
91,2002.0,Cu,Historical,Historical,654.7904975901143
92,2002.0,Au,Historical,Historical,5347307.326301567
93,2002.0,Pb,Historical,Historical,-23.99464422783878
94,2002.0,Mo,Historical,Historical,345.2872428231332
95,2002.0,Ni,Historical,Historical,3308.325285441986
96,2002.0,Pd,Historical,Historical,6200515.910969297
97,2002.0,Pt,Historical,Historical,16128702.53969562
98,2002.0,Ag,Historical,Historical,58168.8614542928
99,2002.0,Zn,Historical,Historical,83.29332848059995
100,2003.0,Cu,Historical,Historical,827.594563545529
101,2003.0,Au,Historical,Historical,6437745.376466868
102,2003.0,Pb,Historical,Historical,5.858998127033749
103,2003.0,Mo,Historical,Historical,3081.150557873832
104,2003.0,Ni,Historical,Historical,5321.549523525697
105,2003.0,Pd,Historical,Historical,3504803.516158238
106,2003.0,Pt,Historical,Historical,13901061.5499069
107,2003.0,Ag,Historical,Historical,62003.66161773405
108,2003.0,Zn,Historical,Historical,143.6337627586609
109,2004.0,Cu,Historical,Historical,1983.948043144554
110,2004.0,Au,Historical,Historical,7538872.322689481
111,2004.0,Pb,Historical,Historical,247.0456300858762
112,2004.0,Mo,Historical,Historical,24190.66409755613
113,2004.0,Ni,Historical,Historical,9956.339265239809
114,2004.0,Pd,Historical,Historical,4769922.814462684
115,2004.0,Pt,Historical,Historical,15219471.72574757
116,2004.0,Ag,Historical,Historical,135722.1452262267
117,2004.0,Zn,Historical,Historical,320.146083462037
118,2005.0,Cu,Historical,Historical,2490.575021231786
119,2005.0,Au,Historical,Historical,7501032.777255211
120,2005.0,Pb,Historical,Historical,188.3350914260942
121,2005.0,Mo,Historical,Historical,68544.1942248363
122,2005.0,Ni,Historical,Historical,9859.231533504104
123,2005.0,Pd,Historical,Historical,2597875.270608271
124,2005.0,Pt,Historical,Historical,17384848.92661612
125,2005.0,Ag,Historical,Historical,147111.7137153735
126,2005.0,Zn,Historical,Historical,548.0337673127184
127,2006.0,Cu,Historical,Historical,5375.759164615074
128,2006.0,Au,Historical,Historical,12246993.42991116
129,2006.0,Pb,Historical,Historical,530.4629788471415
130,2006.0,Mo,Historical,Historical,49674.71951262729
131,2006.0,Ni,Historical,Historical,18357.05576079779
132,2006.0,Pd,Historical,Historical,5102097.081038523
133,2006.0,Pt,Historical,Historical,30038336.92761804
134,2006.0,Ag,Historical,Historical,273222.6040170611
135,2006.0,Zn,Historical,Historical,2148.569971855424
136,2007.0,Cu,Historical,Historical,5626.642529291953
137,2007.0,Au,Historical,Historical,12638122.09161679
138,2007.0,Pb,Historical,Historical,1744.287863566376
139,2007.0,Mo,Historical,Historical,53767.86890404952
140,2007.0,Ni,Historical,Historical,29969.94226419777
141,2007.0,Pd,Historical,Historical,5131767.800996397
142,2007.0,Pt,Historical,Historical,33964953.31201669
143,2007.0,Ag,Historical,Historical,324271.6580053061
144,2007.0,Zn,Historical,Historical,2096.541513124315
145,2008.0,Cu,Historical,Historical,4297.180764497883
146,2008.0,Au,Historical,Historical,16382995.20109932
147,2008.0,Pb,Historical,Historical,1017.795453604032
148,2008.0,Mo,Historical,Historical,58943.56525653395
149,2008.0,Ni,Historical,Historical,11059.19997832642
150,2008.0,Pd,Historical,Historical,4456060.543371489
151,2008.0,Pt,Historical,Historical,36687993.4682441
152,2008.0,Ag,Historical,Historical,316830.8750390565
153,2008.0,Zn,Historical,Historical,573.4438098782663
154,2009.0,Cu,Historical,Historical,3238.680863499346
155,2009.0,Au,Historical,Historical,19757623.58237826
156,2009.0,Pb,Historical,Historical,725.6705802538925
157,2009.0,Mo,Historical,Historical,14494.27913837953
158,2009.0,Ni,Historical,Historical,6308.452954351033
159,2009.0,Pd,Historical,Historical,5003787.52473262
160,2009.0,Pt,Historical,Historical,12689205.32049173
161,2009.0,Ag,Historical,Historical,323809.7203111888
162,2009.0,Zn,Historical,Historical,583.7075502011281
163,2010.0,Cu,Historical,Historical,5253.204398949856
164,2010.0,Au,Historical,Historical,25614585.19649282
165,2010.0,Pb,Historical,Historical,1045.483069390767
166,2010.0,Mo,Historical,Historical,23752.24270393208
167,2010.0,Ni,Historical,Historical,12320.84470941535
168,2010.0,Pd,Historical,Historical,8498636.244450072
