,Year,Commodity,Historical or simulated,Scenario,Mean total minesite cost
0,1991.0,Cu,Historical,Historical,1806.916369101367
1,1991.0,Au,Historical,Historical,9870871.355801597
2,1991.0,Pb,Historical,Historical,431.489331434006
3,1991.0,Mo,Historical,Historical,11736.23434549164
4,1991.0,Ni,Historical,Historical,5042.484053327123
5,1991.0,Ag,Historical,Historical,178296.9611247283
6,1991.0,Zn,Historical,Historical,707.2371323009112
7,1992.0,Cu,Historical,Historical,1719.542621645872
8,1992.0,Au,Historical,Historical,9940207.393285766
9,1992.0,Pb,Historical,Historical,419.1589235481179
10,1992.0,Mo,Historical,Historical,12363.12155280875
11,1992.0,Ni,Historical,Historical,5779.654433108698
12,1992.0,Pd,Historical,Historical,4703049.082065551
13,1992.0,Ag,Historical,Historical,148443.0265418649
14,1992.0,Zn,Historical,Historical,756.5388474434587
15,1993.0,Cu,Historical,Historical,1676.951849463886
16,1993.0,Au,Historical,Historical,10157530.07684858
17,1993.0,Pb,Historical,Historical,342.8815371825158
18,1993.0,Mo,Historical,Historical,11087.34243076366
19,1993.0,Ni,Historical,Historical,5159.983477777952
20,1993.0,Pd,Historical,Historical,5947706.977099193
21,1993.0,Ag,Historical,Historical,180305.1382545475
22,1993.0,Zn,Historical,Historical,639.2775123471804
23,1994.0,Cu,Historical,Historical,1693.36356510235
24,1994.0,Au,Historical,Historical,9876764.023630053
25,1994.0,Pb,Historical,Historical,404.222522644131
26,1994.0,Mo,Historical,Historical,9905.440114905008
27,1994.0,Ni,Historical,Historical,5408.859439219424
28,1994.0,Pd,Historical,Historical,5830464.68774223
29,1994.0,Ag,Historical,Historical,204580.8485084878
30,1994.0,Zn,Historical,Historical,573.8784625675509
31,1995.0,Cu,Historical,Historical,1635.784149099373
32,1995.0,Au,Historical,Historical,10853290.84646181
33,1995.0,Pb,Historical,Historical,420.5970155842819
34,1995.0,Mo,Historical,Historical,9919.65176193871
35,1995.0,Ni,Historical,Historical,5764.314713215584
36,1995.0,Pd,Historical,Historical,6726456.082407971
37,1995.0,Ag,Historical,Historical,195287.6752327823
38,1995.0,Zn,Historical,Historical,603.1491198555686
39,1996.0,Cu,Historical,Historical,1564.162191192107
40,1996.0,Au,Historical,Historical,11675108.23202492
41,1996.0,Pb,Historical,Historical,462.2728526544555
42,1996.0,Mo,Historical,Historical,10866.63504694513
43,1996.0,Ni,Historical,Historical,5596.735859064031
44,1996.0,Pd,Historical,Historical,6307882.888923082
45,1996.0,Ag,Historical,Historical,170819.4218906805
46,1996.0,Zn,Historical,Historical,601.0170683231082
47,1997.0,Cu,Historical,Historical,1467.920274801805
48,1997.0,Au,Historical,Historical,11143504.46060601
49,1997.0,Pb,Historical,Historical,403.993382991016
50,1997.0,Mo,Historical,Historical,10263.77418684348
51,1997.0,Ni,Historical,Historical,5231.269253599289
52,1997.0,Pd,Historical,Historical,6078942.398347093
53,1997.0,Ag,Historical,Historical,152254.5489347108
54,1997.0,Zn,Historical,Historical,655.4972269687852
55,1998.0,Cu,Historical,Historical,1282.758943378715
56,1998.0,Au,Historical,Historical,8977151.494071972
57,1998.0,Pb,Historical,Historical,355.7816899121282
58,1998.0,Mo,Historical,Historical,10917.03813385945
59,1998.0,Ni,Historical,Historical,4229.681473769641
60,1998.0,Pd,Historical,Historical,6828102.221807295
61,1998.0,Pt,Historical,Historical,12192335.07098486
62,1998.0,Ag,Historical,Historical,130300.9461717919
63,1998.0,Zn,Historical,Historical,581.7831510320755
64,1999.0,Cu,Historical,Historical,1224.623668399637
65,1999.0,Au,Historical,Historical,9568994.305395257
66,1999.0,Pb,Historical,Historical,308.7881847398094
67,1999.0,Mo,Historical,Historical,11581.810104125
68,1999.0,Ni,Historical,Historical,4645.399044775536
69,1999.0,Pd,Historical,Historical,10490919.53336759
70,1999.0,Pt,Historical,Historical,10450461.47375136
71,1999.0,Ag,Historical,Historical,125434.6243834213
72,1999.0,Zn,Historical,Historical,567.5959423214583
73,2000.0,Cu,Historical,Historical,1234.038403923677
74,2000.0,Au,Historical,Historical,8982217.550207647
75,2000.0,Pb,Historical,Historical,338.4092476945481
76,2000.0,Mo,Historical,Historical,10534.12128949685
77,2000.0,Ni,Historical,Historical,4007.081788080477
78,2000.0,Pd,Historical,Historical,12949536.52619802
79,2000.0,Pt,Historical,Historical,9133406.832487129
80,2000.0,Ag,Historical,Historical,125464.5793353993
81,2000.0,Zn,Historical,Historical,566.0169599851076
