,,,Historical,Simulated
Cobalt,Values,0,1.0,0.0
Cobalt,Values,1,1.0,0.0
Cobalt,Values,2,0.0,0.0
Cobalt,Values,3,0.0,0.0
Cobalt,Values,4,1.0,0.0
Cobalt,Values,5,1.0,0.0
Cobalt,Values,6,0.0,0.0
Cobalt,Values,7,0.0,0.0
Cobalt,Values,8,1.0,1.0
Cobalt,Values,9,0.0,0.0
Cobalt,Values,10,0.0,0.0
Cobalt,Values,11,1.0,0.0
Cobalt,Values,12,0.0,0.0
Cobalt,Values,13,1.0,0.0
Cobalt,Values,14,0.0,1.0
Cobalt,Values,15,0.0,1.0
Cobalt,Values,16,0.0,1.0
Cobalt,Values,17,0.0,1.0
Cobalt,Values,18,3.0,0.0
Cobalt,Values,19,0.0,0.0
Cobalt,Values,20,0.0,0.0
Cobalt,Values,21,0.0,0.0
Cobalt,Values,22,0.0,0.0
Cobalt,Values,23,0.0,1.0
Cobalt,Values,24,1.0,2.0
Cobalt,Values,25,0.0,1.0
Cobalt,Values,26,2.0,1.0
Cobalt,Values,27,1.0,1.0
Cobalt,Values,28,1.0,2.0
Cobalt,Values,29,0.0,0.0
Cobalt,Values,30,0.0,3.0
Cobalt,Values,31,2.0,3.0
Cobalt,Values,32,0.0,0.0
Cobalt,Values,33,3.0,0.0
Cobalt,Values,34,3.0,1.0
Cobalt,Values,35,3.0,1.0
Cobalt,Values,36,2.0,1.0
Cobalt,Values,37,2.0,1.0
Cobalt,Values,38,3.0,1.0
Cobalt,Edges,0,-0.254958016074794,-0.254958016074794
Cobalt,Edges,1,-0.2407050595051872,-0.2407050595051872
Cobalt,Edges,2,-0.22645210293558038,-0.22645210293558038
Cobalt,Edges,3,-0.21219914636597353,-0.21219914636597353
Cobalt,Edges,4,-0.19794618979636672,-0.19794618979636672
Cobalt,Edges,5,-0.1836932332267599,-0.1836932332267599
Cobalt,Edges,6,-0.16944027665715305,-0.16944027665715305
Cobalt,Edges,7,-0.15518732008754624,-0.15518732008754624
Cobalt,Edges,8,-0.14093436351793942,-0.14093436351793942
Cobalt,Edges,9,-0.1266814069483326,-0.1266814069483326
Cobalt,Edges,10,-0.11242845037872579,-0.11242845037872579
Cobalt,Edges,11,-0.09817549380911894,-0.09817549380911894
Cobalt,Edges,12,-0.08392253723951212,-0.08392253723951212
Cobalt,Edges,13,-0.0696695806699053,-0.0696695806699053
Cobalt,Edges,14,-0.05541662410029846,-0.05541662410029846
Cobalt,Edges,15,-0.041163667530691644,-0.041163667530691644
Cobalt,Edges,16,-0.026910710961084827,-0.026910710961084827
Cobalt,Edges,17,-0.01265775439147801,-0.01265775439147801
Cobalt,Edges,18,0.0015952021781288073,0.0015952021781288073
Cobalt,Edges,19,0.015848158747735652,0.015848158747735652
Cobalt,Edges,20,0.03010111531734244,0.03010111531734244
Cobalt,Edges,21,0.04435407188694929,0.04435407188694929
Cobalt,Edges,22,0.05860702845655613,0.05860702845655613
Cobalt,Edges,23,0.07285998502616292,0.07285998502616292
Cobalt,Edges,24,0.08711294159576977,0.08711294159576977
Cobalt,Edges,25,0.10136589816537661,0.10136589816537661
Cobalt,Edges,26,0.1156188547349834,0.1156188547349834
Cobalt,Edges,27,0.12987181130459025,0.12987181130459025
Cobalt,Edges,28,0.1441247678741971,0.1441247678741971
Cobalt,Edges,29,0.15837772444380388,0.15837772444380388
Cobalt,Edges,30,0.17263068101341073,0.17263068101341073
Cobalt,Edges,31,0.18688363758301751,0.18688363758301751
Cobalt,Edges,32,0.20113659415262436,0.20113659415262436
Cobalt,Edges,33,0.2153895507222312,0.2153895507222312
Cobalt,Edges,34,0.229642507291838,0.229642507291838
Cobalt,Edges,35,0.24389546386144484,0.24389546386144484
Cobalt,Edges,36,0.25814842043105163,0.25814842043105163
Cobalt,Edges,37,0.27240137700065853,0.27240137700065853
Cobalt,Edges,38,0.2866543335702653,0.2866543335702653
Cobalt,Edges,39,0.3009072901398721,0.3009072901398721
Copper,Values,0,1.0,1.0
Copper,Values,1,1.0,0.0
Copper,Values,2,4.0,4.0
Copper,Values,3,7.0,7.0
Copper,Values,4,4.0,9.0
Copper,Values,5,76.0,13.0
Copper,Values,6,77.0,13.0
Copper,Values,7,53.0,30.0
Copper,Values,8,11.0,33.0
Copper,Values,9,178.0,54.0
Copper,Values,10,101.0,57.0
Copper,Values,11,48.0,81.0
Copper,Values,12,158.0,123.0
Copper,Values,13,149.0,137.0
Copper,Values,14,137.0,195.0
Copper,Values,15,246.0,204.0
Copper,Values,16,162.0,243.0
Copper,Values,17,133.0,295.0
Copper,Values,18,222.0,339.0
Copper,Values,19,134.0,338.0
Copper,Values,20,230.0,393.0
Copper,Values,21,347.0,420.0
Copper,Values,22,316.0,435.0
Copper,Values,23,397.0,484.0
Copper,Values,24,391.0,476.0
Copper,Values,25,492.0,484.0
Copper,Values,26,525.0,430.0
Copper,Values,27,641.0,416.0
Copper,Values,28,588.0,376.0
Copper,Values,29,492.0,331.0
Copper,Values,30,415.0,332.0
Copper,Values,31,434.0,268.0
Copper,Values,32,362.0,225.0
Copper,Values,33,198.0,195.0
Copper,Values,34,190.0,152.0
Copper,Values,35,143.0,139.0
Copper,Values,36,15.0,109.0
Copper,Values,37,52.0,80.0
Copper,Values,38,15.0,64.0
Copper,Edges,0,-1.5361070110140926,-1.5361070110140926
Copper,Edges,1,-1.4177227694874397,-1.4177227694874397
Copper,Edges,2,-1.2993385279607865,-1.2993385279607865
Copper,Edges,3,-1.1809542864341336,-1.1809542864341336
Copper,Edges,4,-1.0625700449074806,-1.0625700449074806
Copper,Edges,5,-0.9441858033808276,-0.9441858033808276
Copper,Edges,6,-0.8258015618541745,-0.8258015618541745
Copper,Edges,7,-0.7074173203275216,-0.7074173203275216
Copper,Edges,8,-0.5890330788008685,-0.5890330788008685
Copper,Edges,9,-0.47064883727421547,-0.47064883727421547
Copper,Edges,10,-0.3522645957475625,-0.3522645957475625
Copper,Edges,11,-0.23388035422090958,-0.23388035422090958
Copper,Edges,12,-0.11549611269425641,-0.11549611269425641
Copper,Edges,13,0.0028881288323965304,0.0028881288323965304
Copper,Edges,14,0.12127237035904948,0.12127237035904948
Copper,Edges,15,0.23965661188570264,0.23965661188570264
Copper,Edges,16,0.3580408534123556,0.3580408534123556
Copper,Edges,17,0.47642509493900853,0.47642509493900853
Copper,Edges,18,0.5948093364656617,0.5948093364656617
Copper,Edges,19,0.7131935779923144,0.7131935779923144
Copper,Edges,20,0.8315778195189676,0.8315778195189676
Copper,Edges,21,0.9499620610456208,0.9499620610456208
Copper,Edges,22,1.0683463025722735,1.0683463025722735
Copper,Edges,23,1.1867305440989266,1.1867305440989266
Copper,Edges,24,1.3051147856255798,1.3051147856255798
Copper,Edges,25,1.4234990271522325,1.4234990271522325
Copper,Edges,26,1.5418832686788857,1.5418832686788857
Copper,Edges,27,1.6602675102055389,1.6602675102055389
Copper,Edges,28,1.7786517517321916,1.7786517517321916
Copper,Edges,29,1.8970359932588448,1.8970359932588448
Copper,Edges,30,2.015420234785498,2.015420234785498
Copper,Edges,31,2.1338044763121506,2.1338044763121506
Copper,Edges,32,2.252188717838804,2.252188717838804
Copper,Edges,33,2.370572959365457,2.370572959365457
Copper,Edges,34,2.4889572008921097,2.4889572008921097
Copper,Edges,35,2.6073414424187624,2.6073414424187624
Copper,Edges,36,2.725725683945416,2.725725683945416
Copper,Edges,37,2.8441099254720688,2.8441099254720688
Copper,Edges,38,2.9624941669987215,2.9624941669987215
Copper,Edges,39,3.0808784085253746,3.0808784085253746
Gold,Values,0,2.0,0.0
Gold,Values,1,2.0,0.0
Gold,Values,2,4.0,0.0
Gold,Values,3,5.0,0.0
Gold,Values,4,2.0,0.0
Gold,Values,5,6.0,1.0
Gold,Values,6,7.0,0.0
Gold,Values,7,10.0,1.0
Gold,Values,8,24.0,1.0
Gold,Values,9,20.0,6.0
Gold,Values,10,47.0,12.0
Gold,Values,11,36.0,20.0
Gold,Values,12,39.0,29.0
Gold,Values,13,30.0,49.0
Gold,Values,14,52.0,73.0
Gold,Values,15,101.0,97.0
Gold,Values,16,84.0,165.0
Gold,Values,17,124.0,225.0
Gold,Values,18,159.0,241.0
Gold,Values,19,320.0,355.0
Gold,Values,20,293.0,437.0
Gold,Values,21,358.0,434.0
Gold,Values,22,629.0,526.0
Gold,Values,23,638.0,530.0
Gold,Values,24,583.0,577.0
Gold,Values,25,673.0,575.0
Gold,Values,26,586.0,502.0
Gold,Values,27,564.0,456.0
Gold,Values,28,382.0,399.0
Gold,Values,29,331.0,350.0
Gold,Values,30,353.0,268.0
Gold,Values,31,210.0,212.0
Gold,Values,32,133.0,162.0
Gold,Values,33,82.0,124.0
Gold,Values,34,39.0,72.0
Gold,Values,35,35.0,56.0
Gold,Values,36,27.0,32.0
Gold,Values,37,22.0,23.0
Gold,Values,38,20.0,11.0
Gold,Edges,0,-4.858648727106074,-4.858648727106074
Gold,Edges,1,-4.760362257119593,-4.760362257119593
Gold,Edges,2,-4.662075787133113,-4.662075787133113
Gold,Edges,3,-4.563789317146632,-4.563789317146632
Gold,Edges,4,-4.465502847160152,-4.465502847160152
Gold,Edges,5,-4.367216377173672,-4.367216377173672
Gold,Edges,6,-4.268929907187191,-4.268929907187191
Gold,Edges,7,-4.17064343720071,-4.17064343720071
Gold,Edges,8,-4.072356967214231,-4.072356967214231
Gold,Edges,9,-3.97407049722775,-3.97407049722775
Gold,Edges,10,-3.8757840272412696,-3.8757840272412696
Gold,Edges,11,-3.7774975572547893,-3.7774975572547893
Gold,Edges,12,-3.6792110872683086,-3.6792110872683086
Gold,Edges,13,-3.5809246172818283,-3.5809246172818283
Gold,Edges,14,-3.482638147295348,-3.482638147295348
Gold,Edges,15,-3.3843516773088673,-3.3843516773088673
Gold,Edges,16,-3.286065207322387,-3.286065207322387
Gold,Edges,17,-3.1877787373359068,-3.1877787373359068
Gold,Edges,18,-3.089492267349426,-3.089492267349426
Gold,Edges,19,-2.991205797362946,-2.991205797362946
Gold,Edges,20,-2.8929193273764655,-2.8929193273764655
Gold,Edges,21,-2.794632857389985,-2.794632857389985
Gold,Edges,22,-2.6963463874035045,-2.6963463874035045
Gold,Edges,23,-2.5980599174170242,-2.5980599174170242
Gold,Edges,24,-2.4997734474305435,-2.4997734474305435
Gold,Edges,25,-2.4014869774440633,-2.4014869774440633
Gold,Edges,26,-2.303200507457583,-2.303200507457583
Gold,Edges,27,-2.2049140374711027,-2.2049140374711027
Gold,Edges,28,-2.106627567484622,-2.106627567484622
Gold,Edges,29,-2.0083410974981417,-2.0083410974981417
Gold,Edges,30,-1.9100546275116614,-1.9100546275116614
Gold,Edges,31,-1.8117681575251807,-1.8117681575251807
Gold,Edges,32,-1.7134816875387004,-1.7134816875387004
Gold,Edges,33,-1.6151952175522202,-1.6151952175522202
Gold,Edges,34,-1.5169087475657395,-1.5169087475657395
Gold,Edges,35,-1.4186222775792592,-1.4186222775792592
Gold,Edges,36,-1.320335807592779,-1.320335807592779
Gold,Edges,37,-1.2220493376062982,-1.2220493376062982
Gold,Edges,38,-1.123762867619818,-1.123762867619818
Gold,Edges,39,-1.0254763976333376,-1.0254763976333376
Lead,Values,0,3.0,1.0
Lead,Values,1,2.0,0.0
Lead,Values,2,0.0,0.0
Lead,Values,3,0.0,1.0
Lead,Values,4,0.0,0.0
Lead,Values,5,1.0,3.0
Lead,Values,6,1.0,1.0
Lead,Values,7,1.0,2.0
Lead,Values,8,27.0,4.0
Lead,Values,9,5.0,7.0
Lead,Values,10,6.0,6.0
Lead,Values,11,2.0,8.0
Lead,Values,12,1.0,10.0
Lead,Values,13,3.0,11.0
Lead,Values,14,3.0,7.0
Lead,Values,15,14.0,9.0
Lead,Values,16,26.0,14.0
Lead,Values,17,12.0,21.0
Lead,Values,18,12.0,9.0
Lead,Values,19,2.0,23.0
Lead,Values,20,11.0,17.0
Lead,Values,21,25.0,9.0
Lead,Values,22,22.0,18.0
Lead,Values,23,6.0,13.0
Lead,Values,24,2.0,17.0
Lead,Values,25,29.0,8.0
Lead,Values,26,8.0,17.0
Lead,Values,27,4.0,15.0
Lead,Values,28,15.0,12.0
Lead,Values,29,24.0,16.0
Lead,Values,30,11.0,10.0
Lead,Values,31,24.0,12.0
Lead,Values,32,8.0,6.0
Lead,Values,33,0.0,9.0
Lead,Values,34,1.0,5.0
Lead,Values,35,4.0,4.0
Lead,Values,36,34.0,6.0
Lead,Values,37,7.0,3.0
Lead,Values,38,4.0,3.0
Lead,Edges,0,-1.0268721464003014,-1.0268721464003014
Lead,Edges,1,-0.9363064740495777,-0.9363064740495777
Lead,Edges,2,-0.845740801698854,-0.845740801698854
Lead,Edges,3,-0.7551751293481304,-0.7551751293481304
Lead,Edges,4,-0.6646094569974066,-0.6646094569974066
Lead,Edges,5,-0.5740437846466828,-0.5740437846466828
Lead,Edges,6,-0.48347811229595916,-0.48347811229595916
Lead,Edges,7,-0.3929124399452355,-0.3929124399452355
Lead,Edges,8,-0.30234676759451173,-0.30234676759451173
Lead,Edges,9,-0.21178109524378796,-0.21178109524378796
Lead,Edges,10,-0.1212154228930643,-0.1212154228930643
Lead,Edges,11,-0.030649750542340648,-0.030649750542340648
Lead,Edges,12,0.05991592180838312,0.05991592180838312
Lead,Edges,13,0.1504815941591069,0.1504815941591069
Lead,Edges,14,0.24104726650983044,0.24104726650983044
Lead,Edges,15,0.3316129388605542,0.3316129388605542
Lead,Edges,16,0.422178611211278,0.422178611211278
Lead,Edges,17,0.5127442835620017,0.5127442835620017
Lead,Edges,18,0.6033099559127255,0.6033099559127255
Lead,Edges,19,0.6938756282634491,0.6938756282634491
Lead,Edges,20,0.7844413006141728,0.7844413006141728
Lead,Edges,21,0.8750069729648966,0.8750069729648966
Lead,Edges,22,0.9655726453156201,0.9655726453156201
Lead,Edges,23,1.056138317666344,1.056138317666344
Lead,Edges,24,1.1467039900170677,1.1467039900170677
Lead,Edges,25,1.2372696623677915,1.2372696623677915
Lead,Edges,26,1.3278353347185152,1.3278353347185152
Lead,Edges,27,1.418401007069239,1.418401007069239
Lead,Edges,28,1.5089666794199623,1.5089666794199623
Lead,Edges,29,1.599532351770686,1.599532351770686
Lead,Edges,30,1.6900980241214099,1.6900980241214099
Lead,Edges,31,1.7806636964721336,1.7806636964721336
Lead,Edges,32,1.8712293688228574,1.8712293688228574
Lead,Edges,33,1.9617950411735812,1.9617950411735812
Lead,Edges,34,2.0523607135243047,2.0523607135243047
Lead,Edges,35,2.142926385875029,2.142926385875029
Lead,Edges,36,2.2334920582257523,2.2334920582257523
Lead,Edges,37,2.3240577305764756,2.3240577305764756
Lead,Edges,38,2.4146234029272,2.4146234029272
Lead,Edges,39,2.505189075277923,2.505189075277923
Molybdenum,Values,0,1.0,0.0
Molybdenum,Values,1,0.0,0.0
Molybdenum,Values,2,0.0,0.0
Molybdenum,Values,3,0.0,0.0
Molybdenum,Values,4,0.0,0.0
Molybdenum,Values,5,0.0,0.0
Molybdenum,Values,6,1.0,0.0
Molybdenum,Values,7,0.0,0.0
Molybdenum,Values,8,0.0,0.0
Molybdenum,Values,9,1.0,0.0
Molybdenum,Values,10,0.0,0.0
Molybdenum,Values,11,1.0,0.0
Molybdenum,Values,12,1.0,0.0
Molybdenum,Values,13,1.0,1.0
Molybdenum,Values,14,0.0,0.0
Molybdenum,Values,15,0.0,0.0
Molybdenum,Values,16,1.0,0.0
Molybdenum,Values,17,1.0,1.0
Molybdenum,Values,18,1.0,0.0
Molybdenum,Values,19,1.0,2.0
Molybdenum,Values,20,1.0,3.0
Molybdenum,Values,21,2.0,3.0
Molybdenum,Values,22,1.0,3.0
Molybdenum,Values,23,5.0,6.0
Molybdenum,Values,24,1.0,4.0
Molybdenum,Values,25,0.0,7.0
Molybdenum,Values,26,0.0,7.0
Molybdenum,Values,27,2.0,4.0
Molybdenum,Values,28,15.0,9.0
Molybdenum,Values,29,5.0,8.0
Molybdenum,Values,30,9.0,3.0
Molybdenum,Values,31,11.0,12.0
Molybdenum,Values,32,11.0,4.0
Molybdenum,Values,33,10.0,14.0
Molybdenum,Values,34,26.0,2.0
Molybdenum,Values,35,11.0,7.0
Molybdenum,Values,36,3.0,5.0
Molybdenum,Values,37,6.0,6.0
Molybdenum,Values,38,7.0,5.0
Molybdenum,Edges,0,-1.385419133002514,-1.385419133002514
Molybdenum,Edges,1,-1.3181917370160359,-1.3181917370160359
Molybdenum,Edges,2,-1.250964341029558,-1.250964341029558
Molybdenum,Edges,3,-1.1837369450430797,-1.1837369450430797
Molybdenum,Edges,4,-1.1165095490566017,-1.1165095490566017
Molybdenum,Edges,5,-1.0492821530701235,-1.0492821530701235
Molybdenum,Edges,6,-0.9820547570836454,-0.9820547570836454
Molybdenum,Edges,7,-0.9148273610971673,-0.9148273610971673
Molybdenum,Edges,8,-0.8475999651106892,-0.8475999651106892
Molybdenum,Edges,9,-0.7803725691242112,-0.7803725691242112
Molybdenum,Edges,10,-0.7131451731377331,-0.7131451731377331
Molybdenum,Edges,11,-0.645917777151255,-0.645917777151255
Molybdenum,Edges,12,-0.5786903811647768,-0.5786903811647768
Molybdenum,Edges,13,-0.5114629851782987,-0.5114629851782987
Molybdenum,Edges,14,-0.4442355891918206,-0.4442355891918206
Molybdenum,Edges,15,-0.3770081932053426,-0.3770081932053426
Molybdenum,Edges,16,-0.3097807972188644,-0.3097807972188644
Molybdenum,Edges,17,-0.24255340123238622,-0.24255340123238622
Molybdenum,Edges,18,-0.17532600524590825,-0.17532600524590825
Molybdenum,Edges,19,-0.10809860925943005,-0.10809860925943005
Molybdenum,Edges,20,-0.04087121327295207,-0.04087121327295207
Molybdenum,Edges,21,0.026356182713526133,0.026356182713526133
Molybdenum,Edges,22,0.09358357870000411,0.09358357870000411
Molybdenum,Edges,23,0.1608109746864823,0.1608109746864823
Molybdenum,Edges,24,0.2280383706729605,0.2280383706729605
Molybdenum,Edges,25,0.2952657666594385,0.2952657666594385
Molybdenum,Edges,26,0.3624931626459167,0.3624931626459167
Molybdenum,Edges,27,0.42972055863239467,0.42972055863239467
Molybdenum,Edges,28,0.49694795461887287,0.49694795461887287
Molybdenum,Edges,29,0.5641753506053508,0.5641753506053508
Molybdenum,Edges,30,0.6314027465918288,0.6314027465918288
Molybdenum,Edges,31,0.698630142578307,0.698630142578307
Molybdenum,Edges,32,0.7658575385647852,0.7658575385647852
Molybdenum,Edges,33,0.8330849345512634,0.8330849345512634
Molybdenum,Edges,34,0.9003123305377416,0.9003123305377416
Molybdenum,Edges,35,0.9675397265242194,0.9675397265242194
Molybdenum,Edges,36,1.0347671225106976,1.0347671225106976
Molybdenum,Edges,37,1.1019945184971758,1.1019945184971758
Molybdenum,Edges,38,1.169221914483654,1.169221914483654
Molybdenum,Edges,39,1.236449310470132,1.236449310470132
Nickel,Values,0,1.0,0.0
Nickel,Values,1,2.0,0.0
Nickel,Values,2,2.0,0.0
Nickel,Values,3,0.0,0.0
