,,,Head Grade (%)
287,Gold,6,0.0009599996000000001
287,Gold,28,0.0007885711
287,Gold,13,0.0007542854000000001
287,Gold,3,0.0007199997
287,Gold,14,0.000685714
287,Gold,42,0.000685714
287,Gold,33,0.0007199997
287,Gold,30,0.0006171426000000001
287,Gold,20,0.0006289217
287,Gold,26,0.0006678356000000001
287,Gold,27,0.0007199997
287,Gold,47,0.0007199997
287,Gold,11,0.000685714
146,Copper,44,0.48
146,Copper,25,0.42
146,Copper,38,0.34
146,Copper,17,0.39
146,Copper,37,0.47
146,Copper,39,0.52
146,Copper,16,0.46
146,Copper,46,0.36
146,Copper,10,0.4
146,Copper,21,0.71
146,Copper,35,0.664637
146,Copper,1,0.3
146,Copper,19,0.3
146,Copper,40,0.3
146,Copper,5,0.3
146,Copper,45,0.3
146,Copper,48,0.3
146,Copper,4,0.3
146,Copper,29,0.3
146,Copper,6,0.3
146,Copper,28,0.3
146,Copper,13,0.25
146,Copper,3,0.25
146,Copper,14,0.45
146,Copper,42,0.42
146,Copper,33,0.39
146,Copper,30,0.39
146,Copper,20,0.39
146,Copper,26,0.39
146,Copper,27,0.36
146,Copper,47,0.33
146,Copper,11,0.290707
146,Copper,8,0.290707
146,Copper,36,0.290707
395,Copper,44,0.384
395,Copper,25,0.405
395,Copper,38,0.376
395,Copper,17,0.389
395,Copper,37,0.43
395,Copper,39,0.395
395,Copper,16,0.4
395,Copper,46,0.45
395,Copper,48,0.5
395,Copper,4,0.55
395,Copper,29,0.45
395,Copper,13,0.4
395,Copper,3,0.42
395,Copper,14,0.41
395,Copper,42,0.38
395,Copper,33,0.37
395,Copper,30,0.32
395,Copper,20,0.32
395,Copper,26,0.32
395,Copper,27,0.35
395,Copper,47,0.35
395,Copper,11,0.32
395,Copper,8,0.29
395,Copper,36,0.29
395,Copper,49,0.36
395,Copper,9,0.4
395,Copper,0,0.33
395,Copper,34,0.3
395,Copper,43,0.28
395,Copper,32,0.31
395,Copper,12,0.32
395,Copper,31,0.32
395,Copper,23,0.28
395,Copper,2,0.29
395,Copper,41,0.27
395,Copper,15,0.25
