,,,Historical,Simulated
Cobalt,Values,0,19.0,4.0
Cobalt,Values,1,0.0,1.0
Cobalt,Values,2,0.0,0.0
Cobalt,Values,3,0.0,1.0
Cobalt,Values,4,0.0,0.0
Cobalt,Values,5,0.0,2.0
Cobalt,Values,6,0.0,0.0
Cobalt,Values,7,0.0,0.0
Cobalt,Values,8,0.0,0.0
Cobalt,Values,9,0.0,1.0
Cobalt,Values,10,0.0,2.0
Cobalt,Values,11,0.0,0.0
Cobalt,Values,12,0.0,2.0
Cobalt,Values,13,0.0,2.0
Cobalt,Values,14,0.0,0.0
Cobalt,Values,15,0.0,2.0
Cobalt,Values,16,0.0,0.0
Cobalt,Values,17,0.0,1.0
Cobalt,Values,18,0.0,2.0
Cobalt,Values,19,0.0,1.0
Cobalt,Values,20,0.0,1.0
Cobalt,Values,21,0.0,1.0
Cobalt,Values,22,10.0,0.0
Cobalt,Values,23,0.0,0.0
Cobalt,Values,24,1.0,0.0
Cobalt,Values,25,0.0,1.0
Cobalt,Values,26,0.0,1.0
Cobalt,Values,27,0.0,1.0
Cobalt,Values,28,0.0,0.0
Cobalt,Values,29,0.0,0.0
Cobalt,Values,30,0.0,0.0
Cobalt,Values,31,1.0,1.0
Cobalt,Values,32,0.0,0.0
Cobalt,Values,33,0.0,0.0
Cobalt,Values,34,0.0,0.0
Cobalt,Values,35,0.0,0.0
Cobalt,Values,36,0.0,1.0
Cobalt,Values,37,0.0,0.0
Cobalt,Values,38,1.0,0.0
Cobalt,Edges,0,0.0,0.0
Cobalt,Edges,1,0.44997112820512813,0.44997112820512813
Cobalt,Edges,2,0.8999422564102563,0.8999422564102563
Cobalt,Edges,3,1.3499133846153843,1.3499133846153843
Cobalt,Edges,4,1.7998845128205125,1.7998845128205125
Cobalt,Edges,5,2.2498556410256407,2.2498556410256407
Cobalt,Edges,6,2.6998267692307687,2.6998267692307687
Cobalt,Edges,7,3.149797897435897,3.149797897435897
Cobalt,Edges,8,3.599769025641025,3.599769025641025
Cobalt,Edges,9,4.0497401538461535,4.0497401538461535
Cobalt,Edges,10,4.4997112820512815,4.4997112820512815
Cobalt,Edges,11,4.949682410256409,4.949682410256409
Cobalt,Edges,12,5.399653538461537,5.399653538461537
Cobalt,Edges,13,5.849624666666665,5.849624666666665
Cobalt,Edges,14,6.299595794871794,6.299595794871794
Cobalt,Edges,15,6.749566923076922,6.749566923076922
Cobalt,Edges,16,7.19953805128205,7.19953805128205
Cobalt,Edges,17,7.649509179487178,7.649509179487178
Cobalt,Edges,18,8.099480307692307,8.099480307692307
Cobalt,Edges,19,8.549451435897435,8.549451435897435
Cobalt,Edges,20,8.999422564102563,8.999422564102563
Cobalt,Edges,21,9.44939369230769,9.44939369230769
Cobalt,Edges,22,9.899364820512819,9.899364820512819
Cobalt,Edges,23,10.349335948717947,10.349335948717947
Cobalt,Edges,24,10.799307076923075,10.799307076923075
Cobalt,Edges,25,11.249278205128203,11.249278205128203
Cobalt,Edges,26,11.69924933333333,11.69924933333333
Cobalt,Edges,27,12.14922046153846,12.14922046153846
Cobalt,Edges,28,12.599191589743588,12.599191589743588
