,,,Historical,Simulated
Copper,Values,0,4.0,1.0
Copper,Values,1,0.0,0.0
Copper,Values,2,0.0,0.0
Copper,Values,3,2.0,0.0
Copper,Values,4,0.0,0.0
Copper,Values,5,0.0,1.0
Copper,Values,6,1.0,0.0
Copper,Values,7,1.0,0.0
Copper,Values,8,0.0,3.0
Copper,Values,9,0.0,2.0
Copper,Values,10,1.0,2.0
Copper,Values,11,4.0,1.0
Copper,Values,12,3.0,4.0
Copper,Values,13,0.0,3.0
Copper,Values,14,2.0,2.0
Copper,Values,15,3.0,5.0
Copper,Values,16,1.0,3.0
Copper,Values,17,5.0,3.0
Copper,Values,18,3.0,3.0
Copper,Values,19,5.0,4.0
Copper,Values,20,0.0,6.0
Copper,Values,21,4.0,4.0
Copper,Values,22,5.0,2.0
Copper,Values,23,8.0,4.0
Copper,Values,24,4.0,8.0
Copper,Values,25,3.0,2.0
Copper,Values,26,3.0,6.0
Copper,Values,27,4.0,8.0
Copper,Values,28,9.0,0.0
Copper,Values,29,6.0,2.0
Copper,Values,30,1.0,3.0
Copper,Values,31,11.0,2.0
Copper,Values,32,3.0,5.0
Copper,Values,33,6.0,1.0
Copper,Values,34,3.0,4.0
Copper,Values,35,1.0,0.0
Copper,Values,36,3.0,5.0
Copper,Values,37,0.0,1.0
Copper,Values,38,1.0,0.0
Copper,Edges,0,0.0,0.0
Copper,Edges,1,0.043686172120958544,0.043686172120958544
Copper,Edges,2,0.08737234424191709,0.08737234424191709
Copper,Edges,3,0.13105851636287563,0.13105851636287563
Copper,Edges,4,0.17474468848383418,0.17474468848383418
Copper,Edges,5,0.21843086060479272,0.21843086060479272
Copper,Edges,6,0.26211703272575126,0.26211703272575126
Copper,Edges,7,0.3058032048467098,0.3058032048467098
Copper,Edges,8,0.34948937696766835,0.34948937696766835
Copper,Edges,9,0.3931755490886269,0.3931755490886269
Copper,Edges,10,0.43686172120958544,0.43686172120958544
Copper,Edges,11,0.480547893330544,0.480547893330544
Copper,Edges,12,0.5242340654515025,0.5242340654515025
Copper,Edges,13,0.567920237572461,0.567920237572461
Copper,Edges,14,0.6116064096934196,0.6116064096934196
Copper,Edges,15,0.6552925818143782,0.6552925818143782
Copper,Edges,16,0.6989787539353367,0.6989787539353367
Copper,Edges,17,0.7426649260562952,0.7426649260562952
Copper,Edges,18,0.7863510981772538,0.7863510981772538
Copper,Edges,19,0.8300372702982124,0.8300372702982124
Copper,Edges,20,0.8737234424191709,0.8737234424191709
Copper,Edges,21,0.9174096145401294,0.9174096145401294
Copper,Edges,22,0.961095786661088,0.961095786661088
Copper,Edges,23,1.0047819587820466,1.0047819587820466
Copper,Edges,24,1.048468130903005,1.048468130903005
Copper,Edges,25,1.0921543030239635,1.0921543030239635
Copper,Edges,26,1.135840475144922,1.135840475144922
Copper,Edges,27,1.1795266472658807,1.1795266472658807
Copper,Edges,28,1.2232128193868392,1.2232128193868392
Copper,Edges,29,1.2668989915077977,1.2668989915077977
Copper,Edges,30,1.3105851636287564,1.3105851636287564
Copper,Edges,31,1.354271335749715,1.354271335749715
Copper,Edges,32,1.3979575078706734,1.3979575078706734
Copper,Edges,33,1.441643679991632,1.441643679991632
Copper,Edges,34,1.4853298521125904,1.4853298521125904
Copper,Edges,35,1.529016024233549,1.529016024233549
Copper,Edges,36,1.5727021963545076,1.5727021963545076
Copper,Edges,37,1.616388368475466,1.616388368475466
Copper,Edges,38,1.6600745405964248,1.6600745405964248
Copper,Edges,39,1.7037607127173833,1.7037607127173833
Gold,Values,0,10.0,0.0
