,"Aluminum, unadjusted","Aluminum, inflation and regression adjusted","Aluminum, rolling mean","Copper, unadjusted","Copper, inflation and regression adjusted","Copper, rolling mean","Gold, unadjusted","Gold, inflation and regression adjusted","Gold, rolling mean","Lead, unadjusted","Lead, inflation and regression adjusted","Lead, rolling mean","Nickel, unadjusted","Nickel, inflation and regression adjusted","Nickel, rolling mean","Silver, unadjusted","Silver, inflation and regression adjusted","Silver, rolling mean","Steel, unadjusted","Steel, inflation and regression adjusted","Steel, rolling mean","Tin, unadjusted","Tin, inflation and regression adjusted","Tin, rolling mean","Zinc, unadjusted","Zinc, inflation and regression adjusted","Zinc, rolling mean"
1970,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,,,,,,,,,,,,,,,,,,,,,,,,34591.1094826076,,,3720.1983567001785
1988,,,,,,6506.748099862238,,,56725165.38599491,,,,,,,,,632854.1384977888,,,,,,28333.299555605656,,,3457.2140533314505
1989,,,,,,6889.267128571479,,,55158164.63484295,,,,,,,,,667978.8458092592,,,,17857.014891009687,34591.1094826076,25585.85678324226,3365.394915350549,3720.1983567001785,3091.1503400941588
1990,,,,5193.988050836508,6506.748099862238,6985.9221062700935,25879548.540848527,56725165.38599491,53816692.49175074,,,,,,,294715.4282223572,632854.1384977888,670558.3003139748,,,,12120.044538611524,22075.48962860371,24600.89051775726,2972.0024402810927,3194.229749962722,2966.7000757574406
1991,,,,4386.684026887008,7271.786157280719,6844.262411909401,23995033.33261719,53591163.88369099,52432925.065312564,,,2075.34541543707,,,10675.350441645018,268264.1605149412,703103.5531207297,690729.0320602083,,,,10500.082024435917,20090.97123851547,23477.093085090957,2097.282786561937,2359.022913619576,2786.136344754706
1992,,,1893.567209844163,4156.050645727009,7179.232061667323,7046.13413854354,22099923.204549644,51133748.20556631,50293611.23275053,,,2381.0299436412884,,,12379.488733346607,253712.7985060236,675717.2093234062,734246.5037987386,,,,11113.987090144275,21645.991721302264,20601.540790736784,2260.7148896546096,2593.349282747286,2472.4132793856475
1993,,,1909.322018712618,3390.326886867826,6419.283328827324,7601.628659536412,22456898.076130435,48281622.78599803,47401644.404268615,705.3409553268115,2075.34541543707,2530.9225140546346,8272.262813750325,10675.350441645018,13998.07439336265,268826.4859218458,751241.2272989084,771428.6572058719,,,,9140.47070658912,18981.90335442574,20442.879941526677,1704.6490093465677,2063.881420743769,2259.5505998499743
1994,2803.387738651668,1893.567209844163,1753.5745890817198,3973.8412384037297,7853.6210450801,7434.653400168334,23380779.136830967,41736355.9025024,45303157.74676217,944.67056467865,2686.7144718455065,2653.427959983752,10932.97607209737,14083.627025048196,13987.98684729914,321557.7331066234,908316.3907528598,774377.0399846103,,,876.3195981684155,9420.341632260968,20213.348010836744,20172.22558989979,1722.0746327594686,2151.583029854886,2180.7421837226425
1995,2777.7576539808347,1925.0768275810728,1740.1023416555245,4921.779817125275,9284.22070482659,7297.890317549446,22743609.9672892,42265331.24358534,42699474.2543626,1057.3715533936736,2830.7076548813275,2602.125478229391,13809.076116285649,17235.245713394736,13933.272963905087,307681.1786424779,818764.9055334553,771924.7741841091,,,830.5238679657722,10410.932266439891,21282.185382553165,19277.534861008797,1730.6237765237092,2129.9163522843555,2166.3837468620027
1996,2118.63781197098,1442.0797298199234,1720.2909274415917,3742.736314676677,6436.9098604403325,7204.197748044151,22300805.49742988,43098730.596158735,38736387.762276486,1264.1332670239915,3020.9442977711024,2652.17658516453,12253.523382292213,13957.72420910861,14271.984191819432,299189.4723220442,717845.4670144216,791036.9189753005,405.8704943758826,876.3195981684155,807.146112070524,10043.727636204172,18737.699480381023,19382.94092656616,1672.3997834359106,1964.980832982917,2192.547221481312
1997,2330.080738029385,1699.685599376939,1641.367454885293,3623.350465401219,6495.416648572882,6576.533181241621,18619115.60938465,38115330.74356846,36212576.86572409,994.112746166364,2396.915551211947,2490.7121657904295,11047.23122684939,13714.41743032888,14032.338449010229,275609.5743679259,663455.8803209002,744831.7441752071,363.5468558814899,784.7281377631289,732.8905598089526,8987.817310136394,17172.538076847322,18603.738849196863,2095.694714278404,2521.5570984440856,2178.032451872573
1998,1890.577892889552,1641.0452705858595,1520.718660745583,2595.42326749326,5950.820481300845,5495.630240333031,16280061.73124744,28466190.3255675,34183649.21246073,829.6444107239671,2325.6009501127664,2177.4633918486697,7274.192290549498,12368.906581216736,13211.326596572097,307234.2734061906,846801.9512548656,676340.8853710752,313.382757901813,760.3906002800281,672.9589691587908,8685.025284531834,19508.93368221255,16832.024559917925,1608.015631646607,2194.6987938403163,2118.7746690218996
1999,1829.080699859515,1498.9498470626709,1505.3645831563294,2413.752576814248,4715.298211067456,4949.551247347358,15106427.343710728,29117301.41974041,32284337.75963962,770.371521561483,1879.3923749750047,1846.847497255497,9208.52682714802,12885.398311002187,12516.188833009119,282380.54482698644,677290.5167523928,620206.7346441388,235.61482057695665,510.1239030242381,584.4871549211271,8290.670854554832,16317.337623990246,15251.139301146934,1649.2820459379534,2079.0091818111887,2026.2263831303567
2000,1810.0478932919232,1321.8328568825234,1452.2935119306997,2692.3410003127506,3879.706000283642,4376.252997898986,14627677.068935337,32120692.977268543,31967128.555510532,673.9142310801864,1264.4637851725265,1622.6948769508153,12831.078391846988,13130.18645120406,12128.436327035462,259503.19861596508,476310.6115127957,576926.7016345124,252.24281716334903,433.23260655814295,517.8362347590776,8068.983030512972,12423.613936158492,13765.211037987148,1673.838457039541,1833.62743803099,1785.285982286397
