,,Historical,Simulated
Values,0,497.0,475.0
Values,1,878.0,923.0
Values,2,883.0,912.0
Values,3,842.0,780.0
Values,4,661.0,697.0
Values,5,529.0,560.0
Values,6,480.0,409.0
Values,7,337.0,356.0
Values,8,229.0,292.0
Values,9,214.0,240.0
Values,10,207.0,203.0
Values,11,155.0,170.0
Values,12,128.0,136.0
Values,13,135.0,125.0
Values,14,126.0,89.0
Values,15,92.0,79.0
Values,16,78.0,73.0
Values,17,58.0,76.0
Values,18,54.0,44.0
Values,19,42.0,59.0
Values,20,49.0,43.0
Values,21,38.0,35.0
Values,22,38.0,36.0
Values,23,38.0,35.0
Values,24,34.0,25.0
Values,25,36.0,27.0
Values,26,20.0,20.0
Values,27,22.0,17.0
Values,28,23.0,15.0
Values,29,27.0,13.0
Values,30,22.0,19.0
Values,31,29.0,5.0
Values,32,16.0,10.0
Values,33,20.0,8.0
Values,34,13.0,9.0
Values,35,16.0,10.0
Values,36,25.0,8.0
Values,37,21.0,8.0
Values,38,14.0,7.0
Edges,0,0.01,0.01
Edges,1,2.2006667146632,2.2006667146632
Edges,2,4.391333429326401,4.391333429326401
Edges,3,6.582000143989601,6.582000143989601
Edges,4,8.772666858652801,8.772666858652801
Edges,5,10.963333573316001,10.963333573316001
Edges,6,13.154000287979203,13.154000287979203
Edges,7,15.344667002642403,15.344667002642403
Edges,8,17.535333717305605,17.535333717305605
Edges,9,19.726000431968806,19.726000431968806
Edges,10,21.916667146632005,21.916667146632005
Edges,11,24.107333861295206,24.107333861295206
Edges,12,26.298000575958408,26.298000575958408
Edges,13,28.488667290621606,28.488667290621606
Edges,14,30.679334005284808,30.679334005284808
Edges,15,32.870000719948,32.870000719948
Edges,16,35.060667434611204,35.060667434611204
Edges,17,37.251334149274406,37.251334149274406
Edges,18,39.44200086393761,39.44200086393761
Edges,19,41.6326675786008,41.6326675786008
Edges,20,43.823334293264004,43.823334293264004
Edges,21,46.014001007927206,46.014001007927206
Edges,22,48.20466772259041,48.20466772259041
Edges,23,50.39533443725361,50.39533443725361
Edges,24,52.58600115191681,52.58600115191681
Edges,25,54.776667866580006,54.776667866580006
Edges,26,56.96733458124321,56.96733458124321
Edges,27,59.15800129590641,59.15800129590641
Edges,28,61.34866801056961,61.34866801056961
Edges,29,63.53933472523281,63.53933472523281
Edges,30,65.73000143989601,65.73000143989601
Edges,31,67.92066815455922,67.92066815455922
Edges,32,70.11133486922242,70.11133486922242
Edges,33,72.30200158388561,72.30200158388561
Edges,34,74.49266829854882,74.49266829854882
Edges,35,76.68333501321202,76.68333501321202
Edges,36,78.87400172787522,78.87400172787522
Edges,37,81.06466844253842,81.06466844253842
Edges,38,83.25533515720161,83.25533515720161
Edges,39,85.44600187186482,85.44600187186482
