,,,Historical,Simulated
Cobalt,Values,0,0.0,0.0
Cobalt,Values,1,0.0,0.0
Cobalt,Values,2,0.0,0.0
Cobalt,Values,3,0.0,0.0
Cobalt,Values,4,0.0,0.0
Cobalt,Values,5,0.0,0.0
Cobalt,Values,6,0.0,0.0
Cobalt,Values,7,0.0,0.0
Cobalt,Values,8,0.0,0.0
Cobalt,Values,9,0.0,0.0
Cobalt,Values,10,0.0,0.0
Cobalt,Values,11,0.0,0.0
Cobalt,Values,12,0.0,0.0
Cobalt,Values,13,0.0,0.0
Cobalt,Values,14,0.0,0.0
Cobalt,Values,15,0.0,0.0
Cobalt,Values,16,0.0,0.0
Cobalt,Values,17,0.0,0.0
Cobalt,Values,18,0.0,0.0
Cobalt,Values,19,100.0,100.0
Cobalt,Values,20,0.0,0.0
Cobalt,Values,21,0.0,0.0
Cobalt,Values,22,0.0,0.0
Cobalt,Values,23,0.0,0.0
Cobalt,Values,24,0.0,0.0
Cobalt,Values,25,0.0,0.0
Cobalt,Values,26,0.0,0.0
Cobalt,Values,27,0.0,0.0
Cobalt,Values,28,0.0,0.0
Cobalt,Values,29,0.0,0.0
Cobalt,Values,30,0.0,0.0
Cobalt,Values,31,0.0,0.0
Cobalt,Values,32,0.0,0.0
Cobalt,Values,33,0.0,0.0
Cobalt,Values,34,0.0,0.0
Cobalt,Values,35,0.0,0.0
Cobalt,Values,36,0.0,0.0
Cobalt,Values,37,0.0,0.0
Cobalt,Values,38,0.0,0.0
Cobalt,Edges,0,-2.0,-2.0
Cobalt,Edges,1,-1.4871794871794872,-1.4871794871794872
Cobalt,Edges,2,-0.9743589743589745,-0.9743589743589745
Cobalt,Edges,3,-0.4615384615384617,-0.4615384615384617
Cobalt,Edges,4,0.0512820512820511,0.0512820512820511
Cobalt,Edges,5,0.5641025641025639,0.5641025641025639
Cobalt,Edges,6,1.0769230769230766,1.0769230769230766
Cobalt,Edges,7,1.5897435897435894,1.5897435897435894
Cobalt,Edges,8,2.102564102564102,2.102564102564102
Cobalt,Edges,9,2.615384615384615,2.615384615384615
Cobalt,Edges,10,3.1282051282051277,3.1282051282051277
Cobalt,Edges,11,3.6410256410256405,3.6410256410256405
Cobalt,Edges,12,4.153846153846153,4.153846153846153
Cobalt,Edges,13,4.666666666666666,4.666666666666666
Cobalt,Edges,14,5.179487179487179,5.179487179487179
Cobalt,Edges,15,5.692307692307692,5.692307692307692
Cobalt,Edges,16,6.205128205128204,6.205128205128204
Cobalt,Edges,17,6.717948717948717,6.717948717948717
Cobalt,Edges,18,7.23076923076923,7.23076923076923
Cobalt,Edges,19,7.743589743589743,7.743589743589743
Cobalt,Edges,20,8.256410256410255,8.256410256410255
Cobalt,Edges,21,8.769230769230768,8.769230769230768
Cobalt,Edges,22,9.282051282051281,9.282051282051281
Cobalt,Edges,23,9.794871794871794,9.794871794871794
Cobalt,Edges,24,10.307692307692307,10.307692307692307
Cobalt,Edges,25,10.82051282051282,10.82051282051282
Cobalt,Edges,26,11.333333333333332,11.333333333333332
Cobalt,Edges,27,11.846153846153845,11.846153846153845
Cobalt,Edges,28,12.358974358974358,12.358974358974358
Cobalt,Edges,29,12.87179487179487,12.87179487179487
Cobalt,Edges,30,13.384615384615383,13.384615384615383
Cobalt,Edges,31,13.897435897435896,13.897435897435896
Cobalt,Edges,32,14.410256410256409,14.410256410256409
Cobalt,Edges,33,14.92307692307692,14.92307692307692
Cobalt,Edges,34,15.435897435897434,15.435897435897434
Cobalt,Edges,35,15.948717948717949,15.948717948717949
Cobalt,Edges,36,16.46153846153846,16.46153846153846
Cobalt,Edges,37,16.97435897435897,16.97435897435897
Cobalt,Edges,38,17.487179487179485,17.487179487179485
Cobalt,Edges,39,18.0,18.0
Copper,Values,0,100.0,6.0
Copper,Values,1,0.0,0.0
Copper,Values,2,0.0,0.0
Copper,Values,3,50.0,85.0
Copper,Values,4,0.0,0.0
Copper,Values,5,0.0,0.0
Copper,Values,6,0.0,0.0
Copper,Values,7,0.0,328.0
Copper,Values,8,0.0,0.0
Copper,Values,9,0.0,0.0
Copper,Values,10,950.0,1213.0
Copper,Values,11,0.0,0.0
Copper,Values,12,0.0,0.0
Copper,Values,13,0.0,0.0
Copper,Values,14,4250.0,2528.0
Copper,Values,15,0.0,0.0
Copper,Values,16,0.0,0.0
Copper,Values,17,950.0,3919.0
Copper,Values,18,0.0,0.0
Copper,Values,19,0.0,0.0
Copper,Values,20,0.0,0.0
Copper,Values,21,7350.0,3996.0
Copper,Values,22,0.0,0.0
Copper,Values,23,0.0,0.0
Copper,Values,24,1150.0,2828.0
Copper,Values,25,0.0,0.0
Copper,Values,26,0.0,0.0
Copper,Values,27,0.0,0.0
Copper,Values,28,1100.0,1395.0
Copper,Values,29,0.0,0.0
Copper,Values,30,0.0,0.0
Copper,Values,31,900.0,457.0
Copper,Values,32,0.0,0.0
Copper,Values,33,0.0,0.0
Copper,Values,34,0.0,0.0
Copper,Values,35,50.0,126.0
Copper,Values,36,0.0,0.0
Copper,Values,37,0.0,0.0
Copper,Values,38,50.0,18.0
Copper,Edges,0,4.0,4.0
Copper,Edges,1,4.282051282051282,4.282051282051282
Copper,Edges,2,4.564102564102564,4.564102564102564
Copper,Edges,3,4.846153846153846,4.846153846153846
Copper,Edges,4,5.128205128205128,5.128205128205128
Copper,Edges,5,5.410256410256411,5.410256410256411
Copper,Edges,6,5.6923076923076925,5.6923076923076925
Copper,Edges,7,5.9743589743589745,5.9743589743589745
Copper,Edges,8,6.256410256410256,6.256410256410256
Copper,Edges,9,6.538461538461538,6.538461538461538
Copper,Edges,10,6.82051282051282,6.82051282051282
Copper,Edges,11,7.102564102564102,7.102564102564102
Copper,Edges,12,7.384615384615385,7.384615384615385
Copper,Edges,13,7.666666666666666,7.666666666666666
Copper,Edges,14,7.948717948717949,7.948717948717949
Copper,Edges,15,8.23076923076923,8.23076923076923
Copper,Edges,16,8.512820512820513,8.512820512820513
Copper,Edges,17,8.794871794871796,8.794871794871796
