,,,Historical,Simulated
Cobalt,Values,0,3.0,0.0
Cobalt,Values,1,1.0,1.0
Cobalt,Values,2,0.0,2.0
Cobalt,Values,3,6.0,0.0
Cobalt,Values,4,0.0,1.0
Cobalt,Values,5,6.0,0.0
Cobalt,Values,6,3.0,0.0
Cobalt,Values,7,0.0,0.0
Cobalt,Values,8,0.0,0.0
Cobalt,Values,9,0.0,0.0
Cobalt,Values,10,1.0,0.0
Cobalt,Values,11,0.0,3.0
Cobalt,Values,12,0.0,1.0
Cobalt,Values,13,0.0,0.0
Cobalt,Values,14,0.0,1.0
Cobalt,Values,15,0.0,3.0
Cobalt,Values,16,0.0,0.0
Cobalt,Values,17,0.0,1.0
Cobalt,Values,18,0.0,2.0
Cobalt,Values,19,1.0,3.0
Cobalt,Values,20,1.0,0.0
Cobalt,Values,21,2.0,0.0
Cobalt,Values,22,0.0,1.0
Cobalt,Values,23,0.0,1.0
Cobalt,Values,24,1.0,0.0
Cobalt,Values,25,0.0,1.0
Cobalt,Values,26,1.0,2.0
Cobalt,Values,27,0.0,0.0
Cobalt,Values,28,0.0,0.0
Cobalt,Values,29,2.0,0.0
Cobalt,Values,30,0.0,0.0
Cobalt,Values,31,0.0,0.0
Cobalt,Values,32,1.0,2.0
Cobalt,Values,33,0.0,2.0
Cobalt,Values,34,1.0,0.0
Cobalt,Values,35,0.0,0.0
Cobalt,Values,36,0.0,1.0
Cobalt,Values,37,1.0,1.0
Cobalt,Values,38,2.0,0.0
Cobalt,Edges,0,-1.0457574905606752,-1.0457574905606752
Cobalt,Edges,1,-1.021624669109391,-1.021624669109391
Cobalt,Edges,2,-0.9974918476581068,-0.9974918476581068
Cobalt,Edges,3,-0.9733590262068227,-0.9733590262068227
Cobalt,Edges,4,-0.9492262047555385,-0.9492262047555385
Cobalt,Edges,5,-0.9250933833042543,-0.9250933833042543
Cobalt,Edges,6,-0.9009605618529701,-0.9009605618529701
Cobalt,Edges,7,-0.876827740401686,-0.876827740401686
Cobalt,Edges,8,-0.8526949189504018,-0.8526949189504018
Cobalt,Edges,9,-0.8285620974991176,-0.8285620974991176
Cobalt,Edges,10,-0.8044292760478334,-0.8044292760478334
Cobalt,Edges,11,-0.7802964545965492,-0.7802964545965492
Cobalt,Edges,12,-0.756163633145265,-0.756163633145265
Cobalt,Edges,13,-0.7320308116939809,-0.7320308116939809
Cobalt,Edges,14,-0.7078979902426967,-0.7078979902426967
Cobalt,Edges,15,-0.6837651687914126,-0.6837651687914126
Cobalt,Edges,16,-0.6596323473401283,-0.6596323473401283
Cobalt,Edges,17,-0.6354995258888441,-0.6354995258888441
Cobalt,Edges,18,-0.6113667044375599,-0.6113667044375599
Cobalt,Edges,19,-0.5872338829862758,-0.5872338829862758
Cobalt,Edges,20,-0.5631010615349916,-0.5631010615349916
Cobalt,Edges,21,-0.5389682400837074,-0.5389682400837074
Cobalt,Edges,22,-0.5148354186324232,-0.5148354186324232
Cobalt,Edges,23,-0.49070259718113907,-0.49070259718113907
Cobalt,Edges,24,-0.4665697757298548,-0.4665697757298548
Cobalt,Edges,25,-0.44243695427857066,-0.44243695427857066
Cobalt,Edges,26,-0.4183041328272865,-0.4183041328272865
Cobalt,Edges,27,-0.39417131137600236,-0.39417131137600236
Cobalt,Edges,28,-0.3700384899247181,-0.3700384899247181
Cobalt,Edges,29,-0.34590566847343396,-0.34590566847343396
Cobalt,Edges,30,-0.3217728470221498,-0.3217728470221498
Cobalt,Edges,31,-0.29764002557086555,-0.29764002557086555
Cobalt,Edges,32,-0.2735072041195814,-0.2735072041195814
Cobalt,Edges,33,-0.24937438266829726,-0.24937438266829726
Cobalt,Edges,34,-0.225241561217013,-0.225241561217013
Cobalt,Edges,35,-0.20110873976572885,-0.20110873976572885
Cobalt,Edges,36,-0.1769759183144447,-0.1769759183144447
Cobalt,Edges,37,-0.15284309686316044,-0.15284309686316044
Cobalt,Edges,38,-0.1287102754118763,-0.1287102754118763
Cobalt,Edges,39,-0.10457745396059209,-0.10457745396059209
Copper,Values,0,50.0,1.0
Copper,Values,1,0.0,0.0
Copper,Values,2,0.0,1.0
Copper,Values,3,0.0,0.0
Copper,Values,4,0.0,8.0
Copper,Values,5,0.0,11.0
Copper,Values,6,0.0,20.0
Copper,Values,7,13.0,24.0
Copper,Values,8,9.0,47.0
Copper,Values,9,24.0,72.0
Copper,Values,10,134.0,98.0
Copper,Values,11,76.0,164.0
Copper,Values,12,236.0,221.0
Copper,Values,13,277.0,268.0
Copper,Values,14,265.0,334.0
Copper,Values,15,446.0,441.0
Copper,Values,16,645.0,477.0
Copper,Values,17,562.0,540.0
Copper,Values,18,665.0,594.0
Copper,Values,19,647.0,672.0
Copper,Values,20,682.0,648.0
Copper,Values,21,756.0,635.0
Copper,Values,22,538.0,541.0
Copper,Values,23,413.0,491.0
Copper,Values,24,328.0,456.0
Copper,Values,25,244.0,367.0
Copper,Values,26,198.0,263.0
Copper,Values,27,279.0,222.0
Copper,Values,28,237.0,176.0
Copper,Values,29,140.0,124.0
Copper,Values,30,90.0,82.0
Copper,Values,31,67.0,55.0
Copper,Values,32,45.0,38.0
Copper,Values,33,51.0,25.0
Copper,Values,34,11.0,11.0
Copper,Values,35,8.0,11.0
Copper,Values,36,4.0,3.0
Copper,Values,37,2.0,3.0
Copper,Values,38,3.0,0.0
Copper,Edges,0,-1.5228787452803376,-1.5228787452803376
Copper,Edges,1,-1.4565367777288696,-1.4565367777288696
Copper,Edges,2,-1.3901948101774013,-1.3901948101774013
Copper,Edges,3,-1.3238528426259333,-1.3238528426259333
Copper,Edges,4,-1.2575108750744652,-1.2575108750744652
Copper,Edges,5,-1.191168907522997,-1.191168907522997
Copper,Edges,6,-1.124826939971529,-1.124826939971529
Copper,Edges,7,-1.058484972420061,-1.058484972420061
Copper,Edges,8,-0.9921430048685927,-0.9921430048685927
Copper,Edges,9,-0.9258010373171246,-0.9258010373171246
Copper,Edges,10,-0.8594590697656566,-0.8594590697656566
Copper,Edges,11,-0.7931171022141884,-0.7931171022141884
Copper,Edges,12,-0.7267751346627203,-0.7267751346627203
Copper,Edges,13,-0.6604331671112522,-0.6604331671112522
Copper,Edges,14,-0.5940911995597841,-0.5940911995597841
Copper,Edges,15,-0.527749232008316,-0.527749232008316
Copper,Edges,16,-0.4614072644568479,-0.4614072644568479
Copper,Edges,17,-0.39506529690537984,-0.39506529690537984
Copper,Edges,18,-0.3287233293539116,-0.3287233293539116
Copper,Edges,19,-0.26238136180244354,-0.26238136180244354
Copper,Edges,20,-0.1960393942509755,-0.1960393942509755
Copper,Edges,21,-0.12969742669950723,-0.12969742669950723
Copper,Edges,22,-0.0633554591480392,-0.0633554591480392
Copper,Edges,23,0.0029865084034288447,0.0029865084034288447
Copper,Edges,24,0.0693284759548971,0.0693284759548971
Copper,Edges,25,0.13567044350636515,0.13567044350636515
Copper,Edges,26,0.20201241105783319,0.20201241105783319
Copper,Edges,27,0.2683543786093012,0.2683543786093012
Copper,Edges,28,0.3346963461607695,0.3346963461607695
Copper,Edges,29,0.4010383137122375,0.4010383137122375
Copper,Edges,30,0.46738028126370557,0.46738028126370557
Copper,Edges,31,0.5337222488151736,0.5337222488151736
Copper,Edges,32,0.6000642163666419,0.6000642163666419
Copper,Edges,33,0.6664061839181101,0.6664061839181101
Copper,Edges,34,0.732748151469578,0.732748151469578
Copper,Edges,35,0.7990901190210462,0.7990901190210462
Copper,Edges,36,0.8654320865725145,0.8654320865725145
Copper,Edges,37,0.9317740541239823,0.9317740541239823
Copper,Edges,38,0.9981160216754505,0.9981160216754505
Copper,Edges,39,1.0644579892269184,1.0644579892269184
Gold,Values,0,34.0,6.0
Gold,Values,1,23.0,8.0
Gold,Values,2,1.0,11.0
Gold,Values,3,0.0,19.0
Gold,Values,4,26.0,33.0
Gold,Values,5,24.0,50.0
Gold,Values,6,62.0,60.0
Gold,Values,7,100.0,80.0
Gold,Values,8,125.0,136.0
Gold,Values,9,194.0,173.0
Gold,Values,10,211.0,195.0
Gold,Values,11,299.0,254.0
Gold,Values,12,314.0,327.0
Gold,Values,13,426.0,385.0
Gold,Values,14,416.0,376.0
Gold,Values,15,348.0,443.0
Gold,Values,16,367.0,454.0
Gold,Values,17,455.0,527.0
Gold,Values,18,422.0,490.0
Gold,Values,19,398.0,479.0
Gold,Values,20,430.0,421.0
Gold,Values,21,401.0,398.0
Gold,Values,22,428.0,348.0
Gold,Values,23,391.0,321.0
Gold,Values,24,322.0,248.0
Gold,Values,25,252.0,196.0
Gold,Values,26,202.0,172.0
Gold,Values,27,121.0,128.0
Gold,Values,28,132.0,92.0
Gold,Values,29,41.0,67.0
Gold,Values,30,29.0,47.0
Gold,Values,31,13.0,31.0
Gold,Values,32,10.0,22.0
Gold,Values,33,5.0,18.0
Gold,Values,34,2.0,5.0
Gold,Values,35,2.0,6.0
Gold,Values,36,1.0,1.0
Gold,Values,37,1.0,2.0
Gold,Values,38,4.0,0.0
Gold,Edges,0,-4.975054830841201,-4.975054830841201
Gold,Edges,1,-4.901465074383983,-4.901465074383983
Gold,Edges,2,-4.827875317926766,-4.827875317926766
Gold,Edges,3,-4.7542855614695485,-4.7542855614695485
Gold,Edges,4,-4.680695805012331,-4.680695805012331
Gold,Edges,5,-4.607106048555113,-4.607106048555113
Gold,Edges,6,-4.533516292097896,-4.533516292097896
Gold,Edges,7,-4.459926535640678,-4.459926535640678
Gold,Edges,8,-4.38633677918346,-4.38633677918346
Gold,Edges,9,-4.312747022726242,-4.312747022726242
Gold,Edges,10,-4.239157266269025,-4.239157266269025
Gold,Edges,11,-4.165567509811807,-4.165567509811807
Gold,Edges,12,-4.091977753354589,-4.091977753354589
Gold,Edges,13,-4.018387996897372,-4.018387996897372
Gold,Edges,14,-3.9447982404401545,-3.9447982404401545
Gold,Edges,15,-3.8712084839829366,-3.8712084839829366
Gold,Edges,16,-3.7976187275257187,-3.7976187275257187
Gold,Edges,17,-3.7240289710685013,-3.7240289710685013
Gold,Edges,18,-3.650439214611284,-3.650439214611284
Gold,Edges,19,-3.576849458154066,-3.576849458154066
Gold,Edges,20,-3.503259701696848,-3.503259701696848
Gold,Edges,21,-3.4296699452396306,-3.4296699452396306
Gold,Edges,22,-3.356080188782413,-3.356080188782413
Gold,Edges,23,-3.2824904323251953,-3.2824904323251953
Gold,Edges,24,-3.208900675867978,-3.208900675867978
Gold,Edges,25,-3.1353109194107605,-3.1353109194107605
Gold,Edges,26,-3.0617211629535426,-3.0617211629535426
Gold,Edges,27,-2.9881314064963247,-2.9881314064963247
Gold,Edges,28,-2.9145416500391073,-2.9145416500391073
Gold,Edges,29,-2.8409518935818894,-2.8409518935818894
Gold,Edges,30,-2.767362137124672,-2.767362137124672
Gold,Edges,31,-2.693772380667454,-2.693772380667454
Gold,Edges,32,-2.6201826242102366,-2.6201826242102366
Gold,Edges,33,-2.546592867753019,-2.546592867753019
Gold,Edges,34,-2.4730031112958013,-2.4730031112958013
Gold,Edges,35,-2.399413354838584,-2.399413354838584
Gold,Edges,36,-2.325823598381366,-2.325823598381366
Gold,Edges,37,-2.2522338419241485,-2.2522338419241485
Gold,Edges,38,-2.1786440854669307,-2.1786440854669307
Gold,Edges,39,-2.1050543290097132,-2.1050543290097132
Lead,Values,0,1.0,0.0
Lead,Values,1,1.0,0.0
Lead,Values,2,0.0,0.0
Lead,Values,3,0.0,1.0
Lead,Values,4,0.0,1.0
Lead,Values,5,0.0,1.0
Lead,Values,6,1.0,0.0
Lead,Values,7,0.0,1.0
Lead,Values,8,1.0,2.0
Lead,Values,9,1.0,2.0
Lead,Values,10,2.0,3.0
Lead,Values,11,30.0,7.0
Lead,Values,12,13.0,7.0
Lead,Values,13,1.0,10.0
Lead,Values,14,5.0,15.0
Lead,Values,15,36.0,11.0
Lead,Values,16,0.0,11.0
Lead,Values,17,13.0,22.0
Lead,Values,18,1.0,18.0
Lead,Values,19,3.0,26.0
Lead,Values,20,7.0,20.0
Lead,Values,21,22.0,22.0
Lead,Values,22,4.0,16.0
Lead,Values,23,4.0,19.0
Lead,Values,24,36.0,14.0
Lead,Values,25,56.0,24.0
Lead,Values,26,31.0,15.0
Lead,Values,27,15.0,20.0
Lead,Values,28,19.0,13.0
Lead,Values,29,13.0,10.0
Lead,Values,30,23.0,12.0
Lead,Values,31,10.0,4.0
Lead,Values,32,3.0,8.0
Lead,Values,33,1.0,3.0
Lead,Values,34,4.0,3.0
Lead,Values,35,1.0,11.0
Lead,Values,36,1.0,1.0
Lead,Values,37,0.0,5.0
Lead,Values,38,1.0,2.0
Lead,Edges,0,-0.47536245391025816,-0.47536245391025816
Lead,Edges,1,-0.43222730352499317,-0.43222730352499317
Lead,Edges,2,-0.3890921531397282,-0.3890921531397282
Lead,Edges,3,-0.3459570027544632,-0.3459570027544632
Lead,Edges,4,-0.30282185236919823,-0.30282185236919823
Lead,Edges,5,-0.2596867019839333,-0.2596867019839333
Lead,Edges,6,-0.2165515515986683,-0.2165515515986683
Lead,Edges,7,-0.17341640121340335,-0.17341640121340335
Lead,Edges,8,-0.13028125082813835,-0.13028125082813835
Lead,Edges,9,-0.08714610044287335,-0.08714610044287335
Lead,Edges,10,-0.04401095005760841,-0.04401095005760841
Lead,Edges,11,-0.0008757996723434136,-0.0008757996723434136
Lead,Edges,12,0.042259350712921584,0.042259350712921584
Lead,Edges,13,0.08539450109818653,0.08539450109818653
Lead,Edges,14,0.12852965148345147,0.12852965148345147
Lead,Edges,15,0.17166480186871652,0.17166480186871652
Lead,Edges,16,0.21479995225398146,0.21479995225398146
Lead,Edges,17,0.2579351026392464,0.2579351026392464
Lead,Edges,18,0.30107025302451146,0.30107025302451146
Lead,Edges,19,0.3442054034097764,0.3442054034097764
Lead,Edges,20,0.38734055379504134,0.38734055379504134
Lead,Edges,21,0.4304757041803064,0.4304757041803064
Lead,Edges,22,0.47361085456557134,0.47361085456557134
Lead,Edges,23,0.5167460049508363,0.5167460049508363
Lead,Edges,24,0.5598811553361014,0.5598811553361014
Lead,Edges,25,0.6030163057213662,0.6030163057213662
Lead,Edges,26,0.6461514561066313,0.6461514561066313
Lead,Edges,27,0.6892866064918963,0.6892866064918963
Lead,Edges,28,0.7324217568771612,0.7324217568771612
Lead,Edges,29,0.7755569072624262,0.7755569072624262
Lead,Edges,30,0.8186920576476913,0.8186920576476913
