,Total demand,Primary supply,Scrap demand,Mine production - INSG,Mine production - USGS,Primary commodity price
1993,,,,,,13998.07439336265
1994,,,,,,13987.98684729914
1995,,,,,,13933.272963905087
1996,,,,,,14271.984191819432
1997,,,,,,14032.338449010229
1998,,,,,,13211.326596572097
1999,,,,,,12516.188833009119
2000,,,,,,12128.436327035462
2001,1646.5508055892237,1350,506.7759463021736,,1350,12531.217254603398
2002,1828.5151622065189,1350,623.0742616436688,,1350,13280.721944482331
2003,1852.2122080473666,1370,599.8669922875167,,1330,13479.515143592067
2004,1918.172084106404,1350,637.6842792283543,,1370,15402.615248291066
2005,1807.1371119820149,1460,526.649307103975,1381.355932,1460,18960.142427628474
2006,2007.3552125204042,1570,572.0831674922642,,1570,18700.445353503917
2007,1863.4250041489902,1740,512.5807264754499,,1740,17982.99738122615
2008,1854.4805365204747,1630,536.4692794848347,,1630,18295.77288320888
2009,1773.6215012491273,1410,502.5145594104772,,1410,17174.333697749837
2010,2070.5609888925214,1710,574.3133341082815,1573.446328,1690,13540.430179937835
2011,2253.204354658402,2340,611.5533227634719,2197.740113,2340,12856.340052138883
2012,2317.946344489099,2570,615.3197028380689,2355.932203,2420,12508.769495562867
2013,2457.656878677687,2610,637.7694490341669,2511.299435,2610,11988.157811737388
2014,2551.1525244544005,2130,646.8373274562801,2158.19209,2130,11474.443444020557
2015,2543.425789767249,2110,629.729729729729,2149.717514,2110,11469.624055142658
2016,2727.9397596470685,2010,659.459459459459,1997.175141,2010,11911.837549449507
2017,2940.195730439632,2190,721.621621621622,2127.118644,2200,12431.742965817615
2018,3118.031539982754,2400,754.054054054054,2316.384181,2400,13584.777488165728
2019,3226.8622280817385,2610,787.837837837838,2511.299435,2610,14339.024325182158
2020,3190.6115308554304,2510,779.72972972973,2387.00565,,15288.435081213776
2021,,2730,,,,16141.808181273944
2022,,3300,,,,16886.625509042435
