,Total demand,Primary supply,Scrap demand,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Primary commodity price
1993,,,,,,,,,2530.9225140546346
1994,,,,,,,,,2653.427959983752
1995,,,,,,,,,2602.125478229391
1996,,,,,,,,,2652.17658516453
1997,,,,,,,,,2490.7121657904295
1998,,,,,,,,,2177.4633918486697
1999,,,,,,,,,1846.847497255497
2000,,,,,,,,,1622.6948769508153
2001,6482,3120,3584,,,,,,1410.8463350223815
2002,6647,2850,3846,,,,,,1384.1176155914711
2003,6826,3200,3649,,,,,,1445.9973592754093
2004,7141,3150,3746,,,,,,1531.860629053576
2005,7652,3470,4316.50818139284,,,,,,1903.1169340488723
2006,8042.622302158272,3630,4854.74820134802,,,,,,2076.3374211549512
2007,8243.844604316537,3710,5198.26137673411,,,,,,2183.0984515970517
2008,9064.503956834527,3880,5444.46113661928,,,,,,2364.1374051916137
2009,9174.295683453227,3780,5812.61196206135,,,,,,2486.6019006803326
2010,9810.293525179844,4160,6083.04286845065,,,,,,2266.6042949174325
2011,10504.199999999899,4750,5963.31873539522,,,,,,2243.739952115478
2012,10623.157194244588,5080,6209.41245087556,,,,,,2182.0023105725486
2013,11329.666187050343,4930,6357.98066204532,,,,,,2136.1418966243427
2014,11171.206834532331,4630,6335.90575177277,,,,,,2136.8607971611755
2015,11190.713669064722,4940,6581.92877098322,,,,,,2254.2534512335146
2016,11261.582374100692,4790,7169.52081815783,,,,,,2282.9734027953778
2017,12104,4610,7269.27325496988,,,,,,2288.2274473519183
2018,12290,4560,7674,,,,,,2295.879086319744
2019,12244,4720,7599,12319.0,,,,,2211.3187431516003
2020,11375,4380,7427,,,,,,2035.4441769607615
2021,12205,4550,7717,,,,,,2003.870541250817
2022,,4500,,,,,,,2006.1154066347535
