,Copper,Gold,Lead,Molybdenum,Nickel,Palladium,Platinum,Silver,Zinc,All metals,Base metals,Precious metals
0,log(Total Minesite Cost (USD/t)),log(Total Minesite Cost (USD/t)),log(Total Minesite Cost (USD/t)),log(Total Minesite Cost (USD/t)),log(Total Minesite Cost (USD/t)),log(Total Minesite Cost (USD/t)),log(Total Minesite Cost (USD/t)),log(Total Minesite Cost (USD/t)),log(Total Minesite Cost (USD/t)),log(Total Minesite Cost (USD/t)),log(Total Minesite Cost (USD/t)),log(Total Minesite Cost (USD/t))
name,RandomEffects,RandomEffects,RandomEffects,PanelOLS,RandomEffects,PanelOLS,RandomEffects,RandomEffects,PanelOLS,RandomEffects,PanelOLS,RandomEffects
nobs,3753,3832,178,93,944,51,361,715,1952,11879,6920,4908
_cov_type,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust
rsquared,0.8629249282856133,0.9335220735390928,0.9090152015068472,0.3625777482340111,0.7108607389626345,0.6670039897419362,0.880103885636731,0.7991885345410515,0.1051486920606961,0.7830676397673332,0.35959378202291103,0.822867057959713
rsquared_within,0.5445752791056323,0.5301090413126932,0.4787579042788329,0.5329709250932161,0.5560709479526783,0.6506855951399887,0.5478394323082665,0.37901326006111735,0.1342077531513448,0.37435313862462294,0.3757622986037905,0.5037149891576662
rsquared_between,0.1305226143152639,-0.3608293660841597,0.7870276375195983,-0.3075785821560759,-0.09139273356996536,0.9849398808399992,0.12746576115133423,0.2337573016508413,0.09709365624312216,0.9470809309834223,0.42312083454609595,0.7023754930507788
rsquared_overall,0.20594662883807124,0.1392746005293054,0.6816684178098842,0.3625777482340111,0.13057413230484793,0.6670039897419362,0.3837305985586642,0.2550619508144707,0.1051486920606961,0.9382313385435068,0.35959378202291103,0.7130442416014974
F stat,7866.992190681995,17918.341158495074,579.4691262778898,16.87495716976935,770.3428585790522,31.380944067544185,873.5259098843364,943.2114956849884,76.29932493325813,14288.521719033668,1294.4651517835125,7593.8068619606565
P-value,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,9.228730779575756e-09,1.1102230246251565e-16,2.745137450688162e-11,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
const,-36.54683516199278,-58.56864622784856,-52.779991195872796,-22.09216758611512,19.53064830459763,-77.34467828173328,-50.3870542020956,-49.98009909398461,22.30796459772518,-13.920452231806161,-5.5626230388301305,-46.42881080204914
const p-value,0.0,0.0,1.0108463355251729e-07,0.18503643065230113,1.7529132123605962e-07,1.2131051718711205e-10,1.8435408755124172e-10,3.3306690738754696e-15,6.343113774454068e-06,0.0,0.05702207077013677,0.0
log(Head Grade (%)),-0.31633207162288945,-0.3669610607473287,-0.6855169915009712,-0.05189313264555888,-0.5083533823783885,-0.07593757822450364,-0.3486322485994662,-0.19692118945988416,-0.3486362909462926,-0.9174197427045275,-0.45800320748338874,-0.5824782839169503
log(Head Grade (%)) p-value,0.0,0.0,1.1102230246251565e-15,0.31809153054154216,0.0,0.08376319446585523,0.007427110055780561,0.001944907766933568,0.0,0.0,0.0,0.0
log(Oil price),0.3989792750780721,0.2744260224657174,0.198488003287316,0.2662651642034082,0.6483856559924995,-0.1084800148277541,0.5665151550096444,0.2752532923402485,0.16576355226942127,0.2966976745799416,0.4800437311979031,0.2844408319921718
log(Oil price) p-value,0.0,0.0,0.014349716739648688,0.015587243036684795,0.0,0.18343512301844145,0.0,2.2251978037957088e-11,8.767374968710051e-05,0.0,0.0,0.0
Year,0.021239102445424658,0.03539552344955213,0.029636144445225263,0.015191479873805489,-0.006581513148427444,0.04656038910985556,0.03089788053803852,0.03011564375268775,-0.007940374594489841,0.010480803149280259,0.005631843786729496,0.028353638848049152
Year p-value,0.0,0.0,5.458483443021578e-09,0.07514349193704373,0.0004833831175472536,9.894307595459395e-13,5.972999872483342e-14,0.0,0.0016114336685859598,0.0,0.00015316667864251343,0.0
