Parameter,General source,Source,Steel,Al,Cu,Au,Pb,Ni,Ag,Sn,Zn
Collection elasticity to scrap price,Literature,Blomberg and Hellmer (2000),,0.17,,,,,,,
Collection elasticity to scrap price,Literature,Fisher and Owen (1981),,0.9207,,,,,,,
Collection elasticity to scrap price,Literature,Zink et al. (2018),,0.174,,,,,,,
Collection elasticity to scrap price,Literature,Carlsen (1980),,0.32,,,,,,,
Collection elasticity to scrap price,Literature,Slade (1980a),,0.24,,,,,,,
Collection elasticity to scrap price,Literature,Suslow (1986),,1.96,,,,,,,
Collection elasticity to scrap price,Literature,US EPA (1998),,2.33,,,,,,,
Collection elasticity to scrap price,Literature,Grant (1999),,0.6,,,,,,,
Collection elasticity to scrap price,Literature,Blomberg and Soderholm (2009),,0.21,,,,,,,
Collection elasticity to scrap price,Literature,"Gomez (2007), a",,,0.201,,,,,,
Collection elasticity to scrap price,Literature,"Gomez (2007), b",,,0.272,,,,,,
Collection elasticity to scrap price,Literature,Slade (1980b),,,0.28,,,,,,
Collection elasticity to scrap price,Literature,Vial (1988),,,0.33,,,,,,
Collection elasticity to scrap price,Literature,Vial (1988),,,0.26,,,,,,
Collection elasticity to scrap price,Literature,Intarapravich (1989),,,0.075,,,,,,
Collection elasticity to scrap price,Literature,Vial (2004),,,0.2,,,,,,
Collection elasticity to scrap price,Literature,Vial (2004),,,0.11,,,,,,
Collection elasticity to scrap price,Literature,Valencia (2005),,,0.32,,,,,,
Collection elasticity to scrap price,Literature,Valencia (2005),,,0.31,,,,,,
Collection elasticity to scrap price,Literature,Gupta (1982),,,,,,,,,0.65
Collection elasticity to scrap price,Literature,"Damuth (2011), a",0.589,,,,,,,,
Collection elasticity to scrap price,Literature,"Damuth (2011), b",0.885,,,,,,,,
Collection elasticity to scrap price,Literature,"Damuth (1979), a",0.365,,,,,,,,
Collection elasticity to scrap price,Literature,"Damuth (1979), b",0.833,,,,,,,,
Collection elasticity to scrap price,Literature,Sigman (1995),,,,,0.217,,,,
Collection elasticity to scrap price,Literature,"Sigman (1995), a",,,,,0.192,,,,
Collection elasticity to scrap price,Literature,"Sigman (1995), b",,,,,0.187,,,,
Collection elasticity to scrap price,Literature,"Blomberg (2007), a",,0.21,,,,,,,
Collection elasticity to scrap price,Literature,"Blomberg (2007), b",,0.78,,,,,,,
Direct melt fraction elasticity to scrap spread,Literature,Zink et al. (2018),,0.191,,,,,,,
Direct melt fraction elasticity to scrap spread,Literature,Suslow (1986),,1.08,,,,,,,
Intensity elasticity to GDP,Literature,"Fernandez (2018), a - demand",0.20100000000000007,0.1339999999999999,0.2410000000000001,,1.746,0.272,,0.31899999999999995,-0.11499999999999999
Intensity elasticity to GDP,Literature,"Fernandez (2018), b - demand",0.15599999999999992,0.2909999999999999,0.10099999999999998,,0.17300000000000004,-0.05500000000000005,,-0.10099999999999998,-0.16100000000000003
Intensity elasticity to GDP,Literature,"Fernandez (2018), c - demand",0.03600000000000003,0.030999999999999917,-0.31399999999999995,,-0.528,0.2390000000000001,,0.0020000000000000018,-0.08799999999999997
Intensity elasticity to GDP,Literature,"Fernandez (2018), d - demand",0.026000000000000023,0.06000000000000005,-0.263,,-0.516,0.2649999999999999,,0.040000000000000036,-0.06399999999999995
Intensity elasticity to GDP,Literature,"Fernandez (2018), e - demand",0.030000000000000027,0.040000000000000036,-0.31599999999999995,,-0.5549999999999999,0.2310000000000001,,0.09699999999999998,-0.10299999999999998
Intensity elasticity to GDP,Literature,"Fernandez (2018), f - demand",0.026000000000000023,0.06499999999999995,-0.29000000000000004,,-0.562,0.2529999999999999,,0.11699999999999999,-0.11399999999999999
Intensity elasticity to GDP,Literature,"Pei and Tilton (1999), a - demand",,1.21,0.31000000000000005,,-0.32999999999999996,0.8799999999999999,,0.74,0.79
Intensity elasticity to GDP,Literature,"Pei and Tilton (1999), b - demand",,-0.122,-0.994,,-0.5349999999999999,0.15599999999999992,,-0.45199999999999996,-1.995
Intensity elasticity to GDP,Literature,Tcha and Takashina (2002) - demand,0.030000000000000027,-0.15200000000000002,-0.15400000000000003,,-0.353,0.28600000000000003,,-0.08899999999999997,-0.05500000000000005
Intensity elasticity to GDP,Literature,Evans and Lewis (2005) - demand,-0.7193,0.03810000000000002,-0.22509999999999997,,-0.9006,-0.26659999999999995,,-1.0018,-0.32210000000000005
Intensity elasticity to GDP,Literature,Stuermer (2017) - demand,,0.655,0.10200000000000009,,-0.32999999999999996,,,-0.405,-0.07699999999999996
Intensity elasticity to GDP,Literature,Fisher and Owen (1981) - demand,,0.28269999999999995,,,,,,,
Intensity elasticity to GDP,Literature,Fu (2019),,,0.69,,,,,,
Intensity elasticity to GDP,Literature,Blomberg (2000) - demand,,-0.48,,,,,,,
Intensity elasticity to GDP,Literature,"Bozdogan (1979), a - demand",,,0.30000000000000004,,,,,,
Intensity elasticity to GDP,Literature,"Bozdogan (1979), b - demand",,,0.78,,,,,,
Intensity elasticity to GDP,Literature,Damuth (2011) - demand,0.597,,,,,,,,
Intensity elasticity to GDP,Literature,Damuth (2011) - demand,-0.09299999999999997,,,,,,,,
Intensity elasticity to GDP,Literature,Fernandez (2018) - demand,0.15599999999999992,0.2909999999999999,,,,,,,
Intensity elasticity to GDP,Literature,"Fernandez (2018), a - demand",0.026000000000000023,0.06000000000000005,-0.263,,-0.8160000000000001,0.2649999999999999,,-0.40700000000000003,-0.06399999999999995
Intensity elasticity to GDP,Literature,"Fernandez (2018), a - demand",,,,,,,,0.040000000000000036,
Intensity elasticity to GDP,Literature,"Fernandez (2018), a - demand",,,0.2410000000000001,,1.746,0.272,,0.31899999999999995,-0.11499999999999999
Intensity elasticity to GDP,Literature,"Fernandez (2018), b - demand",0.03600000000000003,0.030999999999999917,-0.31399999999999995,,-0.528,0.2390000000000001,,-0.273,-0.08799999999999997
Intensity elasticity to GDP,Literature,"Fernandez (2018), b - demand",,,,,,,,0.0020000000000000018,
Intensity elasticity to GDP,Literature,"Fernandez (2018), b - demand",,,0.10099999999999998,,0.17300000000000004,-0.05500000000000005,,-0.10099999999999998,-0.16100000000000003
Intensity elasticity to GDP,Literature,"Fernandez (2018), c - demand",0.026000000000000023,0.06499999999999995,-0.29000000000000004,,-0.562,0.2529999999999999,,-0.46599999999999997,-0.11399999999999999
Intensity elasticity to GDP,Literature,"Fernandez (2018), c - demand",,,,,,,,0.11699999999999999,
Intensity elasticity to GDP,Literature,"Fernandez (2018), d - demand",0.030000000000000027,0.040000000000000036,-0.31599999999999995,,-0.5549999999999999,0.2310000000000001,,-0.931,-0.10299999999999998
Intensity elasticity to GDP,Literature,"Fernandez (2018), d - demand",,,,,,,,0.09699999999999998,
Intensity elasticity to GDP,Literature,"Fernandez (2018), e - demand",0.09000000000000008,-0.17500000000000004,-0.351,,-0.544,0.16999999999999993,,0.33099999999999996,-0.485
Intensity elasticity to GDP,Literature,"Fernandez (2018), f - demand",0.03400000000000003,-0.23199999999999998,-0.30900000000000005,,-0.252,-0.344,,-0.247,-0.31599999999999995
Intensity elasticity to GDP,Literature,"Fernandez (2018), g - demand",0.1339999999999999,-0.403,-0.41900000000000004,,-0.7070000000000001,-0.402,,0.5529999999999999,-0.627
