Parameter,Publication,Method,Steel,Al,Cu,Au,Pb,Ni,Ag,Sn,Zn,Degrees of freedom,Years,Notes,Paper notes
Demand elasticity to price,"Fernandez (2018), a",OLS with instrumental variable mine supply,-0.238,-0.593,-0.28,,-0.888,-0.448,,-0.486,-0.355,23,1990-2015,Lead was not statistically significant,
Demand elasticity to price,"Fernandez (2018), b",SUR with instrumental variable mine supply,-0.086,-0.333,-0.202,,-0.099,-0.142,,-0.255,-0.143,161,1990-2015,Lead was only statistically significant at the 10.1% confidence level,
Demand elasticity to price,"Fernandez (2018), c",OLS short-run specification,0.005,0.029,0.088,,-0.002,-0.043,,-0.03,-0.003,52,1960-2015,,Degrees of freedom given by N years - 1 - rolling mean years (3 or 5)
Demand elasticity to price,"Fernandez (2018), d",SUR short-run specification,-0.017,0.01,-0.014,,-0.008,-0.061,,-0.067,-0.014,364,1960-2015,,
Demand elasticity to price,"Fernandez (2018), e",OLS long-run specification,-0.06,-0.07,-0.065,,0.002,-0.102,,-0.156,-0.062,50,1960-2015,pvalues <0.1,
Demand elasticity to price,"Fernandez (2018), f",SUR long-run specification,-0.069,-0.086,-0.042,,0.001,-0.081,,-0.245,-0.068,350,1960-2015,,
Demand elasticity to price,"Pei and Tilton (1999), a","Partial adjustment model, high income countries",,-0.02,0.02,,0.06,-0.03,,-0.03,0.01,25,1963-1992,,
Demand elasticity to price,"Pei and Tilton (1999), b","Partial adjustment model, low income countries",,0.317,0.188,,-0.023,-0.151,,-0.151,0.318,25,1963-1992,,
Demand elasticity to price,Tcha and Takashina (2002),Divisia moments,-0.012,0.004,-0.025,,-0.006,-0.047,,-0.064,-0.02,30,1960-1993,,
Demand elasticity to price,Evans and Lewis (2005),"Instrumental variables empirical Bayes, long-run",-0.1322,-0.0765,-0.1177,,-0.1271,-0.1034,,-0.1185,-0.1021,25,1969-1999,Iron ore is used for steel here,
Demand elasticity to price,Stuermer (2017),"Autoregressive distributed lag, long-run",,-0.773,-0.44,,-0.213,,,-0.112,-0.046,1086,1840-2010,"Industrial production index is used rather than GDP here, df varies by commodity: Al=1086, Cu=1317, Pb=1173, Sn=1255, Zn=1329",
Demand elasticity to price,"Fisher and Owen (1981), a","Three stage least squares, short run",,-0.246,,,,,,,,13,1960-1978,,
Demand elasticity to price,"Fisher and Owen (1981), b","Three stage least squares, long run",,-0.3049,,,,,,,,13,1960-1978,,
