,diff(Aluminum),log(Aluminum),Aluminum original,diff(Steel),log(Steel),Steel original,diff(Gold),log(Gold),Gold original,diff(Tin),log(Tin),Tin original,diff(Copper),log(Copper),Copper original,diff(Nickel),log(Nickel),Nickel original,diff(Silver),log(Silver),Silver original,diff(Zinc),log(Zinc),Zinc original,diff(Lead),log(Lead),Lead original,diff(Platinum),log(Platinum),Platinum original,diff(Lithium),log(Lithium),Lithium original,diff(Si),log(Si),Si original,diff(Cobalt),log(Cobalt),Cobalt original,diff(Rees),log(Rees),Rees original,diff(Tungstate),log(Tungstate),Tungstate original,diff(Tantalum),log(Tantalum),Tantalum original,diff(Molybdenum),log(Molybdenum),Molybdenum original
1994,3039.047528142736,1893.567209844163,2803.387738651668,,,,27680447.55884778,41736355.9025024,23380779.136830967,11446.737503387743,20213.348010836744,9420.341632260968,4827.170551711667,7853.6210450801,3973.8412384037297,12561.490665589814,14083.627025048196,10932.97607209737,998320.4753849932,908316.3907528598,321557.7331066234,1853.3756098153285,2151.583029854886,1722.0746327594686,1096.738143623042,2686.7144718455065,944.6705646786501,29230893.34500805,38911879.38818943,24653475.763059285,,,,5.134975097165529,25.158732435358747,9.1159985571986,,,,,,,,,,103447.26507182431,204410.9242150854,103447.26507182432,,,
1995,2963.080266494946,1925.0768275810726,2777.7576539808347,,,,27402746.294389192,42265331.24358534,22743609.9672892,12341.792668431355,21282.185382553165,10410.932266439891,5734.878483778541,9284.22070482659,4921.779817125275,15360.81355685363,17235.245713394736,13809.076116285649,996936.4779735885,818764.9055334553,307681.1786424779,1855.7345019018546,2129.9163522843555,1730.6237765237092,1202.26982859948,2830.7076548813275,1057.3715533936736,29475410.992703192,38340332.341883205,25113798.102399677,,,,4.661167621678229,22.721551504034544,8.722605279879739,,,,,,,,,,103578.67372713296,196772.68800021659,103578.673727133,,,
1996,2267.2053914595617,1442.0797298199234,2118.6378119709802,446.03213713735545,876.3195981684155,405.8704943758826,27367806.953817103,43098730.596158735,22300805.49742988,11591.640502111868,18737.699480381023,10043.727636204172,4394.573125906983,6436.9098604403325,3742.736314676677,13497.504742254076,13957.72420910861,12253.523382292211,987880.7659610999,717845.4670144216,299189.4723220442,1772.6972991320931,1964.980832982917,1672.3997834359106,1380.293867866793,3020.9442977711024,1264.1332670239915,26336515.286282603,31742470.23670869,22839941.063699573,,,,4.0860163241744125,19.861962608382395,8.481869714862057,,,,,,,,,,111899.65588110777,189348.04979607117,111899.65588110777,,,
1997,2501.9055807579516,1699.685599376939,2330.0807380293854,416.9232396478642,784.7281377631289,363.5468558814899,24062635.200115632,38115330.74356846,18619115.609384652,10778.045606630623,17172.538076847322,8987.817310136394,4377.227979996829,6495.416648572882,3623.350465401219,12485.949568149035,13714.41743032888,11047.23122684939,1059686.0117499093,663455.8803209002,275609.5743679259,2211.6931368136984,2521.5570984440856,2095.6947142784034,1128.4575139802878,2396.915551211947,994.112746166364,26227794.12950285,32881876.848640233,22183854.543543164,,,,3.64392655294903,18.49626249904641,7.813391573621529,,,,,,,,,,122982.0475179283,221865.7346910833,122982.04751792831,,,
1998,2135.2400446130387,1641.0452705858595,1890.5778928895518,389.3856262654373,760.3906002800281,313.382757901813,20590999.29330841,28466190.3255675,16280061.73124744,11234.139255137734,19508.93368221255,8685.025284531834,3668.87278694538,5950.820481300845,2595.42326749326,9322.789684946512,12368.906581216737,7274.192290549498,1169579.6115016057,846801.9512548656,307234.2734061906,1773.1862973276363,2194.6987938403163,1608.015631646607,1020.9385183988998,2325.6009501127664,829.6444107239671,26358172.42146957,39442989.16809362,20599989.001487337,,,,5.230761656840799,24.22618326950491,8.7099357432157,,,,,,,8775.581329899927,47856.39104833428,8796.44938371635,126309.01260719908,298500.5268847913,126309.01260719914,,,
1999,2024.552170337679,1498.9498470626709,1829.080699859515,296.33689113401795,510.1239030242381,235.61482057695665,20258879.938055098,29117301.419740412,15106427.343710728,10327.27133705985,16317.337623990246,8290.670854554832,3271.379122535673,4715.298211067456,2413.7525768142477,10845.24236438851,12885.398311002187,9208.52682714802,1157907.0009401622,677290.5167523928,282380.54482698644,1781.244234094532,2079.0091818111887,1649.2820459379534,923.2048889524799,1879.3923749750047,770.371521561483,24999481.75578626,33345106.418397844,20399013.01774049,,,,4.0897655841133815,19.230286497043497,8.005345150166878,,,,,,,7540.403640243113,32430.88451882279,7540.403640243118,497958.91573552036,915460.3250473058,497958.91573552025,,,
2000,1895.5055444364862,1321.8328568825234,1810.0478932919232,278.78973733408867,433.23260655814295,252.24281716334906,20945270.60909189,32120692.977268543,14627677.068935337,8959.35896685303,12423.613936158492,8068.983030512972,3067.284463813045,3879.706000283642,2692.3410003127506,13546.629694869538,13130.186451204061,12831.078391846988,1113034.3867478871,476310.6115127957,259503.19861596508,1731.5306543314098,1833.62743803099,1673.838457039541,740.7310435889341,1264.4637851725265,673.9142310801864,30512876.259612344,33549600.688412707,28501609.594683323,,,,2.4621968182690246,13.237440799303627,7.35678399432911,,,,,,,8588.051523083795,23876.734292761994,8588.051523083801,502155.6509420825,715289.3641258555,502155.6509420825,,,
2001,1834.2548822527983,1365.3093418736548,1695.2970167993146,283.6556373308187,433.9605269800974,240.4891880792503,20605203.826952007,33602173.332053214,13808108.374743678,7925.283540416413,10833.273186526047,6477.493460676628,2892.8624997279117,3706.5148955119657,2283.1880860747588,9797.138874029011,10482.035391293733,8633.621267837483,1112370.1498567672,437174.7133797401,222900.38102231736,1375.161258745383,1502.239403525203,1281.3512314204102,796.9988764892109,1367.864824805241,688.3518271230299,30250294.91949036,36041908.86530764,26979887.660771046,,,,1.9594785693993124,12.236344876997604,6.319112689865549,,,,,,,13042.90345079887,39448.33486179249,13042.903450798876,115005.4481167333,184191.82201872414,115005.44811673334,,,
2002,1896.9677524821554,1434.3302432487894,1755.349164130199,298.3247023971243,451.4735369528811,254.3317151184023,22170065.46016999,36529284.72292299,15559541.634473868,7246.342965274564,9742.896761048405,5770.831041904166,2839.169661169626,3628.9254013310165,2217.821387474612,10820.879952538673,11775.654900460597,9635.083665486105,1078950.399569257,447055.71527276764,230680.19969314084,1202.9370113608068,1316.855094224288,1107.3307381954467,754.1274023817365,1276.1524496885384,643.4000123946294,30369871.71929165,36463495.56584219,27036843.69814044,,,,2.2260296610327917,12.559573861050675,6.5396666012683795,,,,,,,8684.793757878766,26504.4461940844,8684.793757878771,95404.33722842118,154828.49100686036,95404.33722842122,,,
2003,2046.9644405812917,1533.013768922933,1949.5715697722705,358.4895378491324,530.0374393532633,328.2350114031322,24531480.13970614,41205610.67000662,17836880.038607154,7811.640676271411,10353.19481374806,6796.9127101032755,2899.6581106242515,3589.809795664874,2472.34914750288,14208.884114861246,14382.811219056412,13393.39720784794,1019205.8100849318,417908.2646499594,239017.40697013136,1216.0597098793062,1297.5278230960107,1150.3100825225854,790.5908133072447,1266.3582404705971,714.4422051793805,36195200.41982913,40669992.778102025,33903035.448800854,,,,2.0954498338342407,11.685215634927692,6.776022196805902,,,,2344.4730136089993,4304.30195607706,2348.2573459742803,8511.416895594139,21779.491120956092,8511.41689559414,92800.89225080902,133398.6395215195,92800.89225080906,,,
2004,2121.4387776599715,1564.340215225701,2114.70710644071,462.82106362612586,639.5828673570072,460.72990928148903,25068481.34195764,36045253.078746624,19554709.20142283,11527.52528734411,14542.854026709154,11457.388582383137,3904.994611852854,4566.0203814108545,3875.459560417547,18798.059342288183,16632.921760396857,18741.6939256409,1029242.1962114063,467085.86476917967,317846.22230986605,1423.597664471513,1463.9942487745,1419.0531339481001,1198.5763778623416,1745.7487778204527,1193.3130830291254,40525944.23315662,40591539.77394475,40367512.70898966,,,,3.5771100176828456,13.118032352030982,9.01077910953864,,,,2139.2782785029062,2392.864893397232,2139.278278502894,11241.260783898215,22182.250237905882,11241.26078389822,100516.72340522245,119721.52273719916,100516.72340522248,,,
2005,2040.5283583954279,1492.4209829224842,2160.4506327422796,421.7543903567156,552.4078424911451,459.00754441771323,26395536.755247395,36986732.76025206,20545557.725701552,8426.264608525547,10739.24869502069,9675.724497482488,4283.467108751361,4603.495237077906,4809.623307666517,18357.478599220467,14124.152446752742,19361.607995723043,986456.1850100739,416683.611300791,337368.52515897056,1725.606943163143,1685.612383889196,1806.5661015140392,1182.6902858568988,1573.8625035922173,1276.4539689600224,38566505.42788431,34268343.74840009,41388905.406655975,,,,3.0821162004782416,11.601614462336267,9.564226488602666,,,,1843.7000843998374,1195.3033223083673,1843.700084399825,27846.778439027636,40577.525011456935,27846.778439027636,102107.172796553,99399.63853094447,102107.17279655304,,,
2006,2719.224465483292,1973.3594987499396,2910.0145309536515,428.54085816134307,534.7814279522767,487.8086775967711,29355446.0246608,33579326.96830697,27010746.803382363,9110.136079390597,11175.297869346336,11097.961404710899,7679.047788651795,7152.991587624657,8516.13477841579,28956.4085649832,20097.535914788725,30553.925909803864,989250.5683164794,562354.2150949363,516800.4763378726,4005.54013537315,3618.81807879463,4134.341921415979,1483.2795920653841,1797.1811736960751,1632.4527071969896,46518716.265229195,38245637.36707733,51009006.99450541,,,,7.702904973135592,15.939902879150948,14.6510312507193,,,,2061.84564070547,1076.167315883779,2061.8456407054578,33012.85110185893,41413.41807376314,33012.85110185893,102568.194969622,90360.7150145462,102568.19496962201,,,
2007,2475.6643025523226,1862.9392873622915,2703.9788825481387,523.8906226771921,613.1477936052606,594.8152133696249,31435016.802960534,33583789.65853608,30302753.942347884,15478.395704763288,16553.96603064685,17857.185727905573,7787.170699539654,7066.558065735732,8788.89562697106,43951.85740930561,29563.290797147634,45863.57383290222,964515.5975803398,595036.4342770313,582445.5371479071,3858.3859813824165,3479.053832016713,4012.5204516997305,2997.2300719241657,3132.4339746650194,3175.7424962685623,51348187.223351836,40896444.976362385,56721626.55514491,,,,9.466136439098095,16.982651375759907,16.51203541270928,,,,3590.6676041887536,1699.6287109951488,3590.667604188741,30655.17591648745,35409.92277519447,30655.175916487457,118271.61028032012,99775.10976875894,118271.61028032015,,,
2008,2240.18240376374,1682.4705156396237,2673.315763133353,676.7370180443577,713.8047201531751,811.2873662047383,37888307.21159356,39939834.48485532,36516458.21229208,17368.47135513238,17305.13386140749,21881.2506703098,6346.611485685198,5431.411537051076,8246.974059948292,21463.804191211715,13084.325848433633,25090.502743400724,798592.7158011685,545000.0377845635,627890.940860684,1944.274517833803,1786.1923516533568,2236.681515776805,2145.4268018436796,2132.4606760009924,2484.0809782301367,55693856.02099708,38547789.897435494,65887755.28573527,,,,9.063986813707615,15.435036840999956,17.800389546427514,,,,5082.087762721186,1850.3465901679385,5082.087762721174,28994.234988157754,27317.827712638235,28994.234988157754,118864.40337467672,86158.813567168,118864.40337467677,,,
2009,1616.733845409171,1272.3414929601456,1733.5002241948494,421.95512439102356,522.8016108310323,458.22791792949823,40626872.76844487,41981625.31839839,40881044.66665984,14962.869322460687,16679.102828166273,16179.448206292434,5632.490012967714,5630.296973392537,6144.799793261443,16476.799290440933,13045.681899008012,17454.503841996837,777285.1680189415,691873.2394666055,614996.899344396,1894.8119016225767,1827.9225665368026,1973.6405245923895,1953.4393646526237,2279.5539300309547,2044.7355462601652,47796784.11891845,41989371.23155921,50544909.32585665,9856.480473185056,14587.483479271072,6789.74808509164,11.361372231827813,19.950069082413826,17.4348500125984,,,,4069.510997013282,3276.2619732209137,4069.510997013269,24466.455421138235,33654.29994230627,24466.455421138235,130532.88732829124,128032.44819415938,130532.88732829124,,,
2010,2176.5027668317716,1638.5102217101255,2433.4972707506013,521.1633643794012,606.6437179930856,600.997205919358,46458112.61201804,41397340.8900164,50645378.4544076,21199.181418643726,21277.233191481326,23876.785108849206,7715.5460129490375,6834.477485406181,8843.103441796009,23419.661341560022,15688.029956666394,25571.51959750099,718450.4332356704,811805.8115875869,833038.9494083966,2361.179140564962,2165.903305655069,2534.675339260268,2318.30351037717,2479.057271565026,2519.239919863488,60520127.479118034,45861530.39780305,66568555.81618441,9118.380625970854,12714.590549744149,6148.198797666838,16.278215430160515,23.363588130727106,23.61623148518446,45229.82923351408,65066.896078451995,45404.678081942286,23973.04537523011,10316.170448692232,23973.0453752301,28360.664530006743,31034.4992617559,28360.664530006736,243918.3833536039,195451.1161105633,243918.383353604,21544.72733086469,25816.557036796057,38035.725877615245
2011,2209.1318902985868,1690.2688289621933,2572.447222203633,618.9835916649863,670.5426447996235,731.8453773999267,46648759.429573566,32133753.31045417,62872732.99686522,25857.13663521027,23895.676873698347,29642.487911533448,8445.559487068203,6942.99518683605,10039.597084202685,23032.7325958787,14490.339987493518,26074.83304763287,971244.8770291191,1220739.6205636691,1411468.9593845352,2251.3006492565646,2037.8894017973082,2496.573711723138,2445.2671651249775,2409.503651139671,2729.332688671689,60407007.268562794,42951709.25581744,68957722.226573,8203.676524352748,10118.682705382485,5405.4316920194715,32.009604245030744,35.519953173204,40.01442874027712,40275.28276910396,51027.9655930233,40275.28276910395,110890.00320622727,38725.3178181189,110890.00320622725,48159.14936761756,44354.091109228786,48159.14936761756,434668.2171683425,312714.7353016146,434668.2171683426,26786.457391622356,23300.38901847663,38408.69681803227
2012,1797.0241547791704,1450.443292301345,2137.9091863623853,518.3039672888303,569.7380545957506,624.1979112439627,53348838.33053657,37528124.117016934,65571550.79522585,19975.18782324366,19202.100419042043,23526.839724684007,7366.179416132915,6240.322481142975,8861.804590536607,16682.572125553936,11393.773208087618,19536.859895734135,724609.4834409773,1054340.6846774188,1222740.6662241307,1941.4230432609945,1798.830273665891,2171.553479009524,2031.9591340963227,2032.4459458505166,2298.4870685442734,52882596.08725989,38888547.72675275,60905408.45588896,8062.447006238249,9492.44250175305,5395.702770275883,27.12411078591866,30.721801175821266,34.66407740046864,32270.12479563837,39549.79628219333,32270.12479563837,29034.330074509446,10638.53480969222,29034.330074509457,46963.24381490962,42672.701779858035,46963.24381490962,365589.340616412,267750.56930199463,365589.34061641194,25082.724903620387,19371.739135966665,30978.5440410696
2013,1617.4207277224243,1350.8900393423144,1976.463067027287,470.69978644089804,520.4771922167384,582.2341919831002,49109519.28470408,40590115.1354122,54663901.77479262,20718.990746997122,19530.238003963477,24459.822079975176,6473.443708264553,5586.857578058069,8048.733649413106,13497.252045192326,9663.875209438873,16503.57401038717,681471.5522503015,783593.5809854851,923501.2073969018,1855.1993594038988,1726.9698884110378,2097.5877377162183,2068.6796959288604,2018.1389619912234,2349.4042928108006,49105152.359790355,36247961.72562339,57555301.394666314,8152.219166134018,9355.674868419246,5617.942548486545,18.703458233519605,22.696141069697468,26.18079059355054,29714.04092257013,34884.484303041914,29714.04092257013,8814.218681474002,3190.581202402856,8814.218681474,40895.12582523282,35517.8988771738,40895.125825232826,367870.389662421,264149.6898355526,367870.3896624211,24733.4436644437,15461.683719792682,24705.543551044564
2014,1794.2488465081806,1514.0941293003132,2105.0115762624196,496.84729295797933,534.528728290806,593.3839197940157,46705654.604209475,43586692.13835097,48232356.940481015,20405.109984149763,19302.932925961148,23642.92020685825,6048.900349056003,5394.942314298394,7412.3646224158365,15625.441433111313,11307.82911612793,18227.510097862312,653379.6529667496,626701.5161625647,726452.5484789056,2123.7095982300225,1963.500418729963,2333.5045607151596,2019.704597501432,1970.865722316305,2262.6807941391094,45394209.847570956,35037956.27248941,52708086.495078206,8155.495859159219,9016.06010481992,5863.585348325545,14.012328731653112,18.130381884062455,20.594561106733163,33197.35364955417,37604.08749848326,33197.35364955418,5338.659733381798,2245.3550641149545,5338.659733381798,40027.4299689188,35455.05254167196,40027.429968918805,272758.6770018107,207625.80065521767,272758.6770018107,31385.612012043937,17616.055003204372,27060.400630889315
2015,1892.4367160646373,1731.424836901918,1860.6688327553431,431.33162476425406,487.00768388483897,421.46311737012275,43398939.309211805,42949926.1700967,44162631.65726782,17673.59249378863,19428.094015755185,17342.605642778577,6086.491489148033,6528.397325448147,5947.1106375036225,13066.880956708395,13084.971537539002,12800.883120449349,726137.2177014886,694210.6006450487,597359.3368942915,2104.899314482095,2150.0489886870305,2083.4529142256156,1953.2243198428055,2249.7552018239994,1928.3859504932173,40840680.50066528,41856017.14380085,40093015.618005976,7673.370139839998,8103.668448098893,5752.126891268868,14.20985989422351,20.66397164081205,16.934834067423356,30740.776292098395,41583.013923774044,30740.776292098395,2648.267088725917,3815.212722819753,2648.267088725918,27218.490236496687,37507.360979880934,27218.490236496687,242378.25306541115,291003.9852911393,242378.25306541123,22537.418053582234,16673.903964637524,15690.666653715723
