,Total demand,Primary supply,Scrap demand,Unnamed: 5,Unnamed: 6,Demand,Demand.1,Unnamed: 9,Secondary production,Secondary production.1,Secondary production.2,Secondary production.3,Secondary production.4,Secondary production.5,Unnamed: 16,Unnamed: 17,Unnamed: 18,Total primary production (t Ta),Non tin slag production (t Ta),Primary demand (t Ta),Old scrap recycled (t Ta),New scrap recycled (t Ta),Total scrap recycled (t Ta),Total primary production (kt Ta2O5),Non tin slag production (kt Ta2O5),Primary demand (kt Ta2O5),Production from tin slag (kt Ta2O5),Total scrap recycled (t Ta2O5),Total demand (kt Ta2O5),Total demand growth rate,Primary supply growth rate,Scrap demand growth rate,Primary commodity price
1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85205.35605899266
1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127925.24852325363
1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142751.30771704554
1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166278.50221236577
1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207081.2176728127
1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268240.5928805676
1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384265.97989244823
1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,537090.1725349902
1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581243.5950796293
1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,560928.0183685191
1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510297.8835443171
1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380317.9824092984
1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219767.4051569669
1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157515.4186771838
1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168915.6571885921
1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202787.78816552687
1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236855.77861516603
1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248949.50518164114
1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263374.2302095993
1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257375.98907984234
1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232276.79037344432
1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198702.8037823693
1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194806.53777025812
1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193906.40619285608
1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193346.1229073361
1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200235.95425912476
1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222179.58471744956
1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364389.4648838936
1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468092.80010902137
1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467061.55455355195
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453654.1058167075
2001,5.363386609191339,3.757934191324493,1.4550395928103224,,,2003,4778.73703697425,,,,,,,,,,,1538.87559022297,1260.75760572896,1600.46970367773,218.840326055537,376.998983039599,595.8393090951361,3.757934191324493,3.0787700731901206,3.908347016381017,0.6791641181343722,1.4550395928103224,5.363386609191339,0.9730944758083515,0.9155947574508674,1.0309253076716955,420633.72834405303
2002,4.991687115832213,4.176362890750906,1.4018757763046996,,,2004,5190.55325019174,,,,,,,,,,,1710.22231398481,1554.74197875699,1470.02921356573,222.497167761204,351.571536704275,574.068704465479,4.176362890750906,3.79667991212457,3.5898113395275133,0.37968297862633626,1.4018757763046996,4.991687115832213,0.9306968674005082,1.1113454036508652,0.9634622887457378,261485.96788203172
2003,5.23252000665085,3.7982975089551276,1.4108937423517287,,,2005,5292.20469248695,,,,,,,,,,,1555.40438532151,1419.24612773021,1564.95752018801,226.288189517253,351.473375737345,577.761565254598,3.7982975089551276,3.465799043917173,3.8216262642991206,0.33249846503795455,1.4108937423517287,5.23252000665085,1.0482467921626706,0.9094749686065229,1.0064327854146964,138308.02276304952
2004,5.55583531280037,4.3076086361580455,1.5213369750717283,,,2006,5386.70030876501,,,,,,,,,,,1763.96750047422,1567.58074778685,1652.1287214286,231.310667347574,391.677446932413,622.988114279987,4.3076086361580455,3.828032186095488,4.034498337728642,0.47957645006255767,1.5213369750717283,5.55583531280037,1.0617895976964382,1.134089319228452,1.0782789159840689,119541.80136221394
2005,5.680703791761598,4.145919755343376,1.705927301012075,,,2007,5791.37954188507,,,,,,,,,,,1697.75583756895,1536.1203366553,1627.67260063453,220.180215133511,478.397713208862,698.5779283423731,4.145919755343376,3.7512058621122426,3.9747764907495227,0.3947138932311338,1.705927301012075,5.680703791761598,1.0224751944452957,0.9624643521564487,1.1213342796270653,108531.12511459365
2006,5.827195865099329,3.244126060113309,1.733516747380855,,,2008,5423.950736853,,,,,,,,,,,1328.47095008735,1127.90982196678,1676.36327506899,214.226725779069,495.649092149209,709.875817928278,3.244126060113309,2.7543557852428773,4.093679117718474,0.4897702748704318,1.733516747380855,5.827195865099329,1.0257876627100642,0.7824864569393051,1.0161726976011298,99083.15992372335
2007,5.724994955594524,3.848560471530161,1.7114659753182133,,,2009,3371.94927309999,,,,,,,,,,,1575.98708907869,1452.10851903014,1643.54176096491,205.54200194541,495.304015793416,700.846017738826,3.848560471530161,3.546049003471602,4.013528980276311,0.302511468058559,1.7114659753182133,5.724994955594524,0.9824613910582766,1.1863165611374982,0.987279746736824,100745.34501511541
2008,6.3320225664018155,4.867919815147186,1.8240583551368834,,,2010,5286.19815230363,,,,,,,,,,,1993.41515771793,1818.1763581149,1846.01319052618,215.647297152725,531.305346228472,746.952643381197,4.867919815147186,4.439986666516586,4.507964211264932,0.4279331486305997,1.8240583551368834,6.3320225664018155,1.1060311171478148,1.2648676956378275,1.0657870979864124,119955.64053103917
