,Total demand,Primary supply,Scrap demand,Primary commodity price
1989,,,,25585.85678324226
1990,,,,24600.89051775726
1991,,,,23477.093085090957
1992,,,,20601.540790736784
1993,,,,20442.879941526677
1994,,,,20172.225589899786
1995,,,,19277.5348610088
1996,,,,19382.94092656616
1997,,,,18603.73884919686
1998,,,,16832.024559917925
1999,,,,15251.139301146934
2000,,,,13765.21103798715
2001,280.695,244.295,36.400000000000006,11934.063264294251
2002,264.428,234.915,29.513000000000005,11579.16654483803
2003,275.282,257.041,18.240999999999985,11242.293496610471
2004,313.09,285.442,27.647999999999968,11310.69843317453
2005,333.6,297.812,35.78800000000001,12672.91228709422
2006,327.002,296.48,30.52199999999999,14063.300096626106
2007,335.408,342.531,16.0,14490.549856917529
2008,326.262,313.907,12.355000000000018,16598.146756209655
2009,318.163,314.539,3.6240000000000236,19142.22255708006
2010,351.848,328.035,23.812999999999988,19671.849434759097
2011,364.586,327.237,37.34899999999999,20116.870263270295
2012,357.896,314.199,43.697,20641.63628282927
2013,346.137,297.916,48.221000000000004,20271.80844768404
2014,391.783,311.277,80.50600000000003,19959.432392768147
2015,348.48,315.571,32.90899999999999,20584.301294531913
2016,362.061,315.9,46.161,20538.731052346695
2017,369.088,336.887,32.20100000000002,20410.861401562906
2018,373.035,324.733,48.30200000000002,20788.79227271229
2019,371.817,310.661,61.156000000000006,21986.64512927591
2020,367.467,278.341,89.12599999999998,23837.365946642945
2021,,,,24971.11073504433
2022,,,,27073.619422711712
