,∆Aluminum,log(Aluminum),Aluminum original,∆Steel,log(Steel),Steel original,∆Gold,log(Gold),Gold original,∆Tin,log(Tin),Tin original,∆Copper,log(Copper),Copper original,∆Nickel,log(Nickel),Nickel original,∆Silver,log(Silver),Silver original,∆Zinc,log(Zinc),Zinc original,∆Lead,log(Lead),Lead original,∆Platinum,log(Platinum),Platinum original,∆Lithium,log(Lithium),Lithium original,∆Si,log(Si),Si original,∆Cobalt,log(Cobalt),Cobalt original,∆Rees,log(Rees),Rees original,∆Tungstate,log(Tungstate),Tungstate original,∆Tantalum,log(Tantalum),Tantalum original,∆Molybdenum,log(Molybdenum),Molybdenum original
1994,3039.047528,1893.56721,2803.387739,,,,27680447.56,41736355.9,23380779.14,11446.7375,20213.34801,9420.341632,4827.170552,7853.621045,3973.841238,12561.49067,14083.62703,10932.97607,9983.204754,9083.163908,3215.577331,1853.37561,2151.58303,1722.074633,1096.738144,2686.714472,944.6705647,29230893.35,38911879.39,24653475.76,,,,5.134975097,25.15873244,9.115998557,,,,,,,,,,,,,,,
1995,2963.080266,1925.076828,2777.757654,,,,27402746.29,42265331.24,22743609.97,12341.79267,21282.18538,10410.93227,5734.878484,9284.220705,4921.779817,15360.81356,17235.24571,13809.07612,9969.36478,8187.649055,3076.811786,1855.734502,2129.916352,1730.623777,1202.269829,2830.707655,1057.371553,29475410.99,38340332.34,25113798.1,,,,4.661167622,22.7215515,8.72260528,,,,,,,,,,,,,,,
1996,2267.205391,1442.07973,2118.637812,446.0321371,876.3195982,405.8704944,27367806.95,43098730.6,22300805.5,11591.6405,18737.69948,10043.72764,4394.573126,6436.90986,3742.736315,13497.50474,13957.72421,12253.52338,9878.80766,7178.45467,2991.894723,1772.697299,1964.980833,1672.399783,1380.293868,3020.944298,1264.133267,26336515.29,31742470.24,22839941.06,,,,4.086016324,19.86196261,8.481869715,,,,,,,,,,,,,,,
1997,2501.905581,1699.685599,2330.080738,416.9232396,784.7281378,363.5468559,24062635.2,38115330.74,18619115.61,10778.04561,17172.53808,8987.81731,4377.22798,6495.416649,3623.350465,12485.94957,13714.41743,11047.23123,10596.86012,6634.558803,2756.095744,2211.693137,2521.557098,2095.694714,1128.457514,2396.915551,994.1127462,26227794.13,32881876.85,22183854.54,,,,3.643926553,18.4962625,7.813391574,,,,,,,,,,,,,,,
1998,2135.240045,1641.045271,1890.577893,389.3856263,760.3906003,313.3827579,20590999.29,28466190.33,16280061.73,11234.13926,19508.93368,8685.025285,3668.872787,5950.820481,2595.423267,9322.789685,12368.90658,7274.192291,11695.79612,8468.019513,3072.342734,1773.186297,2194.698794,1608.015632,1020.938518,2325.60095,829.6444107,26358172.42,39442989.17,20599989,,,,5.230761657,24.22618327,8.709935743,,,,,,,87.7558133,478.5639105,87.96449384,,,,,,
1999,2024.55217,1498.949847,1829.0807,296.3368911,510.123903,235.6148206,20258879.94,29117301.42,15106427.34,10327.27134,16317.33762,8290.670855,3271.379123,4715.298211,2413.752577,10845.24236,12885.39831,9208.526827,11579.07001,6772.905168,2823.805448,1781.244234,2079.009182,1649.282046,923.204889,1879.392375,770.3715216,24999481.76,33345106.42,20399013.02,,,,4.089765584,19.2302865,8.00534515,,,,,,,75.4040364,324.3088452,75.4040364,,,,,,
2000,1895.505544,1321.832857,1810.047893,278.7897373,433.2326066,252.2428172,20945270.61,32120692.98,14627677.07,8959.358967,12423.61394,8068.983031,3067.284464,3879.706,2692.341,13546.62969,13130.18645,12831.07839,11130.34387,4763.106115,2595.031986,1731.530654,1833.627438,1673.838457,740.7310436,1264.463785,673.9142311,30512876.26,33549600.69,28501609.59,,,,2.462196818,13.2374408,7.356783994,,,,,,,85.88051523,238.7673429,85.88051523,,,,,,
2001,1834.254882,1365.309342,1695.297017,283.6556373,433.960527,240.4891881,20605203.83,33602173.33,13808108.37,7925.28354,10833.27319,6477.493461,2892.8625,3706.514896,2283.188086,9797.138874,10482.03539,8633.621268,11123.7015,4371.747134,2229.00381,1375.161259,1502.239404,1281.351231,796.9988765,1367.864825,688.3518271,30250294.92,36041908.87,26979887.66,,,,1.959478569,12.23634488,6.31911269,,,,,,,130.4290345,394.4833486,130.4290345,,,,,,
2002,1896.967752,1434.330243,1755.349164,298.3247024,451.473537,254.3317151,22170065.46,36529284.72,15559541.63,7246.342965,9742.896761,5770.831042,2839.169661,3628.925401,2217.821387,10820.87995,11775.6549,9635.083665,10789.504,4470.557153,2306.801997,1202.937011,1316.855094,1107.330738,754.1274024,1276.15245,643.4000124,30369871.72,36463495.57,27036843.7,,,,2.226029661,12.55957386,6.539666601,,,,,,,86.84793758,265.0444619,86.84793758,,,,,,
2003,2046.964441,1533.013769,1949.57157,358.4895378,530.0374394,328.2350114,24531480.14,41205610.67,17836880.04,7811.640676,10353.19481,6796.91271,2899.658111,3589.809796,2472.349148,14208.88411,14382.81122,13393.39721,10192.0581,4179.082646,2390.17407,1216.05971,1297.527823,1150.310083,790.5908133,1266.35824,714.4422052,36195200.42,40669992.78,33903035.45,,,,2.095449834,11.68521563,6.776022197,,,,2344.473014,4304.301956,2348.257346,85.11416896,217.7949112,85.11416896,,,,,,
2004,2121.438778,1564.340215,2114.707106,462.8210636,639.5828674,460.7299093,25068481.34,36045253.08,19554709.2,11527.52529,14542.85403,11457.38858,3904.994612,4566.020381,3875.45956,18798.05934,16632.92176,18741.69393,10292.42196,4670.858648,3178.462223,1423.597664,1463.994249,1419.053134,1198.576378,1745.748778,1193.313083,40525944.23,40591539.77,40367512.71,,,,3.577110018,13.11803235,9.01077911,,,,2139.278279,2392.864893,2139.278279,112.4126078,221.8225024,112.4126078,,,,,,
2005,2040.528358,1492.420983,2160.450633,421.7543904,552.4078425,459.0075444,26395536.76,36986732.76,20545557.73,8426.264609,10739.2487,9675.724497,4283.467109,4603.495237,4809.623308,18357.4786,14124.15245,19361.608,9864.56185,4166.836113,3373.685252,1725.606943,1685.612384,1806.566102,1182.690286,1573.862504,1276.453969,38566505.43,34268343.75,41388905.41,,,,3.0821162,11.60161446,9.564226489,,,,1843.700084,1195.303322,1843.700084,278.4677844,405.7752501,278.4677844,,,,,,
2006,2719.224465,1973.359499,2910.014531,428.5408582,534.781428,487.8086776,29355446.02,33579326.97,27010746.8,9110.136079,11175.29787,11097.9614,7679.047789,7152.991588,8516.134778,28956.40856,20097.53591,30553.92591,9892.505683,5623.542151,5168.004763,4005.540135,3618.818079,4134.341921,1483.279592,1797.181174,1632.452707,46518716.27,38245637.37,51009006.99,,,,7.702904973,15.93990288,14.65103125,,,,2061.845641,1076.167316,2061.845641,330.128511,414.1341807,330.128511,,,,,,
