,Total demand,Primary supply,Primary demand,Scrap demand,Primary commodity price
1994,,,,,1753.5745893333333
1995,,,,,1740.10234175
1996,,,,,1720.2909275999998
1997,,,,,1641.367455
1998,,,,,1520.7186608
1999,,,,,1505.3645832
2000,,,,,1452.2935120000002
2001,36692.949911590506,24167.13587489007,23586.24209233735,13106.707819253155,1430.6872116
2002,37848.56348002964,25796.26533424498,25194.16514634754,12654.3983336821,1443.7652851999999
2003,39032.795796776976,28039.01855706616,27745.08599541587,11287.709801361107,1477.8829104000001
2004,41805.11473666539,29971.20629725781,30515.48678321252,11289.62795345287,1599.4929418
2005,44267.88934826074,32666.51154267505,32643.72246711639,11624.166881144349,1685.2147505999997
2006,47496.51043169534,33941.41113333656,34462.63778628418,13033.87264541116,1715.1061000000002
2007,50523.975766098505,38125.83681193873,37969.64353528341,12554.332230815096,1656.7063556
2008,51796.68198143054,40157.53593679744,37362.88382821971,14433.798153210832,1685.9242034
2009,47647.59534928033,37722.7149395779,34310.54817122681,13337.047178053523,1629.3060694
2010,56753.11754315567,42037.51228455382,40964.87738664562,15788.240156510052,1546.8068704
2011,62002.864398770726,46046.3899635775,44837.93951422307,17164.924884547654,1480.4907749999998
2012,66078.32214242282,47963.67485466578,47385.39363578297,18692.92850663985,1528.8413022
2013,70072.12526634848,50607.08446595448,50616.17156743783,19455.95369891065,1547.4242252
2014,73716.0334637377,54162.389639147,54441.44837180919,19274.585091928508,1542.365869
2015,76701.86560432437,57059.21997192201,56457.35520452658,20244.510399797786,1598.151969
2016,80735.38013287763,58985.57685782362,59840.90429338728,20894.475839490355,1642.3592672
2017,84891.17075830896,63536.36539574151,63286.82550153998,21604.345256768982,1604.0396952
2018,86886.09034049584,63966.90407194746,65227.74068211853,21658.34965837731,1570.1012378
2019,85768.38814512915,67223.3764402956,64388.65137940613,21379.73676572302,1631.8233759999998
2020,,,,,1688.32451
2021,,,,,1717.424005
2022,,,,,1849.0665836666667
