,,Value,Notes
0,random_state,20220208.0,random state/seed used for mine value generation
0,refining and demand,,
0,initial_demand,3.728,initial overall demand
0,"Recycling input rate, Global",0.25398318537244985,"float, fraction of demand in the initial year satisfied by recycled inputs; includes refined and direct melt"
0,"Recycling input rate, China",0.25398318537244985,"float, fraction of demand in the initial year satisfied by recycled inputs; includes refined and direct melt"
0,"Secondary refinery fraction of recycled content, Global",0.74,"float, fraction of recycled content demanded by refineries, remainder is direct melt"
0,china_fraction_demand,0.41268,"China fraction of demand, was 0.52645 for copper in 2019"
0,scrap_to_cathode_eff,0.99,Efficiency of remelting and refining scrap
0,refining only,,
0,pri CU TCRC elas,0.3446081461252,Capacity utilization at primary-only refineries
0,sec CU TCRC elas,0.2527268636712262,Capacity utilization at secondary-consuming refineries
0,pri CU price elas,0.8739485561285792,primary refinery capacity uitlization elasticity to primary commodity price
0,sec CU price elas,0.2169536799553023,secondary refinery capacity uitlization elasticity to primary commodity price
0,sec ratio TCRC elas,-0.4044758801140778,Secondary ratio elasticity to TCRC
0,sec ratio scrap spread elas,0.3285254898191072,Secondary ratio elasticity to scrap spread
0,Use regions,0.0,True makes it so global refining is determined from combo of China and RoW; False means we ignore the region level
0,refinery_capacity_growth_lag,1.0,"capacity growth lag, can be 1 or 0. 1 means that we use the year_i-1 and year_i-2 years to calculated the growth associated with mining or demand for calculating capacity growth, while 0 means we use year_i and year_i-1."
0,price,,
0,primary_commodity_price,34515012.624,primary commodity price
0,initial_scrap_spread,9532598,scrap spread at simulation start
0,price elasticities,,
0,primary_commodity_price_elas_sd,-0.1904166581611774,primary commodity price elasticity to supply-demand imbalance (here using S/D ratio)
0,tcrc_elas_sd,0.8377610236518505,TCRC elasticity to supply-demand imbalance (here using S/D ratio)
0,tcrc_elas_price,0.1269273258471638,TCRC elasticity to primary commodity price change
0,scrap_spread_elas_sd,0.8698579968576797,scrap spread elasticity to supply-demand imbalance (here using S/D ratio)
0,scrap_spread_elas_primary_commodity_price,0.0388749703522939,"scrap spread elasticity to primary commodity price, using ratio year-over-year"
0,direct_melt_elas_scrap_spread,0.7011429531832004,direct melt demand elasticity to scrap spread
0,collection_elas_scrap_price,0.7622815252886831,% increase in collection corresponding with a 1% increase in scrap price
0,determining model structure,,
0,scrap_trade_simplistic,True,"if True, sets scrap supply in each region equal to the demand scaled by the global supply/demand ratio. If False, we should set up a price-informed trade algorithm, but have not done that yet so this should stay True for now"
0,presimulate_mining,True,"True means we simulate mining production for presimulate_n_years before the simulation starts, theoretically to force alignment with simulation start time mine production"
0,presimulate_n_years,20,"int, number of years in the past to simulate mining to establish baseline"
0,collection_rate_price_response,True,whether or not there should be a price response for collection rate
0,direct_melt_price_response,True,whether there should be a price response for direct melt fraction
0,refinery_capacity_fraction_increase_mining,0.078322542120315,0 means refinery capacity growth is determined by demand growth alone; 1 means refinery capacity growth is determined by mining production growth alone. Values in between allow for a weighted mixture.
0,mining only,,
0,primary_ore_grade_mean,0.000221,Ore grade mean for lognormal distribution
0,use_ml_to_accelerate,False,
0,ml_accelerate_initialize_years,20,
0,ml_accelerate_every_n_years,5,
0,incentive_tuning_option,pid-2019,
0,internal_price_formation,False,
0,primary_production_mean,0.003537,
0,primary_production_var,1.0582665070765493,
0,primary_ore_grade_var,0.951054,
0,incentive_opening_probability,0.020446732868374,
0,incentive_require_tune_years,20,"requires incentive tuning for however many years such that supply=demand, with no requirements on incentive_opening_probability and allowing the given incentive_opening_probability to be used"
0,demand_series_method,,"This is for setting up the so-called demand series, which is what the mining module tries to tune mine production to match when historical presimulation is done. This value is normally either yoy or target, and setting it to anything else allows us to ensure the demand_series used for mine tuning is the one from our historical data file."
0,end_calibrate_years,20,
0,start_calibrate_years,5,
0,ramp_up_cu,0.4,
0,mine_cu_margin_elas,0.2976219217524871,
0,mine_cost_price_elas,0,
0,mine_cost_og_elas,-0.5198573145598814,
0,mine_cost_change_per_year,-0.5757745827992284,
0,incentive_mine_cost_change_per_year,-0.5757745827992284,
0,primary_price_resources_contained_elas,0.0686901292149556,
0,close_price_method,max,
0,close_years_back,3,
0,close_probability_split_max,0.3,
0,close_probability_split_mean,0.5,
0,close_probability_split_min,0.2,
0,primary_oge_scale,0.1284773875627293,
0,initial_ore_grade_decline,-0.4913846318888709,
0,annual_reserves_ratio_with_initial_production_const,1.1,
0,primary_overhead_const,0,
0,ramp_up_fraction,0.02,"fraction of mines in the initial mine generation step that are in any of the ramp up stages (e.g. if ramp_up_year is 3 and ramp_up_fraction is 0.1, then 10% of the mines will have ramp up flag=1, 10% ramp up flag=2, etc.). Value is currently 0.02 based on an initial guess."
0,reserves_ratio_price_lag,5,"lag on price change price(t-lag)/price(t-lag-1) used for informing incentive pool size change, paired with resources_contained_elas_primary_price (and byproduct if byproduct==True)"
0,demand only,,
0,commodity,Au,notAu
0,sector_specific_dematerialization_tech_growth,-0.0120989905135543,
0,sector_specific_price_response,-0.1802886568495168,
0,region_specific_price_response,-0.1802886568495168,
0,intensity_response_to_gdp,-0.4524818876709017,
