,Total demand,Primary supply,Scrap demand,Primary commodity price
1990,,,,6985.9221063333325
1991,,,,6844.262412
1992,,,,7046.1341386
1993,,,,7601.628659599999
1994,,,,7434.6534002
1995,,,,7297.8903176
1996,,,,7204.1977480000005
1997,,,,6576.5331812
1998,,,,5495.6302402
1999,,,,4949.551247400001
2000,,,,4376.2529978
2001,20067,13199,6952.018640945637,3904.0508608000005
2002,20292,13636,7029.967721237299,3874.1952948
2003,20703,13487,6858.991369397299,4018.9531422
2004,22137,13699,7475.783907794301,4708.2484806
2005,21872,14594,7475.9243112857,5395.7750136
2006,22009,14927,8402.411851177902,5764.0953618
2007,23753,14983,8504.871299139502,5976.9506802000005
2008,23145,15508,8230.7334818802,6423.147129800001
2009,23145,15537,7235.8694416013,6381.1478496
2010,24194.52173168564,15945,8354.091870825165,6215.9007326
2011,25089.29089953471,15990,9046.32648917236,6246.9899408
2012,25297.975557049198,15965,9043.93760227421,6199.919009
2013,26259.767623756532,16692,9252.96520586233,6138.702977
2014,27894.83192393964,18190,9652.32737306052,5999.2657444
2015,27978.19375439177,18426,9480.77543268714,6119.9409608000005
2016,28520.72179886335,19149,9415.05118190179,6218.8568602
2017,29751.1520737327,20357,9983.93473560994,6342.356839800001
2018,30709.6774193548,20038,9980.2319609178,6663.775625
2019,30046.0829493087,20539,9619.45031712473,7025.439855
2020,,,,7060.029450399999
2021,,,,7304.677544249999
2022,,,,7735.4226549999985
