,,Total demand,Scrap demand,Scrap supply,Conc. demand,Conc. supply,Mean mine grade,Mean total minesite cost,Mean total cash margin,Old mine prod.,New mine prod.,Old mine grade,New mine grade,Old mine cost,New mine cost,Old mine margin,New mine margin,Number of operating mines,Number of mines opening,Number of mines closing,Ref. demand,Ref. supply,Sec. ref. cons.,Direct melt,Spread,TCRC,Refined price,Refinery pri. CU,Refinery sec. CU,Refinery SR,Pri. ref. capacity,Sec. ref. capacity,Pri. ref. prod.,Sec. ref. prod.,Additional direct melt,Additional secondary refined,Additional scrap,SX-EW supply,Primary supply,Primary demand,Mine production,Collection rate construction,Collection rate electrical,Collection rate industrial,Collection rate other,Collection rate transport,Old scrap construction,Old scrap electrical,Old scrap industrial,Old scrap other,Old scrap transport,Old scrap collection,New scrap collection,"Construction demand, global","Electrical demand, global","Industrial demand, global","Other demand, global","Transport demand, global","Construction demand, China","Electrical demand, China","Industrial demand, China","Other demand, China","Transport demand, China"
0,1981,11110.611359257176,1e-09,,,7180.277402674835,0.8939514301157553,3976.6613398178033,2673.034883727655,8012.694889930195,0.0,0.8939514301157553,0.0,3976.6613398178033,0.0,2673.034883727655,0.0,132.0,0.0,0.0,8757.61730571654,,,2376.761670243066,,240.69957288371165,6985.922106333332,,,,,,,,0.0,0.0,0.0,832.4174872553591,,,8012.694889930194,,,,,,,,,,,,,3094.7197754777167,2723.353402420391,1200.7512728853542,2786.279371188438,1305.5075372852748,120.1608026678176,105.74150634767948,46.62239143511323,108.1847760019251,50.689834605418845
0,1982,11443.929700034889,1e-09,,,6755.312750122024,0.8674960108375559,4069.519754481672,2581.501335745354,7555.210462106716,0.0,0.8674960108375559,0.0,4069.519754481672,0.0,2581.501335745354,0.0,132.0,0.0,0.0,9020.345824888034,,,2448.0645203503577,,240.69957288371165,6985.9221063333325,,,,,,,,0.0,0.0,0.0,799.8977119846915,,,7555.210462106716,,,,,,,,,,,,,3187.5613687420478,2805.054004493002,1236.773811071915,2869.867752324091,1344.6727634038327,138.06898168479395,121.50070388261868,53.57076489370006,124.30810651020948,58.24439992373032
0,1983,11787.247591035935,1e-09,,,6251.198705215606,0.8633259136103634,4113.761277503442,2617.781486531193,7035.061898557235,0.0,0.8633259136103634,0.0,4113.761277503442,0.0,2617.781486531193,0.0,121.0,0.0,0.0,9290.956199634677,,,2521.5064559608686,,240.69957288371165,6985.922106333332,,,,,,,,0.0,0.0,0.0,783.8631933416293,,,7035.061898557236,,,,,,,,,,,,,3283.188209804309,2889.205624627792,1273.877025404072,2955.963784893813,1385.012946305948,149.95538689361652,131.96074046638253,58.18269011472323,135.0098333332194,63.258679961072126
0,1984,12140.865018767014,1e-09,,,8764.662621387512,1.529665288090977,3246.3347125154005,3493.765382640071,11019.752260825811,0.0,1.529665288090977,0.0,3246.3347125154005,0.0,3493.765382640071,0.0,127.0,0.0,0.0,9569.684885623716,,,2597.1516496396944,,240.69957288371165,6985.922106333335,,,,,,,,0.0,0.0,0.0,2255.0896394383,,,11019.752260825811,,,,,,,,,,,,,3381.6838560984384,2975.881793366625,1312.093336166194,3044.642698440627,1426.563334695126,171.09852992312076,150.5667063323463,66.38622961017087,154.04570977411643,72.1779148480685
0,1985,12505.09096933003,1e-09,,,6508.8813676929885,1.1121142769985448,3639.023229516097,3109.767885644355,7845.236377332313,0.0,1.1121142769985448,0.0,3639.023229516097,0.0,3109.767885644355,0.0,122.0,0.0,0.0,9856.775432192431,,,2675.066199128886,,240.69957288371165,6985.922106333332,,,,,,,,0.0,0.0,0.0,1336.3550096393242,,,7845.236377332312,,,,,,,,,,,,,3483.134371781393,3065.158247167626,1351.4561362511806,3135.981979393848,1469.3602347359808,240.4218613727349,211.5712380080067,93.28368221262114,216.459815855919,101.42196222008822
0,1986,12880.243698409928,1e-09,,,6384.895230049346,1.0516166721138132,3637.786559441101,3111.385560227048,7709.603281045804,0.0,1.0516166721138132,0.0,3637.786559441101,0.0,3111.385560227048,0.0,118.0,0.0,0.0,10152.478695158205,,,2755.3181851027525,211.0,240.69957288371165,6985.922106333331,,,,,,,,0.0,0.0,0.0,1324.7080509964578,,,7709.603281045804,,,,,,,,,,,,,3587.6284029348344,3157.112994582654,1391.999820338716,3230.0614387756627,1513.4410417780605,211.2400820757124,185.8912722266269,81.96115184537642,190.18648722883307,89.11162862363928
0,1987,13266.651009362224,1e-09,,,6629.91455750559,1.1235597807569149,3414.9534163248222,3342.601085242124,8385.224829788267,0.0,1.1235597807569149,0.0,3414.9534163248222,0.0,3342.601085242124,0.0,114.0,0.0,0.0,10457.053056012948,,,2837.977730655835,211.0,240.69957288371165,6985.922106333333,,,,,,,,0.0,0.0,0.0,1755.3102722826748,,,8385.224829788265,,,,,,,,,,,,,3695.2572550228792,3251.8263844201338,1433.759814948877,3326.9632819389326,1558.8442730314018,200.3878672997745,176.34132322380154,77.7504925123125,180.41587652556365,84.53362182040986
0,1988,13664.65053964309,1e-09,,,7325.053696488607,1.533540134205749,3187.434675808267,3560.427760059047,9255.931943899945,0.0,1.533540134205749,0.0,3187.434675808267,0.0,3560.427760059047,0.0,133.0,0.0,0.0,10770.764647693337,,,2923.1170625755094,211.0,240.69957288371165,6985.922106333332,,,,,,,,0.0,0.0,0.0,1930.8782474113395,,,9255.931943899946,,,,,,,,,,,,,3806.114972673565,3349.381175952738,1476.7726093973438,3426.7721803971,1605.6096012223436,191.7521433096137,168.74188611246004,74.39983160413013,172.64084635975553,80.89064165516054
0,1989,14074.590055832386,1e-09,,,6350.585158321998,1.1648151215415845,3411.545259877229,3342.706679370005,7874.262632475307,0.0,1.1648151215415845,0.0,3411.545259877229,0.0,3342.706679370005,0.0,131.0,0.0,0.0,11093.887587124138,,,3010.810574452776,211.0,240.69957288371165,6985.9221063333325,,,,,,,,0.0,0.0,0.0,1523.677474153309,,,7874.262632475307,,,,,,,,,,,,,3920.298421853773,3449.8626112313204,1521.0757876792638,3529.575345809013,1653.7778892590138,213.5821361708259,187.9522798303268,82.86986883428045,192.2951165991336,90.09962414366292
0,1990,14496.827757507352,1e-09,,,6334.546284769376,1.108328139563804,3444.851610289626,3308.8563582529955,7852.976527406528,0.0,1.108328139563804,0.0,3444.851610289626,0.0,3308.8563582529955,0.0,129.0,0.0,0.0,11426.70421473786,,,3101.1348916863576,211.0,240.69957288371165,6985.922106333333,,,,,,,,0.0,0.0,0.0,1518.4302426371505,,,7852.976527406527,,,,,,,,,,,,,4037.9073745093856,3553.35848956826,1566.708061309642,3635.462606183284,1703.3912259367842,233.76092462128668,205.70961366673225,90.69923875305923,210.4627524673651,98.61204605148978
0,1991,14931.73259023258,1e-09,,,9409.90384463262,1.3250267024588804,2865.0363750056054,3673.526036918889,11175.152215648088,0.0,1.3250267024588804,0.0,2865.0363750056054,0.0,3673.526036918889,0.0,132.0,0.0,0.0,11769.50534118,,,3194.1689384369497,211.0,240.69957288371165,6844.262411999999,,,,,,,,0.0,0.0,0.0,1765.2483710154695,,,11175.15221564809,,,,,,,,,,,,,4159.044595744668,3659.959244255309,1613.7093031489314,3744.5264843687823,1754.4929627148883,247.85304775226092,218.11068202198965,96.16698252787724,223.1503606596189,104.5568081942913
0,1992,15379.684567939556,1e-09,,,7634.267358221115,1.1393337717595662,3009.8774920403835,3840.854323531744,9909.12077067714,0.0,1.1393337717595662,0.0,3009.8774920403835,0.0,3840.854323531744,0.0,133.0,0.0,0.0,12122.590501415398,,,3289.994006590058,211.0,240.69957288371165,7046.134138600002,,,,,,,,0.0,0.0,0.0,2274.853412456024,,,9909.120770677138,,,,,,,,,,,,,4283.815933617008,3769.758021582968,1662.120582243399,3856.8622788998464,1807.127751596335,316.0804182823155,278.15076808843764,122.6392022935384,284.5777365935114,133.3385244523948
