,Total demand,Primary supply,Scrap demand,Mine production - INSG,Mine production - USGS,Primary commodity price
1993,,,,,,13998.074393333334
1994,,,,,,13987.9868475
1995,,,,,,13933.272964
1996,,,,,,14271.984192
1997,,,,,,14032.338448
1998,,,,,,13211.326595999999
1999,,,,,,12516.188832
2000,,,,,,12128.436326
2001,1646.5508055892237,1280.591,506.7759463021736,,1350,12531.217254
2002,1828.5151622065189,1291.55,623.0742616436688,,1350,13280.721944
2003,1852.2122080473666,1320.856,599.8669922875167,,1330,13479.515143999999
2004,1918.172084106404,1389.83,637.6842792283543,,1370,15402.615247999998
2005,1807.1371119820149,1432.046,526.649307103975,1381.355932,1460,18960.142428
2006,2007.3552125204042,1562.209,572.0831674922642,,1570,18700.445354
2007,1863.4250041489902,1584.009,512.5807264754499,,1740,17982.997381999998
2008,1854.4805365204747,1551.053,536.4692794848347,,1630,18295.772883999998
2009,1773.6215012491273,1351.752,502.5145594104772,,1410,17174.3337
2010,2070.5609888925214,1605.13,574.3133341082815,1573.446328,1690,13540.430182
2011,2253.204354658402,2129.273,611.5533227634719,2197.740113,2340,12856.3400538
2012,2317.946344489099,2709.476,615.3197028380689,2355.932203,2420,12508.7694978
2013,2457.656878677687,3090.292,637.7694490341669,2511.299435,2610,11988.1578138
2014,2551.1525244544005,2074.365,646.8373274562801,2158.19209,2130,11474.4434458
2015,2543.425789767249,2163.688,629.729729729729,2149.717514,2110,11469.624055799999
2016,2727.9397596470685,1993.057,659.459459459459,1997.175141,2010,11911.83755
2017,2940.195730439632,2136.822,721.621621621622,2127.118644,2200,12431.742966
2018,3118.031539982754,2383.865,754.054054054054,2316.384181,2400,13584.777487999998
2019,3226.8622280817385,2673.57,787.837837837838,2511.299435,2610,14339.024323999998
2020,3190.6115308554304,2510.131,779.72972972973,2387.00565,,15288.435080000001
2021,,,,,,16141.80818
2022,,,,,,16886.625506666667
