,,Total demand,Scrap demand,Scrap supply,Conc. demand,Conc. supply,Mean mine grade,Mean total minesite cost,Mean total cash margin,Old mine prod.,New mine prod.,Old mine grade,New mine grade,Old mine cost,New mine cost,Old mine margin,New mine margin,Number of operating mines,Number of mines opening,Number of mines closing,Ref. demand,Ref. supply,Sec. ref. cons.,Direct melt,Spread,TCRC,Refined price,Refinery pri. CU,Refinery sec. CU,Refinery SR,Pri. ref. capacity,Sec. ref. capacity,Pri. ref. prod.,Sec. ref. prod.,Additional direct melt,Additional secondary refined,Additional scrap,SX-EW supply,Primary supply,Primary demand,Mine production,Collection rate construction,Collection rate electrical,Collection rate industrial,Collection rate other,Collection rate transport,Old scrap construction,Old scrap electrical,Old scrap industrial,Old scrap other,Old scrap transport,Old scrap collection,New scrap collection,"Construction demand, global","Electrical demand, global","Industrial demand, global","Other demand, global","Transport demand, global","Construction demand, China","Electrical demand, China","Industrial demand, China","Other demand, China","Transport demand, China"
0,1981.0,1525.948025728852,1e-09,,,1886.229924562539,2.887670356478966,1433.209438213345,956.8334786547572,1886.2299245625384,0.0,2.887670356478966,0.0,1433.209438213345,0.0,956.8334786547572,0.0,162.0,0.0,0.0,1525.948025728852,,,0.0,,140.76843308768954,2530.9225139999994,,,,,,,,0.0,0.0,0.0,0.0,,,1886.229924562539,,,,,,,,,,,,,185.9919426638747,0.0031618630252858,217.61085748440567,113.4905986578348,1008.8514650597114,5.729770200755092,9.740609341283656e-05,6.703839901431865,3.496253874990149,31.07923374903271
0,1982.0,1640.3941276585156,1e-09,,,1827.3685239429485,2.8088451204774723,1448.7981195292289,941.1988796140356,1827.3685239429487,0.0,2.8088451204774723,0.0,1448.7981195292289,0.0,941.1988796140356,0.0,162.0,0.0,0.0,1640.3941276585156,,,0.0,,140.76843308768954,2530.9225139999994,,,,,,,,0.0,0.0,0.0,0.0,,,1827.3685239429485,,,,,,,,,,,,,199.9413383636653,0.0033990027521823,233.9316717957361,122.00239355717238,1084.5153249391897,6.87134485172275,0.0001168128624792,8.039483989673242,4.192832386377957,37.27132595802194
0,1983.0,1763.423687232905,1e-09,,,1827.9993313822567,2.8122247888490004,1459.4783733822333,930.5557068280996,1827.9993313822567,0.0,2.8122247888490004,0.0,1459.4783733822333,0.0,930.5557068280996,0.0,155.0,0.0,0.0,1763.423687232905,,,0.0,,140.76843308768954,2530.922514000001,,,,,,,,0.0,0.0,0.0,0.0,,,1827.9993313822567,,,,,,,,,,,,,214.93693874094023,0.0036539279585959,251.47654718041636,131.15257307396035,1165.8539743096294,7.788950331605187,0.0001324121556372,9.113083805072073,4.752746938331258,42.248571850867926
0,1984.0,1895.680463775372,1e-09,,,1868.010327561677,2.8012945765818054,1453.4755013791391,936.4283709774456,1868.0103275616768,0.0,2.8012945765818054,0.0,1453.4755013791391,0.0,936.4283709774456,0.0,159.0,0.0,0.0,1895.680463775372,,,0.0,,140.76843308768954,2530.922513999999,,,,,,,,0.0,0.0,0.0,0.0,,,1868.010327561677,,,,,,,,,,,,,231.0572091465107,0.0039279725554906,270.33728821894744,140.98901605450737,1253.293022382851,9.275437009548812,0.0001576824291623,10.852275492590731,5.659787644291288,50.3115246936442
0,1985.0,2037.856498558525,1e-09,,,2164.8250211621757,2.981320374938888,1342.3041453219444,1047.501549168396,2164.825021162176,0.0,2.981320374938888,0.0,1342.3041453219444,0.0,1047.501549168396,0.0,168.0,0.0,0.0,2037.856498558525,,,0.0,,140.76843308768954,2530.922514,,,,,,,,0.0,0.0,0.0,0.0,,,2164.8250211621757,,,,,,,,,,,,,248.38649983249897,0.0042225704971524,290.6125848353685,151.5631922585954,1347.289999061565,13.602956117812166,0.0002312502540028,15.915479470363094,8.300400604539808,73.78471353137418
0,1986.0,2190.695735950414,1e-09,,,2000.635561970657,2.8444159097106145,1407.816873133415,981.8147503640216,2000.635561970656,0.0,2.8444159097106145,0.0,1407.816873133415,0.0,981.8147503640216,0.0,167.0,0.0,0.0,2190.695735950414,,,0.0,308.644,140.76843308768954,2530.922514,,,,,,,,0.0,0.0,0.0,0.0,,,2000.635561970657,,,,,,,,,,,,,267.0154873199364,0.0045392632844389,312.4085286980212,162.93043167799004,1448.3367489911818,12.474033584100356,0.0002120585709297,14.5946383786688,7.611542300495876,67.6612485265899
0,1987.0,2354.9979161466954,1e-09,,,1990.1816769247005,2.8744979170893536,1392.205269510395,997.4737399660872,1990.1816769247007,0.0,2.8744979170893536,0.0,1392.205269510395,0.0,997.4737399660872,0.0,167.0,0.0,0.0,2354.9979161466954,,,0.0,308.644,140.76843308768954,2530.922514,,,,,,,,0.0,0.0,0.0,0.0,,,1990.1816769247005,,,,,,,,,,,,,287.04164886893165,0.0048797080307718,335.8391683503728,175.15021405383928,1556.9620051655208,12.350178770915305,0.0002099530391055,14.449728057744425,7.53596721539432,66.9894392646035
0,1988.0,2531.622759857697,1e-09,,,1998.1402318271892,2.9510678203735643,1367.0500310918665,1022.635922599428,1998.1402318271887,0.0,2.9510678203735643,0.0,1367.0500310918665,0.0,1022.635922599428,0.0,170.0,0.0,0.0,2531.622759857697,,,0.0,308.644,140.76843308768954,2530.9225139999994,,,,,,,,0.0,0.0,0.0,0.0,,,1998.1402318271892,,,,,,,,,,,,,308.5697725341015,0.0052456861330797,361.0271059766508,188.2864801078772,1673.734155552935,12.334265356087732,0.0002096825110534,14.431109338048644,7.526256993813728,66.90312223584968
0,1989.0,2721.494466847025,1e-09,,,2094.776467357782,3.149234801253725,1335.8835726402508,1053.9980047794895,2094.776467357782,0.0,3.149234801253725,0.0,1335.8835726402508,0.0,1053.9980047794895,0.0,180.0,0.0,0.0,2721.494466847025,,,0.0,308.644,140.76843308768954,2530.922514000001,,,,,,,,0.0,0.0,0.0,0.0,,,2094.776467357782,,,,,,,,,,,,,331.7125054741591,0.0056391125930607,388.1041389248995,202.407966115968,1799.2642172194048,14.338681760298522,0.000243757589925,16.776279597732366,8.749333727221336,77.775412707229
0,1990.0,2925.606551860551,1e-09,,,2552.9872849211656,3.038330600949212,1228.992933991196,1162.33407571512,2552.987284921166,0.0,3.038330600949212,0.0,1228.992933991196,0.0,1162.33407571512,0.0,193.0,0.0,0.0,2925.606551860551,,,0.0,308.644,140.76843308768954,2530.922513999999,,,,,,,,0.0,0.0,0.0,0.0,,,2552.9872849211656,,,,,,,,,,,,,356.590943384721,0.0060620460375402,417.2119493442669,217.5885635746656,1934.20903351086,16.379002756975222,0.0002784430468685,19.163458285535228,9.994319117719996,88.84245570494255
