,Total demand,Primary supply,Scrap demand,Primary commodity price
1989,,,,25585.856783333333
1990,,,,24600.8905175
1991,,,,23477.093084
1992,,,,20601.54079
1993,,,,20442.879940000003
1994,,,,20172.225588
1995,,,,19277.53486
1996,,,,19382.940926000003
1997,,,,18603.738848
1998,,,,16832.024559999998
1999,,,,15251.139302
2000,,,,13765.2110382
2001,280.695,244.295,36.400000000000006,11934.0632642
2002,264.428,234.915,29.513000000000005,11579.1665462
2003,275.282,257.041,18.240999999999985,11242.2934982
2004,313.09,285.442,27.647999999999968,11310.698434200001
2005,333.6,297.812,35.78800000000001,12672.912288
2006,327.002,296.48,30.52199999999999,14063.300098000002
2007,335.408,342.531,16.0,14490.549857999998
2008,326.262,313.907,12.355000000000018,16598.146756
2009,318.163,314.539,3.6240000000000236,19142.222556
2010,351.848,328.035,23.812999999999988,19671.849433999996
2011,364.586,327.237,37.34899999999999,20116.870262
2012,357.896,314.199,43.697,20641.636282
2013,346.137,297.916,48.221000000000004,20271.808448000003
2014,391.783,311.277,80.50600000000003,19959.432394000003
2015,348.48,315.571,32.90899999999999,20584.301296
2016,362.061,315.9,46.161,20538.731053999996
2017,369.088,336.887,32.20100000000002,20410.861402000002
2018,373.035,324.733,48.30200000000002,20788.792272
2019,371.817,310.661,61.156000000000006,21986.645128000004
2020,367.467,278.341,89.12599999999998,23837.365943999997
2021,,,,24971.110732499998
2022,,,,27073.61942
