,Total demand,Primary supply,Scrap demand,Total production,"Primary commodity price, not adjusted for oil",Primary commodity price
1996,,,,,,807.1461120999999
1997,,,,,,732.890559825
1998,,,,,,672.9589691799999
1999,,,,,,584.4871549400001
2000,,,,,,517.83623478
2001,857999.999999991,502359.712230216,349640.287769784,852000,447.613749,471.7656026000001
2002,906000,537230.2158273379,367769.784172662,905000,424.685877,497.65739548
2003,972000,561791.366906475,409208.633093525,971000,470.541621,521.49244266
2004,1058000,617532.37410072,445467.62589928,1063000,767.029603,541.65662286
2005,1132000,668863.3093525181,479136.690647482,1148000,674.225858,573.9914741800001
2006,1230000,747553.956834533,502446.043165467,1250000,671.664036,610.7449303400001
2007,1316000,801525.179856116,546474.820143884,1348000,688.865884,587.38867902
2008,1318000,793935.251798561,549064.748201439,1343000,980.359214,598.23585412
2009,1226000,710654.676258993,528345.323741007,1239000,589.882049,625.38809748
2010,1398000,870985.611510792,562014.388489208,1433000,717.755862,616.70614968
2011,1484000,934546.762589928,603453.237410072,1538000,818.573082,578.04064408
2012,1514300,948776.978417267,611223.021582733,1560000,697.021439,580.38606758
2013,1544600,1049136.690647484,600863.309352516,1650000,655.789114,556.45886076
2014,1551500,1062366.906474821,608633.093525179,1671000,625.94569,532.58346182
2015,1505800,1043446.043165468,577553.956834532,1621000,455.83718,536.4455988
2016,1520000,1048856.115107914,580143.884892086,1629000,466.806218,566.61699122
2017,1633400,1092287.769784173,639712.230215827,1732000,597.591327,561.47828866
2018,1708400,1140618.705035972,673381.294964028,1814000,678.448447,581.4895134000001
2019,1767500,1159359.712230216,709640.287769784,1869000,670,703.63637378
2020,,,,,,744.32095656
2021,,,,,,762.567657125
2022,,,,,,847.1451376666665
