,,Total demand,Scrap demand,Scrap supply,Conc. demand,Conc. supply,Mean mine grade,Mean total minesite cost,Mean total cash margin,Old mine prod.,New mine prod.,Old mine grade,New mine grade,Old mine cost,New mine cost,Old mine margin,New mine margin,Number of operating mines,Number of mines opening,Number of mines closing,Ref. demand,Ref. supply,Sec. ref. cons.,Direct melt,Spread,TCRC,Refined price,Refinery pri. CU,Refinery sec. CU,Refinery SR,Pri. ref. capacity,Sec. ref. capacity,Pri. ref. prod.,Sec. ref. prod.,Additional direct melt,Additional secondary refined,Additional scrap,SX-EW supply,Primary supply,Primary demand,Mine production,Collection rate construction,Collection rate electrical,Collection rate industrial,Collection rate other,Collection rate transport,Old scrap construction,Old scrap electrical,Old scrap industrial,Old scrap other,Old scrap transport,Old scrap collection,New scrap collection,"Construction demand, global","Electrical demand, global","Industrial demand, global","Other demand, global","Transport demand, global","Construction demand, China","Electrical demand, China","Industrial demand, China","Other demand, China","Transport demand, China"
0,1981,5679.291673651906,1e-09,,,5185.072346710011,4.912534698598772,1567.4591372637806,1357.3044878008147,5220.876462706015,0.0,4.912534698598772,0.0,1567.4591372637806,0.0,1357.3044878008147,0.0,137.0,0.0,0.0,5679.291673651906,,,0.0,,166.1444931416388,3091.1503403333336,,,,,,,,0.0,0.0,0.0,35.80411599600617,,,5220.876462706016,,,,,,,,,,,,,1802.695244615663,1172.844451572675,500.25339309370895,849.1317351406095,1354.3668492292495,65.12165879743006,42.36854589032798,18.071457654646835,30.674550950893472,48.9259713229352
0,1982,5838.311840514159,1e-09,,,5048.992868319439,4.943934359030132,1575.76288021659,1349.1643029615989,5085.370226369505,0.0,4.943934359030132,0.0,1575.76288021659,0.0,1349.1643029615989,0.0,137.0,0.0,0.0,5838.311840514159,,,0.0,,166.1444931416388,3091.1503403333336,,,,,,,,0.0,0.0,0.0,36.3773580500654,,,5085.370226369504,,,,,,,,,,,,,1853.1707114649007,1205.6840962167098,514.2604881003329,872.9074237245464,1392.2891210076682,74.68177740382333,48.5884169957602,20.724419537977347,35.177697073147456,56.10849857143818
0,1983,6001.784572048555,1e-09,,,5093.559581501353,4.997296573271302,1573.1881379765578,1352.878456615782,5130.400073683361,0.0,4.997296573271302,0.0,1573.1881379765578,0.0,1352.878456615782,0.0,138.0,0.0,0.0,6001.784572048555,,,0.0,,166.1444931416388,3091.1503403333336,,,,,,,,0.0,0.0,0.0,36.84049218200922,,,5130.400073683362,,,,,,,,,,,,,1905.0594913859184,1239.4432509107778,528.659781767142,897.3488315888335,1431.2732163958826,80.95365942146789,52.66894144784592,22.4648858035768,38.13197016847321,60.82057018329063
0,1984,6169.834540065914,1e-09,,,5145.267180204768,5.201772904961911,1561.135994727941,1365.5966500448123,5182.461039751691,0.0,5.201772904961911,0.0,1561.135994727941,0.0,1365.5966500448123,0.0,142.0,0.0,0.0,6169.834540065914,,,0.0,,166.1444931416388,3091.150340333334,,,,,,,,0.0,0.0,0.0,37.19385954692308,,,5182.461039751691,,,,,,,,,,,,,1958.401157144724,1274.1476619362795,543.462255656622,922.4745988733208,1471.3488664549675,92.18846457236404,59.978373768747154,25.58257827781458,43.423951505995966,69.26129120886137
0,1985,6342.589907187758,1e-09,,,5040.637628082159,5.180451008405512,1571.5996241738785,1354.8644765437357,5078.076471348339,0.0,5.180451008405512,0.0,1571.5996241738785,0.0,1354.8644765437357,0.0,145.0,0.0,0.0,6342.589907187758,,,0.0,,166.1444931416388,3091.1503403333336,,,,,,,,0.0,0.0,0.0,37.438843266180655,,,5078.07647134834,,,,,,,,,,,,,2013.236389544776,1309.8237964704954,558.6791988150072,948.3038876417736,1512.5466347157062,129.28857500377168,84.1159304645751,35.87797134710726,60.89938515936751,97.1346435245799
0,1986,6520.182424589017,1e-09,,,4755.061969067535,5.29144443811497,1565.9153446291054,1360.9177770563783,4792.639748361496,0.0,5.29144443811497,0.0,1565.9153446291054,0.0,1360.9177770563783,0.0,144.0,0.0,0.0,6520.182424589017,,,0.0,595.242,166.1444931416388,3091.1503403333336,,,,,,,,0.0,0.0,0.0,37.57777929396183,,,4792.6397483614965,,,,,,,,,,,,,2069.60700845203,1346.498862771669,574.3222163818276,974.8563964957436,1554.8979404877464,113.37529003867708,73.76265082213322,31.46198654721785,53.403678209145504,85.17897565257783
0,1987,6702.747532477511,1e-09,,,4824.554316042233,5.283641419610464,1543.1792772583938,1383.9001033126187,4862.168174049725,0.0,5.283641419610464,0.0,1543.1792772583938,0.0,1383.9001033126187,0.0,147.0,0.0,0.0,6702.747532477511,,,0.0,595.242,166.1444931416388,3091.150340333334,,,,,,,,0.0,0.0,0.0,37.61385800749072,,,4862.168174049723,,,,,,,,,,,,,2127.556004688688,1384.2008309292762,590.4032384405189,1002.1523755976244,1598.4350828214035,107.3419292691662,69.83730973966661,29.78771065076716,50.56175686151567,80.64610530742532
0,1988,6890.42446338688,1e-09,,,5371.272214696006,5.596288261516812,1444.6448171750926,1481.8836568638872,5408.823234366048,0.0,5.596288261516812,0.0,1444.6448171750926,0.0,1481.8836568638872,0.0,157.0,0.0,0.0,6890.42446338688,,,0.0,595.242,166.1444931416388,3091.150340333333,,,,,,,,0.0,0.0,0.0,37.55101967004271,,,5408.823234366048,,,,,,,,,,,,,2187.1275728199703,1422.958454195296,606.9345291168532,1030.212642114358,1643.1912651404027,102.51657549676578,66.69790533077459,28.44866035664189,48.28884854067565,77.0208119004214
0,1989,7083.356348361714,1e-09,,,5492.305452695017,5.459577416492796,1413.5794155198532,1513.7274636452994,5529.699299399536,0.0,5.459577416492796,0.0,1413.5794155198532,0.0,1513.7274636452994,0.0,167.0,0.0,0.0,7083.356348361714,,,0.0,595.242,166.1444931416388,3091.1503403333336,,,,,,,,0.0,0.0,0.0,37.393846704519305,,,5529.699299399536,,,,,,,,,,,,,2248.36714485893,1462.8012909127642,623.9286959321253,1059.0585960935598,1689.2006205643338,113.96583563638012,74.14686336706308,31.62586474011257,53.68184558632976,85.62265318646838
0,1990,7281.69032611584,1e-09,,,5305.588006692882,5.322145390983215,1442.2152512683674,1357.3991079187754,5342.735462131061,0.0,5.322145390983215,0.0,1442.2152512683674,0.0,1357.3991079187754,0.0,175.0,0.0,0.0,7281.69032611584,,,0.0,595.242,166.1444931416388,2966.7000760000005,,,,,,,,0.0,0.0,0.0,37.147455438180906,,,5342.735462131063,,,,,,,,,,,,,2311.32142491498,1503.7597270583217,641.3986994182246,1088.7122367841796,1736.4982379401354,124.49088655515996,80.99452528300861,34.546598264167656,58.63950816174314,93.53013510468044
