,,collection_elas_scrap_price,direct_melt_elas_scrap_spread,incentive_mine_cost_change_per_year,incentive_opening_probability,initial_ore_grade_decline,intensity_response_to_gdp,mine_cost_change_per_year,mine_cost_og_elas,mine_cu_margin_elas,pri CU TCRC elas,pri CU price elas,primary_commodity_price_elas_sd,primary_oge_scale,primary_price_resources_contained_elas,refinery_capacity_fraction_increase_mining,scrap_spread_elas_primary_commodity_price,scrap_spread_elas_sd,sec CU TCRC elas,sec CU price elas,sec ratio TCRC elas,sec ratio scrap spread elas,sector_specific_dematerialization_tech_growth,sector_specific_price_response,tcrc_elas_price,tcrc_elas_sd,historical_growth_rate,china_fraction_demand,"Recycling input rate, Global","Secondary refinery fraction of recycled content, Global",primary_production_mean,primary_ore_grade_mean,primary_commodity_price,sector_dist_construction,sector_dist_electrical,sector_dist_industrial,sector_dist_other,sector_dist_transport,sector_dist_bar and coin,sector_dist_jewelry,Mine production
Au,796,0.0005573103185164668,-0.0010573171287996989,-0.020538721255871136,0.011481142840317286,9.334108090117382e-05,0.07210396541305227,-0.036792156763825815,0.0005964078388590908,-2.078186056533565e-05,0.0002620968508412852,0.0015125228400287114,-0.014205188159720467,-0.007824462974313225,0.0012876973175377402,0.0015889829539071918,-0.0016714859164480903,0.0036582961095294143,0.0009185366014181983,0.002536973871950477,-0.0009945992198873565,-0.0018525801105629097,-0.055927373880237614,0.018555887435921528,0.0015580378144910403,-0.013543942818195074,-0.10082563032235521,-0.018676094789638643,-0.01483429298086212,-0.01431698138875839,-0.30283260836810294,-0.14800669374527928,-0.13631223753724597,-0.15053754263162133,-0.009910247983492462,-0.011014249654700834,-0.011904197931538794,-0.08365011530583055,-0.27760891115852243,-0.14051780255700577,0.0
Steel,880,-0.00811570913319674,-0.000993201045510848,-0.0747841684705416,0.006664010862517633,-0.004252884960984114,0.005965616379977606,-0.03851966796253844,-0.006631335395158955,0.003789433786236997,-0.0020833179623323266,0.0025822427287944863,-0.028761149440733713,-0.02968584852665212,0.0006243630709532381,-0.005764177342740298,0.0016095688842841889,-0.0032125641350971516,-0.0004551600763273955,0.0029086352959239595,0.005573872318685835,0.00864449736583304,0.06174791392882085,-0.01621435053895229,-0.00698720932471157,0.015603144733995902,0.060224627994410654,0.019585429239164148,0.0019383501250921748,0.010137344945661831,0.49703939185962936,0.31327071016473795,0.1001683178781421,0.1798036103725973,0.0063336253663017015,0.0385193010209698,0.015155136929146051,0.043642001402063854,0.11400602788006413,0.05499764052841561,0.0
Pb,253,-0.003690986594341196,-0.002361631620229149,-0.039352436888493915,0.016857499796354286,-0.002419782618862547,0.08943020935911367,-0.03851877058782696,-0.0009059487417661619,0.0027874037075350296,-0.008803596726898953,0.0006543223405206629,0.012433409804068195,0.01854858668913233,-0.012366230106433436,-0.015675500147635697,-0.0006572369546635955,-0.008653362672408774,0.00686504315651705,0.015316184136952377,0.014398322083686924,0.02794708513305376,-0.04572019408057429,0.014173293943526667,0.0038099282508128936,-0.07684555228625943,0.01445560945033391,-0.010876176238687455,0.0019009493716416672,-0.0359842115125156,-0.1716697307104075,-0.05887754932755204,0.03895672003184462,-0.06881825525336767,0.008357861287447471,-0.007710845046582663,0.001589712049901975,0.02849197872219552,0.09205086345399206,0.04690205874756402,0.0
Sn,157,0.0003507132402400727,-0.001766253137642723,-0.15285499756166673,0.02869146317569902,-0.007240293857583751,0.11804079386456783,-0.007038769544228646,0.0019628240827749815,0.002918283526998296,0.004883193769824528,-0.0052903130813973355,0.009120600085018577,0.01176334886146337,-0.00035901386180937027,-0.006493150715932519,0.0006173779379800566,0.0019825051113424243,0.0014822918270278192,0.002915967613391907,0.005471233732434988,0.006465627014198435,0.17851474713363907,-0.0031678097744844555,0.0037553489769753287,-0.020272485287920212,-0.07198681596536477,-0.015323160691446312,-0.009395813903247592,-0.033525729499821785,-0.195905119003233,-0.05507746402934471,0.00026405995365714037,-0.07486987151456807,-0.027120255419047622,0.0031314284070727933,-0.007688209110209089,-0.035653786957549165,0.11676630305619347,0.06329207554775373,0.0
Al,1224,0.0027294195201678366,0.0005692150763797442,0.05145304001753109,0.00866099402621511,-0.0022902631891456226,0.01161736896577056,0.03461225290420383,0.0007709891955465451,0.00047312600309524567,-0.0004488505059062767,0.0021743102274339003,5.658809993174762e-05,-0.020925771461788017,0.002011587526614866,0.004047687212750371,0.0014207404999085258,0.0018582597231569617,-0.007869747632427808,-0.00709443456448239,-0.010851882472752874,0.006076479056796298,0.0878281868901393,0.0020386563604500186,-0.00450658870222126,0.0006744520157181372,0.06511793315279737,-0.023679205256918162,0.0035092747718283774,0.019420571562105006,0.35325843277866287,0.15094094373613268,0.05453838896170921,0.06633765351570203,-0.00439513856191585,-0.020719208772054874,-0.004681514057812587,0.0413126095031272,0.10389286685143394,0.05073284811575078,0.0
Steel,274,0.0014616174206077874,-0.0010718384407774886,0.10425523040789088,0.01728402591331223,0.0021373095597648885,-0.015531278805173555,0.02058929391679464,-0.0011968156542065938,-0.001953109145165551,-0.003681183578030153,0.0012545679373354849,0.006175789613095048,-0.030835562959725532,0.0013538581778478568,-0.003507877494336851,0.0015564521063237166,-0.0018252151097445039,0.009991609691395637,-0.004204707015919816,-0.00383835233907407,0.0022690679470522717,0.08468604530221542,-0.005513654579715773,-4.836700342173907e-05,-0.02097432579382547,0.06270988145389407,0.0237877316993378,0.0025811928900837614,0.011026334106132869,0.5175402455245778,0.3259114022317084,0.10357781311468874,0.19412990829992083,0.004636803528719266,0.041656112070341846,0.014776420284724348,0.04485213436455874,0.11403397920551811,0.05516959534530482,0.0
Au,935,-0.0011550232113029634,-0.003359707098708489,-0.07593377066943707,-0.005239213512498952,0.0034536324807162887,0.10567506048810191,-0.009256439211776202,-0.0006049305518855515,-0.0016620021397297895,-0.001641588300586502,-0.006034630240064942,0.0047725640711819,0.00832801078437435,-0.0016266047458004705,-0.004974597738258673,-0.006819804836474015,0.0022011473354248646,-0.008120605464564012,-0.002864866918876677,0.003141467931068814,0.008315850845214056,-0.03154067988845941,0.001986521026171781,-0.00046574259490236543,0.008790825318887271,-0.10321140850808516,-0.017431200543367543,-0.013743481646515184,-0.01282881974194767,-0.3044915864725207,-0.14853551486021,-0.1381649989508627,-0.14651098013980965,-0.008481537060664289,-0.010088922010220214,-0.011463666108196732,-0.08449534932500437,-0.2842447069837118,-0.14178589007853565,0.0
Ni,1018,-0.0014086110364571545,-0.0013784636420415435,0.03878515152155069,0.013309128455716135,-0.0024231382567589726,0.09970981530360497,0.031945199072579616,-0.0008558546390368179,-0.0006271193647632548,-0.0028268881047003942,0.0012710617717834926,0.004305316306396009,-0.0030543388548691193,-0.0015339497694040675,0.00816297378585047,-0.0009819242529717053,-0.0053442061373134364,-0.0008368397637444693,0.0030072673416218112,0.0011659469455647573,-0.006902116350927525,0.0540163739773413,0.005937430046208302,-0.003281997391432377,-0.004956451069781936,0.04629600574210322,0.011962011977190956,-0.02271871903635556,-0.04596973147031245,0.00047282981662606394,-0.05826504765778265,0.03375098091057006,-0.08963113954359223,-0.00740837332294219,0.011572833187644866,-0.004760567878322599,0.03127937739785853,0.09415400878968998,0.046482716828099076,0.0
Au,968,-0.018269027414678948,-0.0014508945708868644,0.015182389096955283,0.005915201832273356,-0.0015139293678647042,-0.03787297784695093,0.06120862471832451,-0.0003280366009943528,-0.000657418136460512,-0.0006146386936409973,0.0021521549138802196,0.0010854960990654993,0.005612620774004043,0.00011362208682616224,-0.005405217410724702,0.0010110250877278912,-0.0017261523814721407,0.0016169174417213564,0.0026344392067922284,0.0029903846595116844,0.006098168072250766,0.004429851495984058,0.011036820725482871,-9.62419352299171e-05,-0.011581363552075874,-0.10497985785693954,-0.019288178293911964,-0.015862948226312876,-0.013785875468596871,-0.3082461662825206,-0.14522594753613255,-0.139273675407605,-0.15401473359742335,-0.009575228581142571,-0.011364420383627056,-0.012318605357740871,-0.0854854357527541,-0.2752083284153608,-0.14001130503362488,0.0
Cu,332,-0.0014945197410867945,-0.0011404847919741065,0.07961433908559006,0.007081540300436897,-0.00559576880984596,0.094599340669533,0.05442373950204063,0.003001184822600937,-0.006319326189724402,0.0009020714487278959,-0.004617642906435486,0.006797605719134325,-0.024213850321967902,0.0004384241781793738,0.0027614202973970632,0.0018995572269838836,-0.0020951725711582285,0.0010555162655425112,0.0027177340879901094,-0.0042145107231812765,0.014477175654361402,-0.0851338419875156,0.0015964449589646035,0.0026030783289380834,0.0021390917804731658,0.040612513832433826,0.012452206043210564,0.014435206543467303,0.06336705522543543,0.048694791475658465,-0.046025083902268685,0.04127291837266269,0.11086152976357307,0.0035358371933413516,-0.01340670684271512,-0.0039345589180494744,0.03246143604625518,0.09204989925235424,0.04543054754071005,0.0
