,,collection_elas_scrap_price,direct_melt_elas_scrap_spread,incentive_mine_cost_change_per_year,incentive_opening_probability,initial_ore_grade_decline,intensity_response_to_gdp,mine_cost_change_per_year,mine_cost_og_elas,mine_cu_margin_elas,pri CU TCRC elas,pri CU price elas,primary_commodity_price_elas_sd,primary_oge_scale,primary_price_resources_contained_elas,refinery_capacity_fraction_increase_mining,scrap_spread_elas_primary_commodity_price,scrap_spread_elas_sd,sec CU TCRC elas,sec CU price elas,sec ratio TCRC elas,sec ratio scrap spread elas,sector_specific_dematerialization_tech_growth,sector_specific_price_response,tcrc_elas_price,tcrc_elas_sd,historical_growth_rate,china_fraction_demand,"Recycling input rate, Global","Secondary refinery fraction of recycled content, Global",primary_production_mean,primary_ore_grade_mean,primary_commodity_price,sector_dist_construction,sector_dist_electrical,sector_dist_industrial,sector_dist_other,sector_dist_transport,sector_dist_bar and coin,sector_dist_jewelry,Refined price
Au,796,0.006003598994664481,-0.009026546152201533,0.01815531917314786,-0.029831388702517662,-0.0017914489898690914,0.004648431993405458,0.026040800790138027,0.0011948277869590397,0.0009688073057365961,0.0007917454614580757,-0.0010896115932308669,0.01666935932325837,0.005784604833327866,0.0001933516902490262,0.004246772673083997,0.0012811328730241104,0.0028231042591568053,-0.0020391998134572696,-0.004137490344927212,0.000282055049445927,-0.0009299306803405351,-0.02773299617556947,0.029334861502858082,-0.0010571279870473472,0.011297876428549345,0.08971759773641633,0.000236394609777899,0.013978253088506256,0.007073240291211862,0.19946209017316943,0.28913941186097547,0.34645793445201045,0.03263852220196775,-0.007430495485461581,0.14692915114638713,0.001587489797197073,-0.0019004320732648324,0.26659435678376475,0.4854367762437311,0.0
Steel,880,0.0036212357266866067,0.03713685808192265,0.028284756112938222,-0.020315976952463476,0.0024337017672613403,-0.008083650119396258,0.016597058712725248,0.007066050574995611,0.0007494666670077985,-0.0029351611016416434,-0.002598230395284442,0.020165299478432663,0.030902886819729573,-0.0006182698672978355,0.017258575549686298,-0.0003916673357702832,0.0001650754782537492,-0.00739252488639641,-0.003564383286471767,-0.002738140506610437,-0.005171130882699989,0.017213061265274943,-0.023850952663272945,0.0004944869263037709,-0.044756950284131944,-0.03137618900281387,-0.0032409139997008683,-0.09031483093475039,0.015658427385489723,-0.11270759334906573,-0.09952545305090305,-0.0874907907504357,-0.1283534366803994,-0.009294999420143566,-0.02616312972019943,-0.008847827817286828,-0.021343556719805923,-0.0389638301317214,-0.07219871916521049,0.0
Pb,253,0.005622559300835007,0.039807475142251844,0.04169837328642293,-0.024430756898592094,0.0025694230944455737,0.005913911796542567,0.023064323954610385,-0.0029445599902174356,-0.005407383862239599,0.0502222455352076,-0.0023350229057876215,0.053118298435376,-0.03152893448702454,-0.001707853154689133,-0.016636337249323212,-0.0013494194317678996,0.08033022219683775,-0.019072590105113224,-0.02823002056014517,-0.02987402091283018,-0.01058501445426866,-0.020821967080258918,0.013639143884734277,-0.004819223846999385,0.22757178519187723,0.0017066511628022474,0.004150195629328659,0.09693652116260432,0.07706995319914821,0.02967627924939557,-0.010107461827633002,-0.029950212539916622,0.07750690736075415,-0.00459168251044934,-0.009902998004918704,0.008287205849537588,0.06407555355593185,-0.028071867385324197,-0.0541772327272599,0.0
Sn,157,0.00402596990985725,0.035331687069455615,0.11275661790505595,-0.023801286101226712,0.0015500661869116913,0.01773694577721322,0.0015417861522818278,-0.005445587467105796,-0.00183565170068509,0.008203509323426682,0.005656493147170364,-0.00041807908749071413,-0.028946514710806347,-0.0036074820122945187,0.019157918475819935,0.000826427445572689,-0.0019309697557826952,-0.005812385595793764,-0.002794423196291884,-0.0025619893129977893,-0.005209776984335137,0.031684407528894065,-0.025809183610016054,-0.003287533780095943,0.026213315103489513,0.014956004714932485,0.002906869272654469,0.05328526521075654,0.07294610866346937,0.019708973198477833,-0.01390384032294889,0.00909441450862314,0.07893214834362011,0.03461798371100883,-0.011028647098898592,0.006277088484174979,-0.003331927227140008,-0.026818994782497475,-0.05532993230255975,0.0
Al,1224,-0.00373141436967297,-0.015158570412892257,-0.022199687592847673,-0.0033581408896727603,0.0011233397889510424,-0.006283981550646266,-0.006955507859954404,0.0019144255143091879,0.002819557711917195,0.0018043933699395567,0.0018307343069827468,0.03599652087814031,0.021515926343807803,0.0018582095220694567,-0.004369612104213227,0.0039045983991706544,-0.0001011884275437013,0.0010070830638058198,-0.004836927898360562,0.00041877573355587205,0.002275135966301183,0.011532454941218337,0.0012419300236755845,-0.00255168273425819,0.00843158063567838,-0.025040541835343648,0.0021694988989422645,-0.07346814575903046,-0.09258792172757556,-0.0704662638099996,-0.06613505873430094,-0.07272579946539849,-0.04184420514384783,-0.0069162322787168305,-0.022026911086851547,-0.000866954496372999,-0.011566573168787809,-0.03866278777397598,-0.07101242396787621,0.0
Steel,274,-0.0005810011935523898,0.05634386546471514,-0.051868556821344024,-0.0184128751801675,-0.0033382427156818002,-0.005340025320834135,-0.004759068223793188,0.006223683316476454,0.0003493985346647519,-0.003679202755319175,0.000595698308429437,-0.0011830939766164711,0.056526008682144586,0.0013814881122423742,0.009877891815157224,0.00036337391333926506,-0.0005544608601423166,-0.048779949234896064,0.009851614650825773,-0.0018260902088373992,-0.003417745036411121,0.017880044829140247,-0.013876389331578608,0.003710528404806589,0.029795317230639908,-0.03263749076878069,-0.005017263756863831,-0.09900640582799855,0.02779856878378463,-0.14173929747964803,-0.11509172963759773,-0.08964761166472697,-0.18684182596026763,-0.0021635133361433295,-0.025408535786063783,-0.009278370326554156,-0.028620825346661983,-0.038587683877019545,-0.07100039358384908,0.0
Au,935,0.0015460210288557638,0.016328051244554793,0.028733197634992987,0.0033430236787218136,-0.004376040772555014,0.015528237048305867,0.00837803316035018,-0.0009535241645425003,0.0014246531327110881,0.0001093426782524453,-0.0017162247020932682,0.011825347838953035,-0.006826102216387147,-0.000979159793928672,-0.009775324508045894,-0.0034597567078807107,0.0032822085929702684,-0.0006652641227761533,0.002505750772002635,-0.002015897845784487,-0.0054953128016071145,-0.020959622334591577,-0.001671536516143733,4.0214803985384613e-05,-0.01970109152280731,0.0937352263177153,-0.0002021952563055586,0.014186103762712222,0.0076167820587703435,0.20303503079742785,0.29643779544608845,0.3504086561505498,0.02670023851892144,-0.008698246755125776,0.15151781959850646,0.0009226047591478518,-0.0002148519994580592,0.2686145522104687,0.48571003796730344,0.0
Ni,1018,0.011360452129767622,0.020260173164913745,-0.021606377895875783,-0.001955883006969779,0.002523268920133419,0.013093331236009219,-0.019031716154066528,-0.0005566030626371652,-0.0008681020460781886,-0.0036919438253090525,-9.875093562219936e-05,0.005912249935406197,0.004917809110875435,-0.0006376354930397046,-0.02282399883792152,0.00014213564376401686,0.011986019331120918,0.006029873078344246,-0.0072763205829631215,0.004204892036118442,-0.005559525947910504,0.010126512640816215,0.08183880817995562,0.0008186059141649099,0.02890164843930524,-0.0008659444418856172,0.001182719473375665,0.05505303635486141,0.06796663546894369,-0.008191442828317038,-0.014710178333084847,0.016448256204858354,0.07598436318089367,-0.008298393677556614,-0.014015284184696407,0.005607185004532407,-0.004014729054371075,-0.03249090700621563,-0.060165664129854544,0.0
Au,968,-0.006139937314697071,0.016462431969605822,-0.009789401071828756,-0.008197373072504373,0.002418880815391258,-0.009121382888518726,-0.03433057209740128,0.001188017385600261,-0.0015118550675025002,0.002249454693700313,-0.00135488471287414,0.003977819869052323,-0.0029096352347644967,0.0004207876772618373,-0.00662448273191788,-0.0005455828898143877,0.00018487928689352396,0.0040026726452989094,-0.001514413292214499,-0.0012005541691150461,-0.004064298426408504,-0.01330471945423211,0.008336830509763308,0.0003721923673242973,0.014434566711069846,0.0878064294309206,0.00012917446083617737,0.012429672607230977,0.008141514674866492,0.1972673732140181,0.28372610539476534,0.3381306253687332,0.028333253316172466,-0.006954180231435573,0.14567015478737427,0.0012212257385513512,-0.0009050435656109326,0.257240059399554,0.4659853743965746,0.0
Cu,332,-0.013477631940481826,0.02902980572085163,-0.002427346897451095,0.0053783560713290875,-0.002869250080781358,0.025545947029360375,0.0009034696862847714,-0.005342222264248304,0.0037031989097232416,-0.000560590874535623,0.004291853208006119,0.05638747276404072,-0.04119113560870027,0.00867574471051255,-0.0012924700562527039,0.004025969372276506,-0.01956951202815657,-0.004772309896761748,0.0034290575451256084,0.0018976080179674852,0.007539667989622105,-0.02287384561325508,0.004089332819113926,0.012136665750212477,0.022522053610938057,-0.01800878158463426,0.0023943359849091157,-0.054346231762034375,-0.09061312707141334,-0.01705589165456685,-0.023796773742267633,-0.061735347389569255,-0.06480015850816946,0.015387268064400186,-0.014917685716312787,0.004275254160871876,-0.007646294258406502,-0.03770183709539006,-0.06944687214984177,0.0
Sn,725,-0.0016330849398027744,0.05333024780213268,0.09629511073274534,-0.02326889117024513,0.0011249383120815603,0.01180198651851199,0.07734275536519276,0.0015356529556136613,-0.006443127596974043,-0.0022707679155138097,-0.001479977085364433,-0.008399789014024278,0.11158874525960102,-0.0014768009102799579,0.013079067353180438,-0.0065189541256533935,0.014279254298187789,0.005567870558011875,0.003954269084616117,0.02933065189868421,-0.007149675158122774,-0.05622917902429841,-0.02278510801138615,0.006302788821135978,-0.06364413297067777,0.02940746635861718,0.003932144513126815,0.09508355684359465,0.11655414791588022,0.03045140694129553,-0.012300311525449921,0.045814075138882804,0.1364424732989611,0.08459555661401554,-0.002679179931975353,0.012097737807636347,-0.006443480841987703,-0.02765853773628427,-0.0540119356389907,0.0
Au,360,0.0016432729429855936,-0.01710425022890434,0.004473996087376341,0.034913012929284976,0.0020646965589123244,-0.00024340235249581003,0.05367759656244261,0.0011058746893789976,0.0028034182996379254,0.000901565434948166,-0.0017082118406453518,0.007214713800028591,-0.005088972238192843,0.0009074145911203357,0.012963393195627443,0.0005179314911066452,0.001089962512033528,-0.0008580065279139505,-0.0014032600366783558,-0.0012006171470148712,0.006158892903803474,-0.012646359094899497,0.0006664761052879124,0.0018649536049922782,-0.02052749662189877,0.09245026428317904,-0.0003158211729129437,0.014031811173277002,0.0074451269223740684,0.20592825710581253,0.29634815479838345,0.35005476498345967,0.024571231787665824,-0.008385272206728751,0.15350321425321128,0.0006052875083807308,6.535669417884016e-05,0.2687313568429572,0.4919574001289872,0.0
Au,938,-0.00035736487319690545,-0.0010470437959632446,0.013160482454119929,-0.014113915422628331,-0.0034883904821389118,0.0015626144728691177,-0.001672910863202667,-0.0019257476419131283,0.001213786931944416,0.0010502022305442147,-9.74964593424264e-05,0.013694932673373352,0.00491157099287508,-0.0005450918014527386,-0.005985570458354965,-0.000807976390305306,0.0034175858012800353,-0.0020381501745227243,-0.003396486550507753,-0.0015601691696864228,-0.004054541579877253,-0.036201870177993256,-0.008955749795255099,-0.0015289381497536874,0.01080639642630897,0.09156470784686603,0.0005921027313640018,0.011818761529953642,0.00803625996826369,0.2060468638660308,0.2938400054466757,0.3503216601367542,0.029960519530102883,-0.007850843266906521,0.15130100761551105,0.0011689186713125166,-0.002069588121181549,0.27088433297336445,0.48894842325125004,0.0
Sn,672,0.010456334122087739,0.050179672787983076,0.041982643266471366,0.00795482981362601,-0.00189240241461503,-0.0009617390594082578,0.04084622556860962,-0.0012428328117869952,0.006092840465727467,-0.005186364875972174,0.00041046514128598274,-0.0026091825596624894,0.1690293419362258,-0.003309410782189095,-0.04680668886953852,-0.011793259221065848,0.0019404610349156863,0.0012130425601241878,-0.0028153735981176274,-0.0021421451036040757,-0.001361662761287054,0.011184134613634955,-0.018655601683456795,0.009994826175573806,0.07946413250251902,0.010405045374760476,0.00027822452418910807,0.06073805958421561,0.11516556833924005,0.0315001890290333,-0.012552425867338072,0.025600175237724038,0.10071331802839184,-0.03314182738420329,-0.00896364747048228,-0.00331523534473949,-0.008004828720135209,-0.028760711138453257,-0.05331379914922769,0.0
