,,Scrap demand,Grade,collection_elas_scrap_price,incentive_mine_cost_change_per_year,incentive_opening_probability,initial_ore_grade_decline,intensity_response_to_gdp,mine_cost_change_per_year,mine_cost_og_elas,mine_cu_margin_elas,pri CU TCRC elas,pri CU price elas,primary_commodity_price_elas_sd,primary_oge_scale,primary_price_resources_contained_elas,refinery_capacity_fraction_increase_mining,scrap_spread_elas_primary_commodity_price,scrap_spread_elas_sd,sec CU TCRC elas,sec CU price elas,sec ratio TCRC elas,sec ratio scrap spread elas,sector_specific_dematerialization_tech_growth,sector_specific_price_response,tcrc_elas_price,tcrc_elas_sd,direct_melt_elas_scrap_spread,historical_growth_rate,china_fraction_demand,"Recycling input rate, Global","Secondary refinery fraction of recycled content, Global",primary_production_mean,primary_ore_grade_mean,primary_commodity_price,sector_dist_construction,sector_dist_electrical,sector_dist_industrial,sector_dist_other,sector_dist_transport,sector_dist_bar and coin,sector_dist_jewelry
Cu,492,0.7933010553774944,-0.00508084981741242,-0.00440477236105068,-0.011381053597626225,0.0005445665331458701,-0.01696492312786666,-0.005998551949435393,-0.01949519152260532,-0.0008218076491238136,-0.0044849815308647565,-0.0019015415692334452,-0.01068441450386119,-0.0029027165859858445,-0.007998335440377702,0.0037226927131743578,-0.013046166972041027,-0.011578013888581134,-0.13264721289229653,-0.009030831499353159,-0.009492099759772065,-0.008651692969571077,-0.004559464952346769,-0.004414172675745849,0.0007870484364447625,-0.031058322972609746,-0.1302944202039672,0.016824829748156883,-0.0024747093124922195,-0.02026887478981652,-0.003829155224725778,-0.020772053214553922,-0.0029295410506837054,-0.0017257889026004926,-0.0015916318297660322,-0.016148782906684266,-0.032267241197158805,-0.00456453462274256,-0.0025653204828101402,-0.003923143674614256,-0.00014970566746672802,-0.00019716973281449848
Cu,601,0.3501299776109224,0.00030253920062389434,0.005420151891545531,0.024948494646732683,0.02376248237263028,0.014192284155156368,0.004446475510708773,0.04123626085282772,0.005235585235141148,0.005509605413204233,-0.002176061422589019,0.013981345772930354,0.012312495488695412,0.004593110967841827,-0.013419686528933692,0.010857647578735518,-0.0006406360338208848,0.008970656025340673,-0.00808602923462202,0.00806343213054356,0.014176318413949469,0.003388949730817433,0.0023054578102691065,0.005545849435819576,0.005966328802763313,-0.03419984988082296,0.058539581675678444,0.00104609995445128,-0.007420604758398927,0.003031765976822477,-0.005117627305277142,-0.0009103870089490586,-0.00020313838187138993,0.0017372697417170884,-0.003743761517787362,-0.012399791597528508,-0.0008649188223354952,0.0011319995386830668,0.0034375916678577164,0.0003333584237921364,0.0004407292399507115
Sn,332,0.47901417092581544,-0.0009979491679850782,-0.0003355873115729847,-0.00796846752519378,-0.024291847132118412,-0.004716056159508815,-0.00046444609032175667,-0.003235131919414581,0.001968667726784069,-0.00038598463454141515,0.00035829858149305483,0.004608809142971271,0.001428944328261128,-0.00020426808844324013,-0.022597541822981963,-0.006362574377672176,0.003199463799344841,0.038524583179832254,0.013419783461457491,-0.0021017142060087523,1.187000204486777e-06,0.0035885657066684587,0.0033084775565418597,0.009782638175406429,0.0015254891878766818,0.006366137381352762,-0.006640347091240607,-0.003765384741524835,-0.007847649773915657,-0.0032987708324965946,0.0016854788984662554,-0.003749158028823888,-0.003950550981139774,0.0022989804512935177,-0.002303357656242297,-0.022023595519446576,0.0010221718502869904,-0.0014465061593983899,-0.00251535560307777,0.0015718844416385744,0.0010906019822121108
Au,500,-0.14146520215752814,0.014142516133018824,-0.000645398088313023,-0.007632568561341186,0.04389762215131295,0.0007179906040969527,0.0031960412852216715,0.022588424973303056,-0.0021985656550460543,0.008200456026182048,0.004536437596631189,-0.00836358098289759,0.0020736311763422948,0.002445905826790467,0.011345097791143528,0.011512408206417194,0.014604341577590834,0.08475420317318447,0.011335401349948924,-0.001849284115469705,0.0011864261490581586,0.0019454609755123853,-0.0014484538771030548,0.00944265413837657,0.005177889925344257,0.031333707358117996,0.0011684600909078946,-0.002914967242506277,0.01270076652473052,0.006135033579974255,0.0030347109594906128,-0.000297714899393544,0.0011010071270759008,-0.006378381386446608,0.01716405596793011,0.012736307131978958,-0.0033319215385966194,0.004348761329862229,-0.005196690797646849,-0.0023247419083820007,-0.0038305551363991726
Ta,708,0.3037225788842281,0.005868272588561477,-0.0021109006029535115,-0.020074825870361475,0.029704001340911095,0.045380072131538995,-0.0027574897290053553,0.0031499236681095184,0.0019017152657242458,-0.0018695730414527982,-0.002914482720511339,-0.002353535798975374,0.003423346376528075,-0.005177265356513202,0.006716588087082188,-0.0060902582446427335,-0.0047967242718341485,-0.0056599579599937435,0.01279730184700296,-0.0027190782226230725,-0.005691216494500726,0.008049833241388964,0.00283908134160799,-0.022506518984313547,-0.00296949176735671,0.023143278146017587,-0.0038942793906705025,-9.648321825105392e-06,0.024940170992010992,0.003874512742109109,-0.002894571802596967,-0.003857152277509675,-0.004006916803761184,0.0026726573333949177,0.0009675923403618819,0.029995128776381677,0.0007323144841918426,0.0023720995726132558,0.0032678656763847564,0.0021830949850430758,0.0018248921356187296
Cu,562,0.21488325134488806,-0.01363915843829339,-0.012697325888661695,-0.0173156861093757,-0.003225982498158443,-0.009934678027304428,-0.001228234342134088,0.0019502170209929116,-0.008809028515840705,-0.034534295987642266,-0.03942290706719544,-0.0024840828027732566,-0.004258939730979297,-0.016480037096127772,0.0008816403955260226,-0.0037638972849373385,-0.03261233460840013,0.01943949244882701,-0.0206010264391833,-0.019266379720194477,-0.016252707818309727,-0.01664745910378711,-0.015733267167199593,-0.010447115678583281,-0.011239668638051916,-0.008771955283286182,-0.02389359547112049,-0.0021584136899052784,-0.01695159167944187,-0.0021769655100374553,-0.015563504830609856,-0.006341389833078743,-0.002840666011587066,-0.0010913293823361998,-0.01130959072421263,-0.045984961792549975,-0.004176745832693507,-0.0041072935813562545,-0.006144407744446585,-0.00046540899178721903,-0.00041904266824981264
Steel,397,0.42096279467483866,0.0004243040675940022,-0.0001038546584978666,-0.0011795336087039462,-0.022426277930855304,0.006719956355618712,0.0005840321563610764,0.022829130895052067,0.005190611458754988,-0.00012757711540468893,0.0006447663252611125,0.003588450976219507,0.0029267699539562222,-0.0016118198832169679,0.011723742003950724,0.011271353339356562,-0.004202362809987137,-0.04148167340678393,0.0029106733977007516,0.0007019458139976623,-0.0007211544435773481,0.00061807401550557,-0.002190138912831213,0.004272226441302771,0.001994395685890485,0.014294879004424714,-0.007003309864846709,0.0015867998274542146,-0.005411296299150152,0.002523267519019204,0.003467310309447753,0.0052351238914219765,0.006187802025757565,0.0015583845910717349,-0.0032354303623210634,0.005048328160022432,0.0025205661933253797,0.00193812358414605,0.0018581829774217315,0.0009369756305059331,0.0008080983911908214
Cu,580,0.2081120265093141,-0.0005278901774521236,-0.0013632360629478007,-0.005996989624183942,0.01830435485469299,-0.0019913511021832646,-0.0057416970419015565,0.015599610554929661,0.0013378140876048649,-0.0012090917188189495,0.0037140029489656514,0.007853347479794472,-0.0032813567471413883,-0.010929931887344136,-0.0034846935387241335,0.00556073087757468,-0.01772582656489755,0.04187192676036431,-0.007040177737364786,0.0012764753841361157,0.00014738125554644195,-0.0035337249575464057,-0.004230736176073587,0.000912890563237385,-0.0014753337970727805,0.04761041786945709,0.0055199841718889,0.000604502319590825,-0.009471640994970625,-0.0008172338159952432,-0.010110074823363749,-0.003035419326616354,-0.00154157359552626,0.0007209723300655532,-0.0041764951206707075,-0.01885181800781215,-0.003224521014158144,-0.002578293520583247,-0.0020416772269600224,5.411941731070136e-05,0.00011574669931151608
Ni,491,0.2448383711813628,-0.0005218331255808091,0.0013372992247669602,-0.004164658813884099,0.01281994806687855,0.00951986536252872,0.003997926953341545,0.009390689582981452,0.005347673304988007,0.0026230419353304446,0.004363072303527855,0.0055160315617700404,0.005473726556039626,-0.0028935313547317158,0.006228198391741946,0.010915876424181521,-0.005805198575417073,0.049589074229347746,0.015727624730614963,0.0035904751210596485,0.002263434980890148,0.005559922425065012,0.004509645002081868,0.0035921420424189082,0.0024743283680998757,0.038587486944239406,-0.006726661898240008,0.005261128425345901,-0.0037600744666530027,0.005684262836541435,0.002520546948567004,0.00037753330335489187,-0.0010499890298581243,0.001663088444051385,0.0016699067033255778,0.006431514795398149,0.00532471534258554,7.873551188301416e-06,0.00471366008951492,0.00045580643521199357,0.0002961042876446962
W,938,-0.04989530025329222,-0.009564085519855043,-0.007996465064938093,-0.013324425099274945,0.015266890727272395,-0.018895526157648227,-0.0009555562347867442,0.026027322063436525,0.0006079281935560764,-0.0058034853701863865,-0.014575763102335106,-0.0025260630993277767,-0.0008299043875878152,-0.005404774199472474,-0.004680932309697931,-0.02242554160103911,-0.01204389618150566,-0.0478881983840241,9.775018172094246e-05,-0.0015410854178843927,-0.005254062392803596,0.009302886160390383,-0.008642721856591477,-0.0004727417219708471,-0.0035358528229306203,0.035231261042199945,-0.013722490447961214,-0.0064998316608768855,-0.02691779989988811,-0.003383552366596783,-0.001462293411119399,-0.003965068605525673,-0.0026306076727213995,-0.0015825010156917086,-0.015375944700846758,-0.0064767818223487915,-0.0045932919272381415,-0.011756201580259609,-0.00014133123741361431,-0.0005675373746678792,-0.0001629773261772683
