,,Scrap demand,Grade,collection_elas_scrap_price,incentive_mine_cost_change_per_year,incentive_opening_probability,initial_ore_grade_decline,intensity_response_to_gdp,mine_cost_change_per_year,mine_cost_og_elas,mine_cu_margin_elas,pri CU TCRC elas,pri CU price elas,primary_commodity_price_elas_sd,primary_oge_scale,primary_price_resources_contained_elas,refinery_capacity_fraction_increase_mining,scrap_spread_elas_primary_commodity_price,scrap_spread_elas_sd,sec CU TCRC elas,sec CU price elas,sec ratio TCRC elas,sec ratio scrap spread elas,sector_specific_dematerialization_tech_growth,sector_specific_price_response,tcrc_elas_price,tcrc_elas_sd,direct_melt_elas_scrap_spread,historical_growth_rate,china_fraction_demand,"Recycling input rate, Global","Secondary refinery fraction of recycled content, Global",primary_production_mean,primary_ore_grade_mean,primary_commodity_price,sector_dist_construction,sector_dist_electrical,sector_dist_industrial,sector_dist_other,sector_dist_transport,sector_dist_bar and coin,sector_dist_jewelry
Ta,838,0.3462640056265051,0.010932503268737122,0.005732044889289043,-0.0014996276785346932,0.03209997501037913,0.02815988109810432,0.0013905952263177468,-0.0006044178916207047,0.006405592383944205,0.012532573821925519,0.004902490164299476,0.003041067387023046,0.010179828624552776,0.005457251126655853,0.015948552050573578,0.020828620961987083,0.010805115878668232,0.011232078206703827,0.026643606687739033,0.013642843797120718,0.009785161199746532,0.007927064047947147,0.005726739875746313,0.016477113676820636,0.006903366049604742,-0.022914763576135474,0.002114624409636351,0.002449948951158938,0.06123542414695432,0.007724112519598832,0.0035311876670831776,0.00047187670656797826,0.0013731161203836013,0.003901462721625091,0.012908384214272973,0.03918350509223195,0.0066953004014613975,0.0022798699828912327,0.014060362277968103,0.0013230045688763245,0.001987598723822115
Pb,647,0.16547473912513247,-0.002045887138279987,0.001828637611855407,-0.009892254472408534,0.012771391585392162,0.04421521920280195,-0.005775363681503081,0.03771403383301891,-0.013121266201531107,-0.011570587511935468,0.008579972763497229,-0.0040220726417850225,0.005943859603973953,-0.06240144334587358,0.008601281692559606,0.03068731176541632,-0.0033155669180395496,-0.008707947763462145,0.008027756757797926,0.001573254311747304,0.006910198656209339,0.01039139925891988,-0.0018883271900572243,-0.006151791666871914,-0.0063136912946426225,-0.04040142188787845,-0.000423002958854932,-0.0004738041714174481,-0.008223041445224675,-0.024228080712610123,0.006138913650316019,-3.1765570510801156e-07,0.00021863840498631063,0.0009175251503882587,0.01602549464072573,0.01084731779656148,-0.004404631900523591,0.0014501353747886556,-0.009926193142365045,0.00010412497031082617,0.0006448511842641237
Sn,114,0.5744396726855642,-0.0009372110437523867,0.0009737832009480826,-0.007871076307992407,-0.017496064941955745,-0.002042973366148364,-0.0003726361179668513,0.0005742816204427296,8.386558030085545e-05,-0.0006908086163650376,-0.0006443374147481026,-0.0011040032005055311,-0.0018089459416296921,-0.005746418433005775,0.0010466124108080058,-0.02092925824249,-0.003585413302321194,0.007996130105256686,0.0027878864813949892,-0.0011426251659516823,-0.00028061462724825637,-0.003565449544622344,0.001733432533232777,0.0049489547492867735,-0.008706068446396814,0.01876943022159193,-0.0028806965791701223,-0.005629723389153996,-0.011583725285932286,-0.004597215845274505,0.004256877278199266,-0.0021412013084722787,-0.0023230839102395067,0.0004088612727381843,-0.002302351181884535,-0.03291944532970582,0.001587188101154289,-0.00258660304319837,-0.006493487285757612,0.0002073477978397186,0.0004500212634082005
Al,543,-0.035839301452822346,0.00819937879055718,0.011395429722473913,0.0716989562817212,0.030094499757803466,0.05874237872195504,0.003231966984717368,0.14473579642130902,0.018916372862285584,0.015857645894478443,0.015503009758705224,0.030377485705928648,0.0058185245280192146,0.010129843912222446,0.020939623635942622,0.06076757697123,0.024193206493896405,0.0174461223377873,0.021517218489326015,0.009080485205295937,0.0016249562182661828,0.009614184358585968,0.025305176976465425,0.031334556288896004,0.005002348364759972,0.06513953333725309,0.007647185882204896,0.008993431180790587,0.011728468017667106,0.005961936753309699,-0.00036046834916237335,0.008802503243403582,0.002841228619225326,0.0020343511687992387,0.00947438352361236,0.02900883179040599,0.0019228865304567197,0.0024953373706745525,0.012763197245288032,0.0008980106090504116,0.0006329603782653525
Ag,96,0.2826793996954691,0.006267001353714194,0.0022215642306710583,-0.0013783944900016172,0.035700394316817714,0.007905430920953261,-0.005814277409601228,0.02537950740814234,0.006009232220485148,0.0037150123882980957,0.005490964945201004,-0.0048139422075160095,0.00825590226529262,-0.0031819364602780967,0.007601208402290171,0.018750347949418395,0.0006464386939714076,0.008426132934892472,-0.00041359135971569223,0.0005226093103258191,-0.014848144799948795,0.005418953296209552,-0.0049662946544969016,-0.009689896951119959,0.002266945417092272,-0.03088796487361471,-0.003307778055486501,0.0008431785395619744,0.04419003237979944,0.0009484190391993807,0.0014016580507900686,0.00076436833130211,0.0009441059194817354,0.0015664188972679357,0.01147730276054093,0.0059149849303774095,0.013599974207857933,0.001848332128736424,-0.00346482524487954,-5.9880424420267556e-05,0.0008206146474563587
Ag,558,0.41473743053130285,0.0037017168878312866,-8.543528148707627e-06,-0.006819696445597141,0.020565982020723506,0.002481796542265845,-9.52584824795903e-05,0.008820336837687178,0.00991397624503903,-0.003542040680309649,0.001170817223133612,-0.0010437792495655816,-5.359406787036542e-05,-0.011607978177669528,0.0030933666099712412,-0.026589996467994207,0.004665214150296619,-0.0054925528221945,0.0010607580707356267,0.004126893546269604,-0.005295321198042731,-0.001212073385353114,-0.005059094698612795,-0.023724118898866237,-6.027322861987962e-05,0.00098894478414579,-0.0035080541535998213,-0.0006246640597995338,0.03514695379546787,0.00048535035865818687,0.003400385756920787,0.00029541048979577357,0.001297076524107911,0.0012171126063535065,0.009223581895370234,0.006132327485513285,0.01801602245109507,0.0025267686238690493,-0.004471657598825099,-0.0005394130912412928,-0.0003415270977454762
Au,383,0.3689893499383918,0.002527093216470806,0.0016546904905340508,-0.010709631268201054,-0.001919850144142709,0.003220154997812912,-0.0027831405294791367,-0.0004382843551715759,-0.0005892161584644908,0.005819437610410092,0.0025737286566281663,0.00018976526462366242,-4.429751807524337e-06,0.0018440111432245694,0.0033710669087948187,-0.07339698407097885,-0.001447671545569093,0.01063362813582672,0.005247346963205806,0.001137767178288296,0.0012493556237360068,0.001004075302876264,-0.007926476332214646,-0.0010803746618293544,0.004257608966124988,-0.00528793003467462,0.001074360770576993,-0.004486365248846153,-0.006105929216025814,0.003035620266673628,-0.0008867034502256305,-0.0001930466906593034,0.0018476032707176898,-0.005064922968554785,0.008012755530411324,0.0018301212247706033,-0.007630057769536332,0.0014007626132232294,-0.00382784777030368,-0.0009562433496153261,-0.0014490427354019997
Pb,1070,-0.12720947416683415,-0.014612949620026983,-0.015615243314905516,-0.029929247971653517,-0.04989316743631685,-0.008260271205283257,-0.013457884681727362,-0.024968619674537576,-0.005029140580699566,-0.049637197681551136,-0.020332885749150074,-0.010596528080837145,-0.05912160391780589,-0.005816764215002858,-0.01807859538426707,-0.030821262885096724,-0.03701800179470474,-0.015966341750624592,-0.09544303369792034,-0.009677879066797913,-0.023227339593387783,-0.025650337447863544,-0.015232175164113883,-0.0012670113207791712,-0.020425748887062136,-0.02046080933539777,-0.0055363382034806,-0.003888980995530154,-0.02360524222955857,-0.05137105417028158,0.0005423830575911664,-0.007514569665342934,-0.007014678213609506,6.690709081915827e-05,-0.010904502666901265,-0.013463449646098838,-0.020282449479672535,-0.00259138172342744,-0.04700373058760806,-0.000573636452326008,-0.00018366078732854862
Cu,179,0.7113529452662352,-0.0036774635266725586,-0.006759068212516245,-0.007629888069676645,0.009872357153430867,-0.02314505527329831,-0.00699460494293967,-0.02476425999496523,-0.02259218770567287,-0.007994269503209942,-0.009465979022326224,-0.0061931011477212436,0.0017104025737564124,-0.0016234348235919004,-0.0058283422786614275,0.0051808496321482265,-0.0023248481905327584,-0.01707721276753292,0.0025099440854152973,-0.007381166142688699,-0.0034286629699427844,-0.009107542216196909,-0.007425787175528416,-0.000662612162391998,-0.01619475764920609,0.0036383187587690487,-0.01772358666921159,-0.0020142087766019255,-0.017190254629139794,-0.0021563249531216513,-0.012144253542734008,-0.0027949196090647425,-0.002902879864852793,-0.0006364862285288446,-0.00919612240271756,-0.039351673535528806,-0.008636744756590273,-0.005807490557930987,-0.008293212172390117,0.0001996526071235294,0.0001237123177736951
Pb,1090,-0.011201247715680531,0.003517825999769974,0.003278876805543988,0.03849641247941796,0.015555765446724497,0.0071600635700187504,-0.0002393901228674289,0.032481688901371215,-0.0007336342960521865,-0.026543972064511284,-0.011548080601073643,0.0030011797090191664,0.004487816001398269,0.0005505877161590399,0.014796015501901207,0.03905998517599679,-0.013687640961879601,0.00012529019518096437,-0.02650170805371517,0.0020660603426488366,0.0031727859491731914,0.004124964481504602,-0.0016970474606957295,0.0117851215084555,0.006002951694619698,0.05673552855404144,-0.0024496209364971654,-0.0006556593404116402,-0.007107353987479197,-0.010236640364658644,0.004874062292562313,-0.002284650433997976,-0.002298247995873553,0.0011477250011507195,0.004433676754070738,0.010286303862990849,-0.006533581239810632,0.002985092843956061,-0.004075552075362475,0.00011334673271827993,0.00035073149518856166
