,,Primary commodity price  R2,Primary commodity price  RMSE,Primary commodity price test R2,Primary commodity price test RMSE,Primary commodity price train R2,Primary commodity price train RMSE,Primary supply  R2,Primary supply  RMSE,Primary supply test R2,Primary supply test RMSE,Primary supply train R2,Primary supply train RMSE,Total demand  R2,Total demand  RMSE,Total demand test R2,Total demand test RMSE,Total demand train R2,Total demand train RMSE,collection_elas_scrap_price,direct_melt_elas_scrap_spread,incentive_mine_cost_change_per_year,incentive_opening_probability,initial_ore_grade_decline,intensity_response_to_gdp,mine_cost_change_per_year,mine_cost_og_elas,mine_cu_margin_elas,pri CU TCRC elas,pri CU price elas,primary_commodity_price_elas_sd,primary_oge_scale,primary_price_resources_contained_elas,refinery_capacity_fraction_increase_mining,region_specific_price_response,score,scrap_spread_elas_primary_commodity_price,scrap_spread_elas_sd,sec CU TCRC elas,sec CU price elas,sec ratio TCRC elas,sec ratio scrap spread elas,sector_specific_dematerialization_tech_growth,sector_specific_price_response,tcrc_elas_price,tcrc_elas_sd
gold,1,0.0,0.0,0.0,0.0,-11.002075923185572,0.3476833127782268,0.0,0.0,0.0,0.0,-8.106505145841364,0.5581310348080338,0.0,0.0,0.0,0.0,-14.314348208069092,0.4985127945364985,0.3824855598572287,0.2263397258628944,-2.740920099892758,0.1253476191880517,-0.959419679248264,-0.1969455889497346,-2.740920099892758,-0.92365196611934,0.5713263877627405,0.7664511795922306,0.5346369389629902,-0.5202002993122655,0.3601519850882415,0.3261594095407422,0.2207381182481316,-0.421597481762221,-0.7590540029965117,0.6174957430995045,0.4115415976827259,0.1349006409461234,0.6751653794824183,-0.8579229110619985,0.8491614251196269,-0.0893861097340694,-0.421597481762221,0.1701929655733663,0.3119983687210004
gold,2,0.0,0.0,0.0,0.0,0.2361404505873418,0.0877126875847506,0.0,0.0,0.0,0.0,-120.7788796623263,2.041015442203135,0.0,0.0,0.0,0.0,-344.57597371637974,2.368093362575871,0.4581842432158308,0.5909637832048679,-3.1199546880496314,0.0340813596225731,-0.0804280923651716,0.7043316110133511,-3.1199546880496314,-0.4823615341414694,0.7815893898099114,0.3722800742106162,0.6003506019594939,-0.1942177709381307,0.6596063839011073,0.7214310493410597,0.7097695378218315,-0.5051131913112671,0.4047585235057727,0.2909714259954403,0.1777091440913889,0.0069093483366285,0.5668268199297469,-0.8153266434344226,0.2349429023978438,0.0688785113410953,-0.5051131913112671,0.903104569522576,0.9881975707883118
gold,3,0.0,0.0,0.0,0.0,-43.861346021768576,0.6721896360943567,0.0,0.0,0.0,0.0,-47.060628690812266,1.282197799488195,0.0,0.0,0.0,0.0,-0.3941056965670726,0.15040937313716,0.7091205816925583,0.5433336619214681,-1.1689097410922713,0.4312776386940877,-0.2656679247773607,0.0803791461717964,-1.1689097410922713,-0.7124902723158578,0.3063956906424235,0.5213136048140706,0.0314068827438765,-0.4889103446913573,0.0108653143846491,0.0939033215884623,0.6638950188619209,-0.2565777208631438,-0.3543933541170123,0.0484584406142821,0.3517818272951069,0.2415394818557249,0.8151843430955439,-0.971882162683568,0.5642308798565414,-0.0593778033889931,-0.2565777208631438,0.7018665347719982,0.2566979893501147
gold,4,0.0,0.0,0.0,0.0,-14.617832738336125,0.3966121786716725,0.0,0.0,0.0,0.0,-3.6122728748206727,0.3972078292243454,0.0,0.0,0.0,0.0,-1.07204957683686,0.1833695087521795,0.9736410469425804,0.6517030402337158,-3.834219088481933,0.223708327921921,-0.4349074454227137,0.295044166316956,-3.834219088481933,-0.3571198124639594,0.4364527454402631,0.3003864090888421,0.380011446979331,-0.6328204560923004,0.0542094924820696,0.6333711691533744,0.3555468279224136,-0.4710691984471812,-1.121686956273247,0.6617569052218181,0.9602645762894054,0.1883631356097848,0.2848281190060295,-0.1343294762747549,0.4661826334383716,-0.0645407557971071,-0.4710691984471812,0.0684939911417653,0.0459205295728737
gold,5,0.0,0.0,0.0,0.0,-28.067006832104504,0.5410729448104274,0.0,0.0,0.0,0.0,-698.3003636985983,4.890938258428856,0.0,0.0,0.0,0.0,-68.87921594502235,1.0648809603461145,0.2208049787247546,0.4940018608461705,3.990577303004424,0.2416224895538149,-0.8481321501351787,-0.4214199921970187,3.990577303004424,-0.0730127631266836,0.9834244004600282,0.2330195750443289,0.7373475286300372,-0.5985165756745112,0.84212124170593,0.4694887874249196,0.0763302993125948,-0.3016575536001206,0.7727116452143477,0.8381279192260205,0.3501463279789495,0.3662523159166593,0.0626831529529575,-0.284434561627218,0.0298530310170839,0.0221747629227655,-0.3016575536001206,0.4046233151149057,0.6201924571061469
gold,6,0.0,0.0,0.0,0.0,-18.55762390766683,0.4438269883199724,0.0,0.0,0.0,0.0,-0.3200919743516361,0.2125016951286002,0.0,0.0,0.0,0.0,-0.0636108012191043,0.1313767214996239,0.8766679526500957,0.1664751177979442,4.77635774486896,0.1693013150331317,-0.4999818694554033,0.3947763672869592,4.77635774486896,-0.7784730392425157,0.5466500552751118,0.1698518273924672,0.333155876272282,-0.4318264476083137,0.4515909243161045,0.9207537497434084,0.2774173960315176,-0.4046823876097568,-1.3372433992808777,0.0655804529460049,0.6184173341735886,0.5672996694802401,0.4867636664184078,-0.430668963839952,0.3936944810974161,0.0086830684459913,-0.4046823876097568,0.218702177540576,0.9245102881693884
gold,7,0.0,0.0,0.0,0.0,-95.97463809681364,0.9882907849415954,0.0,0.0,0.0,0.0,-7954.582435571991,16.49667025412285,0.0,0.0,0.0,0.0,-2173.2941599585643,5.939996649682618,0.2652704452182629,0.2622373159560347,0.0911201109928914,0.4518089443610371,-0.0296808703468057,0.2357987543271604,0.0911201109928914,-0.1431670714587981,0.7034848231834195,0.0819134033243065,0.4679081664131438,-0.9060314640704732,0.94191411803894,0.0081183278611351,0.0497657500488238,-0.2933865691304534,2.05518973321129,0.3358662332244437,0.5617522314052835,0.6325769054053723,0.9081824705479647,-0.3059699904166365,0.3180194444004644,0.0117053371415218,-0.2933865691304534,0.5065236889135614,0.3934800351010559
gold,8,0.0,0.0,0.0,0.0,-25.517840154835824,0.516802655303978,0.0,0.0,0.0,0.0,-280.0001012960914,3.1003701124587173,0.0,0.0,0.0,0.0,-501.4102381438193,2.855329884616053,0.1129272092960426,0.0264598880108167,-1.7179273944934788,0.1461491739696845,-0.3210293757987142,-0.4810407218615219,-1.7179273944934788,-0.41087766458925,0.2799649955323075,0.6508200246897269,0.8600011681349605,-0.7904577659202949,0.4129705138971199,0.5846876504012382,0.5359285991254503,-0.2078538269704198,0.7689505537673663,0.1387237635523272,0.9088207210704332,0.8048118683385921,0.132611305921703,-0.3821581726671113,0.4120065396473801,0.0736288548707732,-0.2078538269704198,0.3173718177065532,0.6778418868596457
gold,9,0.0,0.0,0.0,0.0,-2663655.8406186546,163.79279696658895,0.0,0.0,0.0,0.0,-2.1125527386752423,0.3263011938862808,0.0,0.0,0.0,0.0,-234.3742013940346,1.9543686166326937,0.9274114038282928,0.851085880066646,4.0382760483483455,0.0011411620754274,-0.1089580490649137,0.573981337841543,4.0382760483483455,-0.0191027394026656,0.0962960072514614,0.8661229508819638,0.2031673927040511,-0.6914588109765787,0.2215011151337103,0.1463836064806686,0.8471644505091774,-0.0188188568499186,4.013817972729231,0.9696702724936498,0.6941002136513983,0.6725037979411229,0.4263639076072998,-0.7521112971812896,0.2604712551777272,0.0340749917828696,-0.0188188568499186,0.8772692856702258,0.5769022846875824
gold,10,0.0,0.0,0.0,0.0,-51.394168935079,0.7264356350343,0.0,0.0,0.0,0.0,-19285.62253681798,25.68552186108632,0.0,0.0,0.0,0.0,-9900.519744133411,12.675875916458535,0.5747429092874895,0.7435566298466467,-2.221745236384708,0.3666697438312488,-0.8732226816128711,-0.2181256520560688,-2.221745236384708,-0.586835571432016,0.8084922643031204,0.1105196100286491,0.6702156550787233,-0.347790581632627,0.6227896148978429,0.5418775941411704,0.9249818681007024,-0.5914468080630396,2.567198963982359,0.7338667506799621,0.2504084428882168,0.7701913091730951,0.8883282496723348,-0.5644971783446623,0.888519429988374,0.0966497852262409,-0.5914468080630396,0.3514063328282573,0.1078029860099968
gold,11,0.0,0.0,0.0,0.0,-42.625226955466886,0.66286411998746,0.0,0.0,0.0,0.0,-801.1901541738022,5.238403731007916,0.0,0.0,0.0,0.0,-68.03891386650024,1.0584589646133833,0.0930006207699175,0.4205962525506584,-4.846144723344059,0.4968487421025738,-0.5641592092733944,0.8887592514967562,-4.846144723344059,-0.5145791821227562,0.9043715997461176,0.9434959086989312,0.4446688745014185,-0.7427127030778056,0.720864536620109,0.8926873235599251,0.5673691283962708,-0.0969801631854709,0.841527934276967,0.5637858075546085,0.2694281244088586,0.0614774841579868,0.7843870008681565,-0.4528493766072105,0.7944998898285522,-0.0259618510924527,-0.0969801631854709,0.5985159627381176,0.240108356896944
gold,12,0.0,0.0,0.0,0.0,-35.976445475158805,0.6102646899854427,0.0,0.0,0.0,0.0,-23.17043353485506,0.9092902273948033,0.0,0.0,0.0,0.0,-11.55182335592112,0.451315718747368,0.1569504297643618,0.0843740720627719,2.2905666630450146,0.4187744702060891,-0.1953347369580056,0.4466622543793304,2.2905666630450146,-0.6542736592932873,0.1139884737964344,0.9853624580058796,0.9619056744826228,-0.9704650724274394,0.2578643561958819,0.2703847481392533,0.9986957085134948,-0.542881471201497,-0.4201368962752443,0.8533048404145713,0.1089934785379296,0.5249362653840642,0.6459221659198708,-0.7176129805493184,0.9962169091824752,-0.0797705093598542,-0.542881471201497,0.4776064647230927,0.8368938973441444
gold,13,0.0,0.0,0.0,0.0,-10.983967284782665,0.347420922834635,0.0,0.0,0.0,0.0,-19.698404823171938,0.8414508273174335,0.0,0.0,0.0,0.0,0.7505770897062392,0.0636202280465976,0.6078961113148215,0.3576751080914957,1.934809245414221,0.3237112895896002,-0.2397222559680361,0.1009039662359255,1.934809245414221,-0.8333233039935353,0.2171009834461421,0.7346348478938091,0.8424101205536295,-0.0941638214115141,0.3422488007226693,0.1931400456288949,0.4389235021779258,-0.0760353948525133,-0.8734771393435401,0.3837456702849283,0.4998476036916446,0.9714921639175154,0.3069086736124899,-0.6602239605755217,0.703752254888239,-0.0411487361320342,-0.0760353948525133,0.983686500334024,0.7277684605297465
gold,14,0.0,0.0,0.0,0.0,-35.95037064384045,0.6100494806147849,0.0,0.0,0.0,0.0,-10.948702187827246,0.6393235050995798,0.0,0.0,0.0,0.0,-15.426613151384384,0.516298739949338,0.4149419472219853,0.6267039114324845,-0.778580790104936,0.2876187697313404,-0.5190243690398054,-0.3116354548082427,-0.778580790104936,-0.8737028030480035,0.6612106535606225,0.5948026778939979,0.100292439499971,-0.2959271816344997,0.1783082193209916,0.7837389385855315,0.8863056715815065,-0.0395811178942441,-0.5300810895728922,0.764394960795598,0.730908572875612,0.4830409631544508,0.3792297525806191,-0.1601880716539227,0.5315301987868049,-0.0924043354664985,-0.0395811178942441,0.6666263176595106,0.4764125755535024
gold,15,0.0,0.0,0.0,0.0,-7.66262089560689,0.2953794765286139,0.0,0.0,0.0,0.0,-3274.2780234614124,10.58484222696127,0.0,0.0,0.0,0.0,-2108.403977299802,5.8506878859701095,0.8436980022452972,0.8001770866834449,-0.353217913667569,0.0572792164470367,-0.39793216496361,0.5415145182710814,-0.353217913667569,-0.1759268291912571,0.6460310605527723,0.001041350491582,0.1863202368842855,-0.3824464586652325,0.777150451690532,0.2294140381781633,0.6135813239752548,-0.1298072808615064,1.7186455936189826,0.5150240342115034,0.5401760329870657,0.2769505553673177,0.5305043157112218,-0.0405905661284314,0.666104984459982,0.089532563474053,-0.1298072808615064,0.1221513278005221,0.5220335233223244
gold,16,0.0,0.0,0.0,0.0,-26.535965047550707,0.5266302637780985,0.0,0.0,0.0,0.0,-623.1143365854501,4.620536261231676,0.0,0.0,0.0,0.0,-500.5397146606711,2.8528551048724804,0.5157302298290531,0.9982055537802528,1.0776928469711322,0.2634541348664329,-0.6675843136417494,-0.0545071834011118,1.0776928469711322,-0.2624769476749189,0.8698548236917444,0.8445164775386506,0.6334006999817872,-0.8504739314266564,0.5111668318351318,0.8385340611982726,0.7928960005894902,-0.3490123377590221,0.9808319567433528,0.4384740496530918,0.0693223362323874,0.8927454720217768,0.020635674245334,-0.213383478339869,0.9128013566694604,0.0588509453091648,-0.3490123377590221,0.0260238452444487,0.1556992480294904
gold,17,0.0,0.0,0.0,0.0,-71.86651642577907,0.8566820472903157,0.0,0.0,0.0,0.0,-2981.150090417016,10.10008554553402,0.0,0.0,0.0,0.0,-1068.9551484730257,4.16686890070253,0.6634611692161464,0.3341843310196506,-4.158081857717155,0.087890640505844,-0.7159610127481935,0.6983856764527359,-4.158081857717155,-0.3319751408337198,0.0032872005808701,0.3108201277614423,0.1173110930848807,-0.8009797973459163,0.990507854411222,0.4368789143464991,0.3147065255026872,-0.5223110943448798,1.6176465619968068,0.1654119219722851,0.7981117997509803,0.3440724280531838,0.1961013078759579,-0.9228116290685392,0.1300029149430431,-0.0368383921192278,-0.5223110943448798,0.6403060097849103,0.7831949255833095
