,,Primary commodity price  R2,Primary commodity price  RMSE,Primary commodity price test R2,Primary commodity price test RMSE,Primary commodity price train R2,Primary commodity price train RMSE,Primary supply  R2,Primary supply  RMSE,Primary supply test R2,Primary supply test RMSE,Primary supply train R2,Primary supply train RMSE,Total demand  R2,Total demand  RMSE,Total demand test R2,Total demand test RMSE,Total demand train R2,Total demand train RMSE,collection_elas_scrap_price,direct_melt_elas_scrap_spread,incentive_mine_cost_change_per_year,incentive_opening_probability,initial_ore_grade_decline,intensity_response_to_gdp,mine_cost_change_per_year,mine_cost_og_elas,mine_cu_margin_elas,pri CU TCRC elas,pri CU price elas,primary_commodity_price_elas_sd,primary_oge_scale,primary_price_resources_contained_elas,refinery_capacity_fraction_increase_mining,region_specific_price_response,score,scrap_spread_elas_primary_commodity_price,scrap_spread_elas_sd,sec CU TCRC elas,sec CU price elas,sec ratio TCRC elas,sec ratio scrap spread elas,sector_specific_dematerialization_tech_growth,sector_specific_price_response,tcrc_elas_price,tcrc_elas_sd
gold,1,0.0,0.0,0.0,0.0,-11.002075923185572,0.34768331277822695,0.0,0.0,0.0,0.0,-8.106505145841364,0.5581310348080338,0.0,0.0,0.0,0.0,-14.314348208069093,0.49851279453649866,0.3824855598572287,0.22633972586289444,-2.740920099892758,0.1253476191880517,-0.959419679248264,-0.19694558894973463,-2.740920099892758,-0.9236519661193399,0.5713263877627405,0.7664511795922306,0.5346369389629902,-0.5202002993122655,0.3601519850882415,0.32615940954074224,0.22073811824813167,-0.42159748176222106,-0.7590540029965115,0.6174957430995045,0.4115415976827259,0.13490064094612347,0.6751653794824183,-0.8579229110619985,0.8491614251196269,-0.08938610973406946,-0.42159748176222106,0.1701929655733663,0.3119983687210004
gold,2,0.0,0.0,0.0,0.0,0.2361404505873429,0.08771268758475063,0.0,0.0,0.0,0.0,-120.77887966232628,2.041015442203135,0.0,0.0,0.0,0.0,-344.57597371637974,2.368093362575871,0.45818424321583084,0.5909637832048679,-3.1199546880496314,0.034081359622573165,-0.08042809236517161,0.7043316110133511,-3.1199546880496314,-0.48236153414146943,0.7815893898099114,0.37228007421061626,0.6003506019594939,-0.19421777093813078,0.6596063839011073,0.7214310493410597,0.7097695378218315,-0.5051131913112671,0.40475852350577257,0.29097142599544035,0.17770914409138897,0.0069093483366285645,0.5668268199297469,-0.8153266434344226,0.23494290239784385,0.0688785113410953,-0.5051131913112671,0.903104569522576,0.9881975707883118
gold,3,0.0,0.0,0.0,0.0,-43.861346021768554,0.6721896360943568,0.0,0.0,0.0,0.0,-47.06062869081225,1.2821977994881948,0.0,0.0,0.0,0.0,-0.39410569656707106,0.15040937313715994,0.7091205816925583,0.5433336619214681,-1.1689097410922713,0.43127763869408775,-0.2656679247773607,0.08037914617179642,-1.1689097410922713,-0.7124902723158578,0.3063956906424235,0.5213136048140706,0.031406882743876575,-0.4889103446913573,0.010865314384649157,0.09390332158846232,0.6638950188619209,-0.25657772086314384,-0.3543933541170125,0.04845844061428218,0.3517818272951069,0.24153948185572496,0.8151843430955439,-0.9718821626835681,0.5642308798565414,-0.05937780338899312,-0.25657772086314384,0.7018665347719982,0.25669798935011473
gold,4,0.0,0.0,0.0,0.0,-14.617832738336118,0.3966121786716726,0.0,0.0,0.0,0.0,-3.6122728748206727,0.3972078292243454,0.0,0.0,0.0,0.0,-1.0720495768368599,0.1833695087521795,0.9736410469425804,0.6517030402337158,-3.834219088481933,0.223708327921921,-0.4349074454227137,0.29504416631695607,-3.834219088481933,-0.35711981246395946,0.4364527454402631,0.3003864090888421,0.380011446979331,-0.6328204560923004,0.05420949248206961,0.6333711691533744,0.3555468279224136,-0.47106919844718126,-1.1216869562732468,0.6617569052218181,0.9602645762894054,0.18836313560978485,0.2848281190060295,-0.13432947627475494,0.4661826334383716,-0.06454075579710711,-0.47106919844718126,0.0684939911417653,0.04592052957287377
gold,5,0.0,0.0,0.0,0.0,-28.067006832104514,0.5410729448104277,0.0,0.0,0.0,0.0,-698.3003636985983,4.890938258428856,0.0,0.0,0.0,0.0,-68.87921594502232,1.0648809603461142,0.22080497872475469,0.4940018608461705,3.9905773030044234,0.24162248955381493,-0.8481321501351787,-0.42141999219701876,3.9905773030044234,-0.07301276312668362,0.9834244004600282,0.2330195750443289,0.7373475286300372,-0.5985165756745112,0.84212124170593,0.4694887874249196,0.0763302993125948,-0.30165755360012064,0.7727116452143479,0.8381279192260205,0.3501463279789495,0.36625231591665935,0.06268315295295751,-0.284434561627218,0.02985303101708398,0.022174762922765517,-0.30165755360012064,0.40462331511490573,0.6201924571061469
gold,6,0.0,0.0,0.0,0.0,-18.557623907666773,0.44382698831997197,0.0,0.0,0.0,0.0,-0.3200919743516373,0.21250169512860026,0.0,0.0,0.0,0.0,-0.06361080121910967,0.1313767214996243,0.8766679526500957,0.1664751177979442,4.77635774486896,0.1693013150331317,-0.49998186945540335,0.3947763672869592,4.77635774486896,-0.7784730392425157,0.5466500552751118,0.1698518273924672,0.333155876272282,-0.4318264476083137,0.4515909243161045,0.9207537497434084,0.27741739603151766,-0.4046823876097568,-1.3372433992808779,0.06558045294600495,0.6184173341735886,0.5672996694802401,0.4867636664184078,-0.43066896383995207,0.3936944810974161,0.008683068445991399,-0.4046823876097568,0.21870217754057605,0.9245102881693885
gold,7,0.0,0.0,0.0,0.0,-95.97463809681359,0.9882907849415954,0.0,0.0,0.0,0.0,-7954.582435571991,16.49667025412285,0.0,0.0,0.0,0.0,-2173.2941599585647,5.9399966496826195,0.26527044521826293,0.2622373159560347,0.09112011099289141,0.4518089443610371,-0.029680870346805784,0.23579875432716046,0.09112011099289141,-0.14316707145879815,0.7034848231834195,0.08191340332430658,0.46790816641314387,-0.9060314640704732,0.94191411803894,0.008118327861135121,0.049765750048823894,-0.2933865691304534,2.05518973321129,0.3358662332244437,0.5617522314052835,0.6325769054053723,0.9081824705479649,-0.3059699904166365,0.3180194444004644,0.01170533714152186,-0.2933865691304534,0.5065236889135614,0.3934800351010559
gold,8,0.0,0.0,0.0,0.0,-25.517840154835795,0.5168026553039778,0.0,0.0,0.0,0.0,-280.0001012960913,3.1003701124587173,0.0,0.0,0.0,0.0,-501.4102381438193,2.855329884616053,0.1129272092960426,0.026459888010816772,-1.7179273944934788,0.14614917396968458,-0.32102937579871427,-0.48104072186152197,-1.7179273944934788,-0.41087766458925007,0.2799649955323075,0.6508200246897269,0.8600011681349605,-0.7904577659202949,0.4129705138971199,0.5846876504012382,0.5359285991254503,-0.20785382697041985,0.7689505537673663,0.1387237635523272,0.9088207210704331,0.8048118683385921,0.132611305921703,-0.3821581726671113,0.4120065396473801,0.0736288548707732,-0.20785382697041985,0.3173718177065532,0.6778418868596457
gold,9,0.0,0.0,0.0,0.0,-2663655.8406186462,163.79279696658878,0.0,0.0,0.0,0.0,-2.1125527386752423,0.32630119388628087,0.0,0.0,0.0,0.0,-234.3742013940346,1.9543686166326937,0.9274114038282929,0.851085880066646,4.0382760483483455,0.0011411620754274558,-0.10895804906491377,0.573981337841543,4.0382760483483455,-0.0191027394026656,0.09629600725146147,0.8661229508819638,0.20316739270405113,-0.6914588109765787,0.22150111513371032,0.14638360648066864,0.8471644505091774,-0.018818856849918637,4.01381797272923,0.9696702724936498,0.6941002136513983,0.6725037979411229,0.4263639076072998,-0.7521112971812896,0.26047125517772723,0.0340749917828696,-0.018818856849918637,0.8772692856702258,0.5769022846875824
gold,10,0.0,0.0,0.0,0.0,-51.394168935078966,0.7264356350343001,0.0,0.0,0.0,0.0,-19285.62253681798,25.68552186108632,0.0,0.0,0.0,0.0,-9900.519744133413,12.675875916458537,0.5747429092874895,0.7435566298466467,-2.2217452363847077,0.36666974383124884,-0.8732226816128711,-0.21812565205606887,-2.2217452363847077,-0.586835571432016,0.8084922643031204,0.1105196100286491,0.6702156550787233,-0.34779058163262705,0.6227896148978429,0.5418775941411704,0.9249818681007025,-0.5914468080630396,2.567198963982359,0.7338667506799621,0.2504084428882168,0.7701913091730951,0.8883282496723348,-0.5644971783446623,0.888519429988374,0.09664978522624096,-0.5914468080630396,0.35140633282825734,0.10780298600999684
gold,11,0.0,0.0,0.0,0.0,-42.62522695546685,0.66286411998746,0.0,0.0,0.0,0.0,-801.1901541738022,5.2384037310079155,0.0,0.0,0.0,0.0,-68.03891386650024,1.0584589646133833,0.09300062076991754,0.4205962525506584,-4.846144723344059,0.49684874210257385,-0.5641592092733944,0.8887592514967562,-4.846144723344059,-0.5145791821227562,0.9043715997461175,0.9434959086989311,0.44466887450141857,-0.7427127030778056,0.720864536620109,0.8926873235599251,0.5673691283962708,-0.09698016318547091,0.841527934276967,0.5637858075546085,0.26942812440885866,0.061477484157986845,0.7843870008681565,-0.4528493766072105,0.7944998898285522,-0.02596185109245279,-0.09698016318547091,0.5985159627381176,0.24010835689694401
gold,12,0.0,0.0,0.0,0.0,-35.97644547515878,0.6102646899854428,0.0,0.0,0.0,0.0,-23.170433534855064,0.9092902273948033,0.0,0.0,0.0,0.0,-11.551823355921124,0.45131571874736803,0.1569504297643618,0.08437407206277193,2.2905666630450146,0.41877447020608916,-0.19533473695800563,0.4466622543793304,2.2905666630450146,-0.6542736592932873,0.11398847379643443,0.9853624580058797,0.9619056744826229,-0.9704650724274394,0.2578643561958819,0.2703847481392533,0.9986957085134949,-0.542881471201497,-0.42013689627524436,0.8533048404145713,0.10899347853792968,0.5249362653840642,0.6459221659198708,-0.7176129805493184,0.9962169091824751,-0.07977050935985425,-0.542881471201497,0.4776064647230927,0.8368938973441444
gold,13,0.0,0.0,0.0,0.0,-10.983967284782658,0.347420922834635,0.0,0.0,0.0,0.0,-19.698404823171938,0.8414508273174335,0.0,0.0,0.0,0.0,0.7505770897062392,0.06362022804659762,0.6078961113148215,0.3576751080914957,1.934809245414221,0.3237112895896002,-0.23972225596803617,0.10090396623592557,1.934809245414221,-0.8333233039935353,0.21710098344614215,0.7346348478938091,0.8424101205536295,-0.09416382141151414,0.34224880072266933,0.19314004562889492,0.43892350217792586,-0.07603539485251332,-0.8734771393435401,0.3837456702849283,0.4998476036916446,0.9714921639175154,0.30690867361248997,-0.6602239605755217,0.703752254888239,-0.04114873613203427,-0.07603539485251332,0.9836865003340239,0.7277684605297465
