,,,Steel,Al,Cu,Au,Pb,Ni,Ag,Sn,Zn,Degrees of freedom,Years,Notes,Paper notes
Intensity elasticity to price,Banks (1972) - from demand,"Unknown, long run",,,,,,,,-1.262,,,1953-1968," , Region: United States; Comments from Dahl: nan",
Intensity elasticity to price,Banks (1972) - from demand,"Unknown, short run",,,,,,,,-0.55,,,1953-1968," , Region: United States; Comments from Dahl: nan",
Intensity elasticity to price,"Banks (1972), a - from demand","Ordinary least squares, short run",,,,,,,,-0.55,,11,1953-1968,US,
Intensity elasticity to price,"Banks (1972), b - from demand","Ordinary least squares, long run",,,,,,,,-1.262,,11,1953-1968,US,
Mine CU elasticity to TCM,Banks (1974),"Unknown, long run",,,1.16,,,,,,,,1948-1967," Production, Region: Canada; Comments from Dahl: nan",
Mine CU elasticity to TCM,Banks (1974),"Unknown, long run",,,1.22,,,,,,,,1948-1967," Production, Region: Chile; Comments from Dahl: nan",
Mine CU elasticity to TCM,Banks (1974),"Unknown, long run",,,0.63,,,,,,,,1948-1967," Production, Region: U.S.; Comments from Dahl: nan",
Mine CU elasticity to TCM,Banks (1974),"Unknown, long run",,,0.625,,,,,,,,1948-1967," Production, Region: Zaire; Comments from Dahl: nan",
Mine CU elasticity to TCM,Banks (1974),"Unknown, long run",,,-0.21,,,,,,,,1953-1968," Primary+ 2nd, Region: France; Comments from Dahl: nan",
Mine CU elasticity to TCM,Banks (1974),"Unknown, long run",,,-0.228,,,,,,,,1953-1968," Primary+ 2nd, Region: Germany; Comments from Dahl: nan",
Mine CU elasticity to TCM,Banks (1974),"Unknown, long run",,,-0.29,,,,,,,,1953-1968," Primary+ 2nd, Region: U.K.; Comments from Dahl: nan",
Mine CU elasticity to TCM,Banks (1974),"Unknown, long run",,,-0.294,,,,,,,,1953-1968," Primary+ 2nd, Region: U.S. ; Comments from Dahl: nan",
Mine CU elasticity to TCM,Banks (1974),"Unknown, long run",,,-0.421,,,,,,,,1953-1968," Primary, Region: France; Comments from Dahl: nan",
Mine CU elasticity to TCM,Banks (1974),"Unknown, long run",,,-0.328,,,,,,,,1953-1968," Primary, Region: Germany; Comments from Dahl: nan",
Mine CU elasticity to TCM,Banks (1974),"Unknown, long run",,,-0.368,,,,,,,,1953-1968," Primary, Region: U.K; Comments from Dahl: nan",
Mine CU elasticity to TCM,Banks (1974),"Unknown, short run",,,0.2365,,,,,,,,1948-1967," Production, Region: Canada; Comments from Dahl: nan",
Mine CU elasticity to TCM,Banks (1974),"Unknown, short run",,,0.289,,,,,,,,1948-1967," Production, Region: Chile; Comments from Dahl: nan",
Mine CU elasticity to TCM,Banks (1974),"Unknown, short run",,,0.31,,,,,,,,1948-1967," Production, Region: U.S.; Comments from Dahl: nan",
Mine CU elasticity to TCM,Banks (1974),"Unknown, short run",,,0.1726,,,,,,,,1948-1967," Production, Region: Zaire; Comments from Dahl: nan",
Mine CU elasticity to TCM,Banks (1974),"Unknown, short run",,,-0.152,,,,,,,,1953-1968," Primary+ 2nd, Region: France; Comments from Dahl: nan",
Mine CU elasticity to TCM,Banks (1974),"Unknown, short run",,,-0.127,,,,,,,,1953-1968," Primary+ 2nd, Region: Germany; Comments from Dahl: nan",
Mine CU elasticity to TCM,Banks (1974),"Unknown, short run",,,-0.177,,,,,,,,1953-1968," Primary+ 2nd, Region: U.K.; Comments from Dahl: nan",
Mine CU elasticity to TCM,Banks (1974),"Unknown, short run",,,-0.253,,,,,,,,1953-1968," Primary, Region: France; Comments from Dahl: nan",
Mine CU elasticity to TCM,Banks (1974),"Unknown, short run",,,-0.221,,,,,,,,1953-1968," Primary, Region: Germany; Comments from Dahl: nan",
Mine CU elasticity to TCM,Banks (1974),"Unknown, short run",,,-0.252,,,,,,,,1953-1968," Primary, Region: U.K; Comments from Dahl: nan",
Mine CU elasticity to TCM,Banks (1974),"Unknown, static",,,-0.39,,,,,,,,1953-1968," Primary, Region: Italy; Comments from Dahl: nan",
